Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98
,,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412,Q113,Q213,Q313,Q413,Q114,Q214,Q314,Q414,Q115,Q215,Q315,Q415,Q116,Q216,Q316,Q416,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,266,244.4,244.4,244.4,244.4,244.4,244.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Science & Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1086,,,,1233,1246.4,1246.4,1246.4,1246.4,1246.4,1246.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,926,,1053,962,1186,1261,1251.3,1149,1190,1324.05,1313.865,1206.45,1249.5,1390.2525,,,,,,,,,,,,,,,,,,,,,,,,,,,3595.0,4645.0,,,,,,,,,
,Life Science,,,226.7,,228.2,283.7,573.7,595.3999999999999,608.4,613.4,618.4,623.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1806,1910,0,2131,2226,2248,2386,2445.3,2648,2680.8,2814.8500000000004,2804.665,2697.25,2740.3,2881.0525000000002,2143.7,2258.1,2209.7,2304.5,2217.8,,,,,,,,,,,,1680.9999999999998,2463.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7515.0,8990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,111,104,96,99,115,111,106.4,108.9,126.50000000000001,122.10000000000001,117.04000000000002,119.79000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,371.0,410.0,,,,,,,,,
,Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,,274,253,267,252,262,233,200.4,277.20000000000005,288.20000000000005,256.3,220.44000000000003,304.9200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.0,1046.0,,,,,,,,,
,Semis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,,475,500,573,603,581,653,729,783.9,755.3000000000001,848.9,947.7,1019.07,,,,,,,,,,,,,,,,,,,,,,,,,,,1894.0,2151.0,,,,,,,,,
,Electronics,,,281.8,,351.4,359.9,345.7,327,408,395.89,380.27000000000004,359.70000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,835,0,860,857,936,952,958,997,1035.8,1170,1170,1227.3,1285.18,1443.7800000000002,928.4,957.4,923,976.5,948.2,,,,,,,,,,,,1384.0,1543.8600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3380.0,3607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
