Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
x,,,40.0,Genmab,GMAB,22.03,14583.2528532,0,14583.2528532,Q224,66.197244,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,1999,Denmark
x,,,41.0,Genmab,GMAB DC,1414,13263.83775201927,0,13263.83775201927,Q224,66.197244,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,1999,Denmark
x,,,42.0,Hansoh,3692 HK,35.02,29306.899781579694,3006.8781382228485,26300.021643356846,Q423,5933.35007,2024-09-04 00:00:00,,,,,,,,,,,,,,,,,,1995,
x,,,45.0,Organon,OGN,8.91,2294.08868007,-8205,10499.08868007,Q224,257.473477,2024-09-27 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,46.0,Shanghai Fosun,600196 CH,26.84,10116.668745167843,-2662.905500705219,12779.574245873062,Q423,2672.398711,2024-09-07 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,46.0,Shanghai Fosun,2196 HK,18.6,6372.643080076923,-2662.905500705219,9035.548580782142,Q423,2672.398711,2024-09-07 00:00:00,,,,,,,,,,,,,,,,,,,
x,8,8,39.0,Biomarin,BMRN,55.53,10883.880000000001,1183,9700.880000000001,Q125,196,2025-05-21 00:00:00,,,,,,,,,,,,,,,,,,1997,"San Rafael, CA"
x,,,49.0,Eisai,4523 JP,4304,8484.951884667815,861.4939759036145,7623.4579087642005,Q224,286.347412,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,50.0,Jazz,JAZZ,115,7087.776715,-2795.535,9883.311715,Q224,61.632841,2024-09-02 00:00:00,0,-1,65.8225,36.37882380102369,0,,,,,,,,,,,,,,
x,,,51.0,Vaxcyte,PCVX,33.63,3753.4332357300004,1853.0430000000001,1900.3902357300003,Q224,111.609671,2024-09-09 00:00:00,,,,,,,,,,,,,,,,,,2013,
x,,,52.0,Ipsen,IPN,106.1,9870.920541546,7.548,9863.372541546,Q224,83.814526,2024-09-28 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,53.0,BioNTech,BNTX,111.06,26625.49685712,18066.8,8558.696857120001,Q324,239.739752,2025-01-27 00:00:00,,,,,,,,,,,,,,,,,,2008,
x,,,54.0,Recordati,REC IM,50.55,10428.422537999999,-1631.0340000000003,12059.456537999999,Q224,206.29916,2024-09-05 00:00:00,,,,,,,,,,,,,,,,,,1926,
x,,,55.0,Neurocrine,NBIX,128.29,13213.869999999999,1940,11273.869999999999,Q424,103,2025-02-19 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,56.0,Exelixis,EXEL,36.72,10013.8480416,1650.757,8363.0910416,Q125,272.70828,2025-06-04 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,57.0,Halozyme,HALO,60.54,7669.08612,-973.4850000000001,8642.57112,Q224,126.678,2024-09-03 00:00:00,,,,,,,,,,,,,,,,,,,
,,,58.0,Lantheus,LNTH,72.03,5001.08914326,310.25300000000004,4690.83614326,Q224,69.430642,2024-10-21 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,59.0,Orion,ORNBV FH,71.1,11138.436413999998,-123.432,11261.868413999999,Q224,141.134,2024-10-01 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,60.0,Ascendis,ASND,183.59,10690.62929,-413.639,11104.26829,Q224,58.231,2024-09-04 00:00:00,,,,,,,,,,,,,,,,,,2007,"Copenhagen, Denmark"
x,,,61.0,Viking,VKTX,34.05,3541.2,711,2830.2,Q423,104,2024-09-06 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,62.0,Ionis,IONS,43.08,6298.773800280001,309.9079999999999,5988.86580028,Q224,146.211091,2024-09-04 00:00:00,,,,,,,,,,,,,,,,,,1989,
x,,,63.0,Hikma,HIK LN,1930,5563.646656750001,-1276,6839.646656750001,Q224,221.747575,2024-09-06 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,64.0,Kyowa Kirin,4151 JP,2565,9427.86218788296,2512.97074010327,6914.89144777969,Q224,533.877966,2024-10-02 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,65.0,Perrigo,PRGO,26.7,3642.2916605999994,-3514.8,7157.091660599999,Q224,136.415418,2024-10-01 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,66.0,Cytokinetics,CYTK,36.07,4243.98097846,707.185,3536.7959784600002,Q224,117.659578,2024-10-05 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,67.0,Bridgebio,BBIO,47.92,8989.121120000002,-1130.3990000000001,10119.520120000001,Q224,187.586,2024-10-14 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,68.0,Madrigal,MDGL,328,7121.758056,946.1869999999999,6175.571056,Q224,21.712677,2025-05-06 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,69.0,TG Therapeutics,TGTX,27.93,4324.21021641,115.662,4208.548216409999,Q224,154.823137,2024-10-15 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,70.0,Axsome,AXSM,106,5134.227448,206.86999999999998,4927.357448,Q224,48.436108,2024-09-05 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,71.0,Legend Biotech,LEGN,38.88,7099.568753760001,1008.441,6091.127753760001,Q224,182.602077,2024-10-09 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,72.0,Adma,ADMA,19.86,4859.03226318,-11.043,4870.07526318,Q224,244.664263,2024-10-01 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,73.0,Alkermes,ALKS,26.36,4340.65715244,673.06,3667.5971524399997,Q224,164.668329,2024-09-05 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,74.0,Krystal,KRYS,132.99,3824.86527852,694.2120000000001,3130.65327852,Q324,28.760548,2024-12-05 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,75.0,Lundbeck,HLUN DE,33.78,4747.006660053848,356.95054555760237,4390.056114496245,Q224,991.7,2024-10-16 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,76.0,Sino Biopharm,1177 HK,7.25,17110.280434647437,3986.4565384615375,13123.823896185899,Q224,18408.301709,2024-09-04 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,77.0,Alvotech,ALVO,8.8,2357.7362160000002,-984,3341.7362160000002,Q424,267.92457,2025-04-14 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,78.0,Amicus,FOLD,6.93,2055.37515183,-128.877,2184.25215183,Q224,296.590931,2024-10-15 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,79.0,Roivant,ROIV,11.47,8184.41228326,5436.548,2747.86428326,Q224,713.549458,2024-09-05 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,80.0,Ultragenyx,RARE,28.61,2704.84762135,563.003,2141.8446213499997,Q124,94.542035,2024-10-06 00:00:00,,,,,,,,,,,,,,,,,,2010,
x,,,81.0,ImmunityBio,IBRX,2.45,1706.5068741,-474.93899999999996,2181.4458741,Q224,696.533418,2024-10-07 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,82.0,Apellis,APLS,24.43,2974.75139304,-96.74699999999996,3071.49839304,Q224,121.766328,2024-09-05 00:00:00,,,,,,,,,,,,,,,,,,2009,"Waltham, Mass"
x,,,83.0,Soleno,SLNO,83.6,3820.8385995999997,268.82000000000005,3552.0185995999996,Q424,45.703811,2024-09-11 00:00:00,,,,,,,,,,,,,,,,,,1999,
