Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,144,Unnamed: 80,Unnamed: 81,Unnamed: 82,152,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117
,Other Japan,,,,-239204.5,-259302.5,47606,,,,,,16000,,,,20748,27352,32400,32400,32400,32400,32400,32400,,,,,,,,,,,,,,,,,,,,,,,,400754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420791.7,112900,118545,124472.25,130695.8625,137230.655625,,,,,,,,,,,,,,,,,,,,,,,
,Other US,,,,,,,,,,,,2400,,,,6200,8200,9500,9500,9500,9500,9500,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33400,33400,33400,33400,33400,,,,,,,,,,,,,,,,,,,,,,,
,Other Europe,,,,,,,,,,,,8600,,,,19200,16700,16200,16200,16200,16200,16200,16200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68300,68300,68300,68300,68300,,,,,,,,,,,,,,,,,,,,,,,
,Other Asia,,,,,,,,,,,,0,,,,2200,3000,2700,2700,2700,2700,2700,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10600,10600,10600,10600,10600,,,,,,,,,,,,,,,,,,,,,,,
,Other Other,,,,,,,,,,,,,,,,16128,28572,19405,19405,19405,19405,19405,19405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51700,51700,51700,51700,46500,,,,,,,,,83510,83510,83510,83510,83510,,,,,,,,,,,,,,,,,,,,,,,
,Actovegin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3500,4300,2400,3200,4400,4000,4200,,,,,,,,,,,,,,,,,,,,,,,,,,13400,15800,0,,,,,,,,,,,,,
,Fosrenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3600,3200,3400,4200,3300,3400,2600,4200,4000,3000,2400,1800,2200,2000,2000,,,,,,,,,,,,,,,,,,13600,13500,13600,,,,,,,,,,,,,
,Lotriga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800,8200,8700,7900,8400,2100,2800,3400,,,,,,,,,,,,,,,,,,,,,,,,,,32600,16700,0,,,,,,,,,,,,,
,Azilva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22600,17700,19700,16200,19600,17600,19400,16300,18700,5000,5400,4600,3200,2600,2900,3000,,,,,,,,,,,,,,,,,,76200,72900,33700,,,,,,,,,,,,,
,Qdenga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1200,3800,3800,9500,10400,10100,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Vaccines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9800,6000,7900,17100,3000,15200,1700,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other CNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,5100,5700,4700,6400,5400,6700,6300,8200,6400,6500,2600,5500,5200,5500,4500,,,,,,,,,,,,,,,,,,21400,24800,23700,,,,,,,,,,,,,
,Adderall XR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,5700,6300,4900,6200,6300,6500,9500,13500,9100,12600,6500,7700,9100,7100,4500,,,,,,,,,,,,,,,,,,20800,28500,41700,,,,,,,,,,,,,
,Intuniv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,4200,5000,6400,5100,5300,6200,-300,7900,8300,9200,8100,10200,9600,10900,9600,,,,,,,,,,,,,,,,,,18900,16300,33500,,,,,,,,,,,,,
,Trintellix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17900,22200,23000,19300,21400,28400,29900,20400,24300,26600,29300,24600,31000,33100,34000,27600,698.6111111111111,826.9736842105264,,,,,,,,,,,,,,,,82400,100100,104800,,,,,,,,,,,,,
,Vyvanse/Elvanse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79200,80100,85700,82100,100000,111300,124200,123800,123200,103100,86600,110300,114600,88500,84400,63000,3032.6388888888887,2305.9210526315787,,,,,,,,,,,,,,,,327100,459300,423200,,,,,,,,,,,,,
,Other Oncology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,700,1400,600,1000,1300,1400,1200,5700,4100,2900,3300,3600,3600,4200,5500,,,,,,,,,,,,,,,,,,3300,4900,16000,,,,,,,,,,,,,
,Exkivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,200,200,500,700,700,800,1500,,,,,,,,,,,,,,,,,,,,,,,,,,900,3700,0,,,,,,,,,,,,,
,Cabometyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1500,1800,1600,2100,1900,2100,1700,2200,2000,2300,1900,2300,2100,2200,1700,,,,,,,,,,,,,,,,,,6500,7800,8400,,,,,,,,,,,,,
,Zejula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1800,2400,2200,3000,3300,3500,3100,3800,3600,3700,3100,3700,3500,3800,3300,,,,,,,,,,,,,,,,,,8000,12900,14200,,,,,,,,,,,,,
,Fruzaqla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2200,7800,11900,11100,13000,11900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alunbrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3100,3900,3500,4500,5200,6100,4800,6600,7100,7400,7400,9400,8800,9300,8900,,,,,,,,,,,,,,,,,,13600,20600,28500,,,,,,,,,,,,,
,Vectibix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200,6600,6600,5300,6700,6600,6800,5700,6800,6800,6900,5900,6600,6900,7300,5500,,,,,,,,,,,,,,,,,,24700,25800,26400,,,,,,,,,,,,,
