Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,Gross Margin,,,,,0.4667661903746357,0.49291866028708137,0.49481532533441935,0.4774842843326886,0.4528175706592517,0.4882787465848146,0.4999078057775046,0.4877104936965263,0.5134857436424352,0.5252818886539817,0.5269834818706999,0.5016451603673715,0.5147716815282581,0.516725118623088,0.52,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,171599,,,,,,,,,206143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,255226,,,,,,,,,280691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,9671,,,,,,,,,11112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Related Parties,,,,,,,,,4374,,,,,,,,,1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCA,,,,,,,,,9950,,,,,,,,,12757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,23133,,,,,,,,,29154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Copyrights,,,,,,,,,7096,,,,,,,,,6914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Produced content,,,,,,,,,12032,,,,,,,,,14320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
