Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,,,0.5728913106261089,0.42417828166114724,0.38091098567537807,0.1311474909073138,0.057149093511673854,0.0016295742689067527,-0.06974415818926227,-0.038923080108271724,0.0536333958365085,0.04714384615384626,0.20854069560432453,0.1836702198902469,0.15475189234650966,,,,,,,,,1.0395196819635975,0.4309320939839918,0.4532930773622852,0.4611345505247928,0.6424660080921523,0.11781839803665184,0.0009673819324691468,0.14204260485689546,0.050000000000000044
,DAU Growth,,,,,,0.23109243697478998,0.22891566265060237,0.20377358490566033,0.18571428571428572,0.1843003412969284,0.18627450980392157,0.17554858934169282,0.1536144578313252,0.144092219020173,0.11845730027548207,0.10400000000000009,0.10182767624020883,0.08816120906801017,0.09113300492610832,,,,,,,,,,,,,,,,,
,Gross Margin,,,,0.5769376795468562,0.4638648932410237,0.5468716271530218,0.5845573322366603,0.6539362116058047,0.6039462627749178,0.5981876103263184,0.5863828738936406,0.6297607692307693,0.5549439211497378,0.5346179387057225,0.5325878889823381,0.5434438145666564,0.5189471138032078,0.5339959549537573,0.5346635105608157,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,185.528,,-124.081,,125.291,,,,,,,115.872,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,-24.565,,-23.37,,-46.925,,,,,,,-44.041,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,160.963,,-147.451,,78.366,,,,,,,71.831,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,4043,4667,5190,5661,6131,6446,5706,5288,,5286,5367,5289,4835,4719,4800,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.5164481820430373,0.3811870580672809,0.09942196531791914,-0.06588941883059529,,-0.17995656220912193,-0.05941114616193477,0.00018910741301048084,,-0.10726447219069235,-0.1056456120737842,,,,,,,,,,,,,,,,,
