,Cash App Card,,,,,,,,,24,24,24,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflows,,,,,,,,,71.1,70.7,70,71.1,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,-1.702,1.304,-17.289,5.375000000000002,-2.056,-8.15,49.529,-47.342000000000006,35.492,53.633,40.393,0,37.178000000000004,,,,,,3.746,1.917,0.149,2.326,2.767,2.862,-1.364,-12.312,-8.019,129.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,-200.6780000000004,-116.02799999999989,38.741999999999436,-19.517999999999837,36.26900000000045,-50.12099999999968,41.0850000000008,198.98200000000026,532.1290000000001,253.66999999999993,336.96100000000035,-92.96900000000036,340.15400000000034,,,,,,-169.1957000000002,-164.27199999999993,-55.38600000000034,-27.000999999999806,13.977999999999604,228.13400000000044,268.344000000001,-297.48200000000094,225.74899999999965,1029.7910000000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.3706409818353088,-0.1995837275307472,0.06536836563900342,-0.03371281408206913,0.058162638575065,-0.08261358316905396,0.06721186501678587,0.3240622516383729,0.8348955064641649,0.3999709880309859,0.5325257601618313,-0.14608809063624564,,,,,,,-0.992361787235042,-0.4809532871719048,-0.1460046817664187,-0.06654901893126186,0.02999081694830801,0.4731431226110465,0.5347852341369428,-0.5138310973850908,0.3676550102276127,1.6181759612816065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,541.435,581.35,592.672,578.949,623.579,606.692,611.276,614.024,637.36,634.221,632.76,636.39,635.342,,,,,,170.498,341.555,379.344,405.731,466.076,482.167,501.779,578.949,614.024,636.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,0.25992887522108155,0.25665983804287396,0.24403543229925306,0.24137382383030204,0.1937818866879446,0.1121248096417009,0.06378432514290622,0.04486925453294588,-0.031110964881063574,-1,-1,-1,,,,0.34851051279940704,0.29585403351395567,0.4895212967985143,0.42912281542197395,1.014973586506842,0.8595480868912055,-0.0073390244141354755,0.25006498270806854,0.10063277690075245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth ex-BTC,,,,,0.2675190999223269,0.2006630224996886,0.16024475540987715,0.15473033310665318,0.14139075425102088,0.1271430402538365,0.11061179263404197,0.10801109599883185,0.07575626068659536,-1,-1,-1,,,,0.44894052395094985,0.35858911853961595,0.4143189599381827,0.34019497646615515,0.17369404829838198,0.5526799951685282,0.3621827440369134,0.19182662456684985,0.12116357465511274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,0.3308625236546067,0.33773353110081306,0.3511417568791867,0.3609009607168674,0.3473039084545076,0.3404711183844789,0.34113598361404285,0.35407710528850056,0.3546171913714125,0.3656966876953416,0.37934178196362295,0.3857333560323717,0.3992304994840428,,,,,,,0.34181472575101496,0.3820024179712074,0.39742864012452944,0.402383579081362,0.2889771476475372,0.25153824459183216,0.3457807898395051,0.3457677201328021,0.3713519471973301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bitcoin Margin,0.025037078379679046,0.023215380609613742,0.02082028555349818,0.018887045345707693,0.02328179166641642,0.01850821704440709,0.01843468185959302,0.026143583366103604,0.029333710223336466,0.02581188118432777,0.026571188104461463,0.031618013535277906,0.028368359808499454,,,,,,,,,0.010149113904286036,0.01592750718828973,0.021220187582179587,0.021738007941356628,0.02194941103826643,0.021602703304232727,0.02831779535757947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ex-Bitcoin GM,0.4317582512202603,0.44776626108315315,0.437336461312509,0.4165391293483954,0.40463914972508996,0.4146948878095388,0.4139936360115456,0.3919076050623574,0.3699989212660617,0.38381322979158083,0.37913161195345163,0.3757821101738196,0.35483118055183355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
