3. Product Sales Analysis (Reported & Underlying Growth),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Table of Contents
,,FY20 Reported,,,,FY21 Reported & Underlying Growth,,,,,,,,,,,,,,,
,,,,,,YOY,,,YOY,,,,YOY,,,,YOY,,,,
,(Bn JPY),Q1,Q2,Q3,Q4,Q1,Reported,Underlying,Q2,Reported,Underlying,YTD Underlying,Q3,Reported,Underlying,YTD Underlying,Q4,Reported,Underlying,YTD Underlying,
,(Bn JPY),Q1,Q2,Q3,Q4,Q1,Reported,Underlying,Q2,Reported,Underlying,YTD Underlying,Q3,Reported,Underlying,YTD Underlying,Q4,Reported,Underlying,YTD Underlying,
PDT Immunology,,105.3,100.6,107.1,107.3,107.2,0.018000000000000002,-0.018000000000000002,130.8,0.3,0.24600000000000002,0.111,125.2,0.16899999999999998,0.087,0.10300000000000001,143.7,0.33899999999999997,0.23500000000000001,0.136,
,immunoglobulin *1,85.1,77.6,85.4,86.8,81.6,-0.040999999999999995,-0.069,99.7,0.28600000000000003,0.242,0.08,97,0.136,0.061,0.073,107.6,0.239,0.154,0.094,
,albumin *1,13,15.6,15,14,17.8,0.368,0.264,24,0.538,0.42200000000000004,0.35000000000000003,19.7,0.314,0.19399999999999998,0.297,28.5,1.042,0.8270000000000001,0.423,
,Others *1 *4,7.2,7.5,6.7,6.5,7.8,0.091,0.06,7.1,-0.046,-0.081,-0.012,8.5,0.257,0.17600000000000002,0.048,7.6,0.165,0.076,0.054000000000000006,
Oncology,,108,102.1,108.4,98,121.4,0.12400000000000001,0.087,112.3,0.1,0.066,0.077,125.4,0.157,0.092,0.08199999999999999,109.6,0.11800000000000001,0.055999999999999994,0.076,
,VELCADE,24.2,25.8,25.9,25.2,30.1,0.24600000000000002,0.22100000000000003,25,-0.033,-0.067,0.071,29.3,0.134,0.053,0.065,25.6,0.015,-0.078,0.028999999999999998,
,LEUPLIN/ENANTONE,27.4,22.5,25.4,20.1,26.2,-0.043,-0.08800000000000001,27.6,0.23,0.188,0.036000000000000004,28.4,0.11699999999999999,0.077,0.05,24.2,0.20600000000000002,0.158,0.07200000000000001,
,NINLARO,22.9,21.4,23.5,19.5,24.4,0.063,0.02,21.4,0,-0.044000000000000004,-0.011000000000000001,24.9,0.061,-0.011000000000000001,-0.011000000000000001,20.5,0.047,-0.028999999999999998,-0.015,
,ADCETRIS,15.1,15.5,13.8,15,17.2,0.142,0.08800000000000001,16.9,0.09300000000000001,0.057,0.07200000000000001,17.6,0.277,0.222,0.11900000000000001,17.4,0.157,0.14,0.12400000000000001,
,ICLUSIG,9.2,7.6,9.4,7.9,10.4,0.12300000000000001,0.1,7.5,-0.016,-0.05,0.032,8.8,-0.062000000000000006,-0.13,-0.027000000000000003,8.2,0.03,-0.062000000000000006,-0.035,
,VECTIBIX,6.2,5.7,6.5,5.4,6.2,0.001,0.001,6.6,0.15,0.15,0.073,6.6,0.017,0.017,0.053,5.3,-0.018000000000000002,-0.018000000000000002,0.037000000000000005,
,ALUNBRIG,2,2.3,2.2,2.3,3.1,0.544,0.473,3.1,0.38799999999999996,0.33,0.397,3.9,0.756,0.649,0.484,3.5,0.514,0.429,0.469,
,Others,0.9,1.3,1.7,2.4,3.8,3,3.072,4.1,2.256,2.422,2.7,5.8,2.3480000000000003,2.053,2.417,4.9,1.0150000000000001,0.991,1.877,
Neuroscience,,106.9,100.9,107.3,102.2,113.4,0.061,0.028999999999999998,120.3,0.192,0.157,0.091,128.9,0.201,0.11699999999999999,0.1,119.7,0.171,0.081,0.095,
,VYVANSE/ELVANSE,66,66.6,69.8,69.1,79.2,0.2,0.156,80.1,0.20199999999999999,0.149,0.152,85.7,0.228,0.135,0.146,82.1,0.188,0.086,0.131,
,TRINTELLIX,16.9,18.1,17.7,16.2,17.9,0.059000000000000004,0.04,22.2,0.227,0.187,0.11599999999999999,23,0.29600000000000004,0.21,0.14800000000000002,19.3,0.19100000000000003,0.08900000000000001,0.134,
,INTUNIV,5.6,3.3,5.9,5.6,3.3,-0.425,-0.495,4.2,0.266,0.17800000000000002,-0.251,5,-0.139,-0.195,-0.22899999999999998,6.4,0.154,0.15,-0.13,
,ADDERALL XR,5.3,3.7,4.4,4.4,3.9,-0.249,-0.27399999999999997,5.7,0.529,0.46799999999999997,0.035,6.3,0.444,0.335,0.135,4.9,0.115,0.019,0.106,
,ROZEREM,3,2.9,3.6,2.5,3.2,0.069,0.071,3.1,0.057,0.059000000000000004,0.065,3.1,-0.126,-0.12400000000000001,-0.006,2.2,-0.109,-0.1,-0.026000000000000002,
,Others *5,10,6.3,6,4.4,5.9,-0.41200000000000003,-0.41100000000000003,5.1,-0.193,-0.035,-0.277,5.7,-0.04,-0.08,-0.218,4.7,0.073,0.065,-0.16899999999999998,
Others *2,,139.8,152,153.5,128.7,241.6,0.728,0.087,118.2,-0.223,0.091,0.08900000000000001,122.3,-0.203,0.109,0.096,142,0.10400000000000001,0.226,0.128,
,AZILVA-F *3,20.9,19.1,22.9,19.4,22.6,0.086,0.086,17.7,-0.07200000000000001,-0.07200000000000001,0.011000000000000001,19.7,-0.138,-0.138,-0.044000000000000004,16.2,-0.163,-0.163,-0.07200000000000001,
,LOTRIGA,8.1,7.6,8.8,7.3,7.8,-0.03,-0.03,8.2,0.085,0.08199999999999999,0.024,8.7,-0.013000000000000001,-0.016,0.01,7.9,0.087,0.073,0.024,
,AIPHAGAN,4,3.7,4.6,3.7,4.6,0.15,0.15,3.8,0.033,0.033,0.094,3.6,-0.207,-0.207,-0.019,2.9,-0.21300000000000002,-0.21300000000000002,-0.064,
,FOSRENOL,3.2,3.3,3.7,3.3,3.4,0.047,-0.032,3.6,0.099,0.045,0.006999999999999999,3.2,-0.136,-0.19399999999999998,-0.066,3.4,0.048,0,-0.05,
,ACTOVEGIN,1.7,3.2,3.4,2.4,3.2,0.872,0.833,3.5,0.08800000000000001,0.038,0.318,4.3,0.294,0.149,0.247,2.4,-0.019,-0.034,0.184,
,*1 PDT products,,,,,,,,,,,,,,,,,,,,
,*2 The 133.0 billion JPY selling price of the sale of diabetes portfolio in Japan is included in FY21Q1 Reported.,,,,,,,,,,,,,,,,,,,,
,*3 The figures include the amounts of fixed dose combinations.,,,,,,,,,,,,,,,,,,,,
,"*4 Other in PDT Immunology include ARALAST, GLASSIA, CEPROTIN, ANTITHROMBIN III, KENKTSU-NONTHRON and others",,,,,,,,,,,,,,,,,,,,
,"*5 Other in Neuroscience include REMINYL, COPAXONE, AZILECT, MYDAYIS, BUCCOLAM, EQUASYM and CARBATROL",,,,,,,,,,,,,,,,,,,,
