Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,326.503,352.179,323.043,345.26800000000003,341.202,378.655,355.45500000000004,355.025,374.645,418.49,382.869,383.466,415.24199999999996,481.274,430.89300000000003,446.81899999999996,438.381,440.116,364.847,,,,,,,1395.931,1365.7849999999999,1388.1680000000001,1503.615,888.1693600000001,923.6961344000001,960.6439797760002,999.0697389670402,1039.0325285257218,1080.5938296667507,1123.8175828534208,1168.7702861675577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,-38.553000000000054,-26.245000000000005,42.85200000000003,29.363,-35.93700000000001,-48.613999999999976,46.913999999999874,55.64700000000005,14.411000000000001,-8.23399999999998,78.07400000000007,146.24299999999994,41.375999999999976,29.406999999999982,92.77099999999996,134.75099999999998,119.03500000000008,170.42399999999998,228.096,,,,,,,-73.69200000000001,-30.76299999999992,-12.335999999999785,108.73799999999983,1023.0081200000002,1330.5096156,1549.151102224,1604.8813539929595,1661.7749851048784,1723.4747297915299,1790.411182304695,1858.6709403724356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Expense,,,-5.275,4.655000000000001,-1.8579999999999997,2.484,7.059000000000001,-0.694,-3.1399999999999997,-4.301,0.5129999999999995,6.942000000000002,-5.647,5.244,16.008,5.108000000000001,17.084999999999997,11.683999999999997,15.085,15.103,16.150000000000002,,,,,,,5.646000000000001,-5.557000000000001,6.991000000000001,0.014000000000001123,0.0,20.460162400000005,47.47955796,76.21890984331199,103.11651406469235,131.35477805140548,161.03205017689245,192.25514189659785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,-43.82800000000005,-21.590000000000003,40.994000000000035,31.847,-28.87800000000001,-49.30799999999998,43.77399999999987,51.346000000000046,14.924000000000001,-1.2919999999999785,72.42700000000006,151.48699999999994,57.38399999999997,34.514999999999986,109.85599999999995,146.43499999999997,134.1200000000001,185.527,244.246,,,,,,,-68.046,-36.31999999999992,-5.344999999999784,108.75199999999982,1023.0081200000002,1350.969778,1596.630660184,1681.1002638362716,1764.8914991695708,1854.8295078429353,1951.4432324815875,2050.9260822690335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,0,0,5.857,1.215,-9.666,-8.676,13.389,7.187,4.748,-17.309,5.905,14.77,1.291,-1.048,16.885,24.962,28.361,44.696,52.403,,,,,,,0.0,0.0,-11.27,8.015,0.0,0.0,159.6630660184,336.22005276725434,352.9782998339142,370.96590156858707,390.28864649631754,410.18521645380673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Profit,,,-43.82800000000005,-21.590000000000003,35.137000000000036,30.632,-19.21200000000001,-40.63199999999998,30.384999999999874,44.15900000000005,10.176000000000002,16.017000000000024,66.52200000000006,136.71699999999993,56.092999999999975,35.56299999999999,92.97099999999995,121.47299999999997,105.75900000000009,140.831,191.84300000000002,,,,,,,-68.046,-36.31999999999992,5.925000000000216,100.73699999999982,1023.0081200000002,1350.969778,1436.9675941655998,1344.8802110690172,1411.9131993356566,1483.8636062743483,1561.15458598527,1640.7408658152267,1624.3334571570745,1608.0901225855037,1592.0092213596486,1576.089129146052,1560.3282378545916,1544.7249554760458,1529.2777059212854,1513.9849288620726,1498.8450795734518,1483.8566287777173,1469.0180624899401,1454.3278818650408,1439.7846030463904,1425.3867570159266,1411.1328894457674,1397.0215605513097,1383.0513449457965,1369.2208314963384,1355.528623181375,1341.9733369495611,1328.5536035800656,1315.2680675442648,1302.115386868822,1289.0942330001337,1276.2032906701324,1263.4412577634312,1250.8068451857969,1238.298776733939,1225.9157889665994,1213.6566310769333,1201.520064766164,1189.5048641185024,1177.6098154773174,1165.8337173225443,1154.175380149319,1142.6336263478258,1131.2072900843475,1119.895217183504,1108.6962650116689,1097.6093023615522,1086.6332093379367,1075.7668772445572,1065.0092084721116,1054.3591163873905,1043.8155252235165,1033.3773699712813,1023.0435962715684,1012.8131603088527,1002.6850287057642,992.6581784187066,982.7315966345195,972.9042806681744,963.1752378614926,953.5434854828777,944.008050628049,934.5679701217684,925.2222904205507,915.9700675163452,906.8103668411818,897.74226317277,888.7648405410423,879.8771921356318,871.0784202142755,862.3676360121327,853.7439596520114,845.2065200554913,836.7544548549364,828.386910306387,820.1030412033231,811.9020107912899,803.782990683377,795.7451607765432,787.7877091687778,779.9098320770901,772.1107337563192,764.3896264187559,756.7457301545684,749.1782728530227,741.6864901244925,734.2696252232475,726.9269289710151
,EPS,,,-0.22171858716877307,-0.11703419414991655,0.19058389607571954,0.16519708564556404,-0.10486098223934857,-0.22136265077306938,0.15591166117627678,0.2355800008535703,0.05482847244298131,0.08609994194422359,0.3422564994366215,0.701120011487297,0.29341486506985803,0.1853803730230715,0.4665766679045676,0.6058352659534674,0.536447422481702,0.7164018903149337,0.9764294512250986,,,,,,,-0.3800624444953335,-0.18948444787612517,0.032176604757251086,0.5344428543196637,5.427393903382015,7.16733816029784,7.623584805887852,7.135031008683587,7.490663016613139,7.872383544857734,8.282437564829227,8.704668905419135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,197.674,184.476,184.365,185.427,183.214,183.554,194.886,187.448,185.597,186.028,194.363,194.998,191.173,191.838,199.262,200.505,197.147,196.581,196.474,,,,,,,179.039,191.678,184.14000000000001,188.48975000000002,188.48975000000002,188.48975000000002,188.48975000000002,188.48975000000002,188.48975000000002,188.48975000000002,188.48975000000002,188.48975000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue CC,,,,,,,,,,,,,,,,,,,0.32,0.21,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
