Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148
,7.1763,Q108,Q208,Q308,Q408,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412,Q113,Q213,Q313,Q413,Q114,Q214,Q314,Q414,Q115,Q215,Q315,Q415,Q116,Q216,Q316,Q416,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025,2026,2027,2028,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Insulin Analogs,3821,4103,4365,5028,4990,5414,5353,5714,5862,6792,6820,7127,6705,0,0,0,0,0,0,0,9,24,42,68,9457,10492,,,11498,12604,12500,13562,11715,11806,11770,12219,,,,,12293,12880,12294,12924,12978,12729,12247,12703,13227,11292,11209,11949,12331,11116,11619,11888,12650,10492,10908,10716,11397,9321,9719,9991,12620,11041,10703,14042,13253,11645,10666,14182.42,,,,,,,,,,,,,,,,17317.0,21471.0,26601,28765.0,34821.0,,,,,,,,47677.0,46954.0,44766.0,40428.0,48406.0,49746.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Human Insulins,2939,2966,2806,3093,3004,2879,2747,2685,2773,3099,2963,2992,2655,,,,,,,,2824,2779,2572,2694,2573,2475,,,2897,2784,2772,2778,2725,2667,2760,2938,,,,,2366,2335,2386,2178,2415,2180,2237,2204,2687,2314,2194,1678,2535,2041,2391,2085,2312,1851,2053,1970,2012,1967,1626,1989,1745,1571,1806,1845,1744,1101,1327,,,,,,,,,,,,,,,,,11804.0,11315.0,11827,10785.0,11302.0,,,,,,,,8873.0,9052.0,8186.0,7594.0,6967.0,4172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Insulins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14659,15215,14680,15102,15393,14909,14484,14907,15914,13606,13403,13627,14866,13157,14010,13973,14962,12343,12961,12686,13409,11288,11345,11980,14365,12612,12509,15887,14997,12746,11993,16045.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,56550.0,56006.0,52952.0,48022.0,55373.0,55781.87,52992.7765,50343.137675,47825.98079125,45434.681751687494,43162.947664103114,41004.80028089796,38954.560266853056,37006.8322535104,35156.49064083488,33398.666108793135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victoza,,,,,,,28,59,370,296,700,951,1098,,,,,,,,2678,2877,2847,3231,2916,3059,,,3957,4486,4680,4904,4591,4952,5106,5397,,,,,5989,5729,6115,6500,5722,5415,5370,5427,4991,4234,4765,4757,3909,3697,3615,3833,3322,2710,2967,3323,2815,1836,2227,1786,2159,2242,-322,1403,1158,914,549,701.5,,,,,,,,,,,,,,,,0.0,87.0,2317,5991.0,9495.0,,,,,,,,18747.0,15054.0,12322.0,8664.0,5482.0,3322.5,2658,2126.4,1701.1200000000001,1360.8960000000002,1088.7168000000001,870.9734400000002,696.7787520000002,557.4230016000001,445.9384012800001,356.7507210240001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rybelsus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,50,229,355,454,835,729,945,1341,1823,2063,2172,3011,4053,4356,3988,4496,5910,5013,5918,5453,6917,5695,5653,5442,6986.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873.0,4838.0,11299.0,18750.0,23301.0,23776.17,22587.3615,21457.993424999997,20385.093753749996,19365.839066062494,18397.547112759366,17477.6697571214,16603.78626926533,15773.596955802062,14984.91710801196,14235.67125261136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ozempic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,195,540,992,1425,2325,3122,4365,4755,4836,5432,6188,6662,7435,8892,10716,12035,14349,16390,16976,19640,22101,23912,30065,27810,28875,29804,33853,32721,31799,30744,35545.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,21211.0,33705.0,59750.0,95718.0,120342.0,130809.65,124269.1675,118055.709125,112152.92366875,106545.27748531249,101218.01361104686,96157.1129304945,91349.25728396978,86781.7944197713,82442.70469878272,78320.56946384358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NN0519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p2,p3,p3,file,20000.0,26000.0,33800.0,43940.0,57122.0,74258.6,96536.18000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Protein Sales,443,460,464,477,484,492,519,569,503,583,567,561,639,,,,,,,,597,619,624,572,587,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844.0,2064.0,2214,2309.0,2511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wegovy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404,1181,1157,2446,4563,7518,9648,9614,9377,11659,17304,19866,17360,19528,20354,20859.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6188.0,31343.0,58206.0,78101.3,74196.235,70486.42324999999,66962.1020875,63613.99698312499,60433.297133968736,42303.307993778115,29612.31559564468,20728.620916951273,14510.03464186589,10157.024249306123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
