Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,Trips y/y,,,,,,,,,,,0.1749283080704629,0.17954632833525563,0.1804043545878693,,,
,Mobility Bookings y/y,,,,,,,,,,,0.17309948053398871,0.18216230230749297,0.13454740224959827,,,
,Mobility Revenue y/y,,,,,,,,,,,0.26385328337605984,0.24814881704894343,0.15320433161725555,,,
,Take Rate,,,,,,,,,0.3017139796464917,0.29843339495961857,0.30516141319874296,0.3031406263707343,0.3066754791804362,,,
,Gross Margin,,,,,,,,,0.39117559964465504,0.3936448598130841,0.39569181265641756,0.3950999247428715,0.39850862741697735,,,
,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,25475,25949,,,
,AR,,,,,,,,,,,,3333,3489,,,
,Prepaids,,,,,,,,,,,,1390,1582,,,
,PP&E,,,,,,,,,,,,1952,1941,,,
,Lease,,,,,,,,,,,,1158,1162,,,
,Intangibles,,,,,,,,,,,,9191,9134,,,
,DTA,,,,,,,,,,,,6171,6592,,,
,Other,,,,,,,,,,,,2574,2973,,,
,Assets,,,,,,,,,,,,51244,52822,,,
,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,858,873,,,
,Insurance Reserves,,,,,,,,,,,,9796,10472,,,
,Lease,,,,,,,,,,,,1629,1624,,,
,Accrued,,,,,,,,,,,,7689,8190,,,
,Debt,,,,,,,,,,,,8347,8350,,,
,OLTL,,,,,,,,,,,,449,408,,,
,SE,,,,,,,,,,,,22476,22905,,,
,L+SE,,,,,,,,,,,,51244,52822,,,
,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,,,,862.4,1556,,,
,Reported NI,,,,,,,,,,,,6901,1774,,,
,D&A,,,,,,,,,,,,176,178,,,
,Bad Debt,,,,,,,,,,,,14,0,,,
,SBC,,,,,,,,,,,,419,435,,,
,DT,,,,,,,,,,,,-6128,-412,,,
,Unrealized Gain,,,,,,,,,,,,-608,-51,,,
,Unrealized FX,,,,,,,,,,,,135,-51,,,
,Other,,,,,,,,,,,,68,-27,,,
,WC,,,,,,,,,,,,773,478,,,
,CFFO,,,,,,,,,,,,1750,2324,,,
,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,,,,-44,-74,,,
,Investments,,,,,,,,,,,,1416,-322,,,
,Other,,,,,,,,,,,,61,-146,,,
,CFFI,,,,,,,,,,,,1433,-542,,,
,,,,,,,,,,,,,,,,,
,ESOP,,,,,,,,,,,,53,0,,,
,Leases,,,,,,,,,,,,-50,-47,,,
,Loans,,,,,,,,,,,,-2000,0,,,
,Buybacks,,,,,,,,,,,,-555,-1785,,,
,NCI,,,,,,,,,,,,-851,0,,,
,Other,,,,,,,,,,,,6,-30,,,
,CFFF,,,,,,,,,,,,-3397,-1862,,,
,FX,,,,,,,,,,,,-179,70,,,
,CIC,,,,,,,,,,,,-393,-10,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,,,,,1706,2250,,,
