Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,G&A,27.481,29.979,33.041,35.208999999999996,35.355,36.343,31.874,33.948000000000015,38.444,39.429,39.471,37.34280000000002,42.2884,43.371900000000004,43.4181,41.077080000000024,,,108.936,125.71,137.52,170.15548000000004,171.85703480000004,173.57560514800005,175.31136119948005,177.06447481147484,178.8351195595896,180.6234707551855,,,,,
,Operating Income,191.844,207.20499999999998,217.452,229.702,248.869,249.79000000000002,251.73499999999999,240.80699999999993,267.367,278.35400000000004,280.159,264.8877,294.10370000000006,306.18940000000003,308.1749,291.37647,,,590.192,846.203,991.201,1199.84447,1235.3427471000002,1272.3709985910002,1311.0032737979104,1351.3173000179395,1393.3946661742714,1437.3210156499742,,,,,
,Operating Expenses,-111.482,-117.30699999999997,-118.9,-114.98500000000004,-132.71099999999998,-118.42500000000001,-108.10299999999998,-84.67999999999995,-111.35100000000003,-108.34900000000005,-93.66299999999998,-69.73845,-91.45445000000007,-96.04015000000004,-90.52564999999998,-66.22721999999999,,,-339.62,-462.674,-443.919,-344.24747,-239.85993910000036,-114.25549389100047,-20.5317114179104,86.40037653106083,208.11363175372912,346.3588511673363,,,,,
,Interest Income,-0.816,1.186,4.719,11.327,15.185,17.61,17.529,21.685000000000002,20.85,21.853,22.495,22.495,22.495,22.495,22.495,22.495,,,-0.007,16.416,72.009,89.98,89.98,89.98,89.98,89.98,89.98,89.98,,,,,
,Pretax Income,-112.298,-116.12099999999998,-114.18100000000001,-103.65800000000004,-117.52599999999998,-100.81500000000001,-90.57399999999998,-62.99499999999995,-90.50100000000003,-86.49600000000004,-71.16799999999998,-47.243449999999996,-68.95945000000006,-73.54515000000004,-68.03064999999998,-43.732219999999984,,,-339.627,-446.258,-371.90999999999997,-254.26747,-149.87993910000034,-24.275493891000465,69.4482885820896,176.38037653106085,298.09363175372914,436.3388511673363,,,,,
,Taxes,0.689,1.51,1.868,2.226,1.647,1.667,1.567,31.191000000000003,2.466,3.404,2.976,-4.724345,-6.895945000000006,-7.354515000000004,-6.803064999999998,-4.373221999999998,,,3.174,6.293,36.072,-25.426747000000006,-14.987993910000036,-2.427549389100047,6.944828858208961,17.638037653106085,29.809363175372916,43.63388511673364,,,,,
,Net Income,-112.987,-117.63099999999999,-116.049,-105.88400000000004,-119.17299999999999,-102.48200000000001,-92.14099999999998,-94.18599999999995,-92.96700000000003,-89.90000000000003,-74.14399999999998,-42.519104999999996,-62.063505000000056,-66.19063500000003,-61.22758499999998,-39.358997999999985,,,-342.801,-452.551,-407.98199999999997,-228.840723,-134.8919451900003,-21.847944501900418,62.50345972388064,158.74233887795475,268.2842685783562,392.7049660506027,,,,,
,EPS,-0.4140373658361381,-0.4227240851639302,-0.4111316783035707,-0.3780486469459907,-0.4083155232997724,-0.34409886001009987,-0.30319849020241846,-0.3131938518144168,-0.2958817912158567,-0.28145151313937455,-0.22861514510400036,-0.13110314198407463,-0.19136622250266871,-0.2040917892890987,-0.1887887520115251,-0.12135928785765616,,,-1.8173415869099196,-1.6157898570516318,-1.3566501820965902,-0.7056060516609485,-0.4159249787302114,-0.06736581520454941,0.19272277614206165,0.4894651332101321,0.8272260329920361,1.21086403210941,,,,,
,Shares,272.890829,278.26898,282.26723,280.080357,291.864975,297.8272,303.896632,300.727487,314.203181,319.415586,324.317971,324.317971,324.317971,324.317971,324.317971,324.317971,,,188.62772,280.080357,300.727487,324.317971,324.317971,324.317971,324.317971,324.317971,324.317971,324.317971,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
