Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,Net Income,,14.469,11.709999999999996,19.28100000000001,16.246000000000045,54.69700000000001,33.271,26.887999999999984,15.681999999999945,47.55499999999997,22.780999999999977,17.241000000000028,28.265999999999977,,,,,,,22.279999999999966,61.70600000000009,130.538,162.02382299999982,152.87861489999966,255.69413399999985
,EPS,,0.26876701085834326,0.2127639704075296,0.3452892674672344,0.3021360306943137,0.9566448223699964,0.57924913740261,0.46334562666298323,0.2821332744191358,0.8121920452727506,0.3895351312605658,0.29545927877603506,0.4875066629877438,,,,,,,0.415250944551455,1.1475813067846423,2.34849594287242,2.9149541969708332,2.7504236838667993,4.600167279376706
,Shares,,53.834732,55.037514,55.840137,53.770482,57.17587,57.438152,58.030115,55.58366,58.551423,58.48253,58.353219,57.980746,,,,,,,53.654303,53.770482,55.58366,55.58366,55.58366,55.58366
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,0.7645777766902391,0.7614120262527686,0.84897329684653,0.7140699306671217,0.49985439518533403,0.39705438802451876,0.3113459288485032,0.03581582036662789,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,,,,0.47605921128125384,0.7689256518163787,0.28279709980740897,0.19999999999999996,0.25
,Gross Margin,,0.6768704986093099,0.6502709462275948,0.6737206302845016,0.6891976280576653,0.7052450089905196,0.7070071969820007,0.7084774288318946,0.7074792226515912,0.7127870388348018,0.7109823133770654,0.712876442443006,0.7125884952426761,0,0,0,0,,,0.6419196491183333,0.6744407819723449,0.7071719606380111,0.71,0.7099999999999999,0.71
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,,-180.466,-107.98399999999998,,,,,,,,,,,,
,Cash,,,,,,,,,,,,73.845,148.692,,,,,,,,,,,,
,AR,,,,,,,,,,,,187.744,126.01,,,,,,,,,,,,
,Inventory,,,,,,,,,,,,214.786,187.17,,,,,,,19.513,101.883,71.154,,,
,Prepaids,,,,,,,,,,,,82.702,78.688,,,,,,,,,,,,
,PP&E,,,,,,,,,,,,19.878,28.787,,,,,,,,,,,,
,Goodwill,,,,,,,,,,,,552.629,548.28,,,,,,,,,,,,
,Other,,,,,,,,,,,,133.25,130.548,,,,,,,,,,,,
,Assets,,,,,,,,,,,,1264.834,1248.175,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,254.311,256.676,,,,,,,,,,,,
,AP,,,,,,,,,,,,65.293,72.18,,,,,,,,,,,,
,AE,,,,,,,,,,,,128.364,104.876,,,,,,,,,,,,
,Taxes,,,,,,,,,,,,0.493,3.812,,,,,,,,,,,,
,Leases,,,,,,,,,,,,48.116,48.721,,,,,,,,,,,,
,OLTL,,,,,,,,,,,,0.87,1.055,,,,,,,,,,,,
,SE,,,,,,,,,,,,767.387,760.855,,,,,,,,,,,,
,L+SE,,,,,,,,,,,,1264.834,1248.175,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
