Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
,Pretax,,,,492,219,72,1989,472,306,193,2536,63,194,390,2894,140.5,422,510,3228,242,,,,,,1237,1381,1587,1887,2276,2752,3098,3503.5,5839.539999999999,5288.783875000001,5863.374272750002,6469.795702427503,7109.670730749278,7784.7033629191465,8496.683117653834,9247.489305991137,10039.095524069857,10873.5743705803,11753.10240011934,12679.965324245433,,,,
,Taxes,,,,41,12,2,457,23,10,-70,579,-43,0,60,647,21.075,23,1,683,0,,,,,,397,396,237,324,372,494,476,525.525,875.9309999999998,793.3175812500001,879.5061409125003,970.4693553641254,1066.4506096123916,1167.705504437872,1274.502467648075,1387.1233958986707,1505.8643286104784,1631.036155587045,1762.965360017901,1901.994798636815,,,,
,Net Income,,,,451,207,70,1532,449,296,263,1957,106,194,330,2247,119.425,399,509,2545,242,,,,,,840,985,1350,1563,1904,2258,2622,2977.975,4963.6089999999995,4495.466293750001,4983.868131837502,5499.326347063377,6043.2201211368865,6616.997858481274,7222.180650005759,7860.365910092467,8533.231195459379,9242.538214993256,9990.13704010144,10777.970525608618,,,,
,EPS,,,,1.7083333333333333,0.7811320754716982,0.2564102564102564,5.550724637681159,1.6209386281588447,1.068592057761733,0.9163763066202091,6.8426573426573425,0.375886524822695,0.6830985915492958,1.1702127659574468,7.939929328621908,0.4219964664310954,1.4098939929328622,1.7922535211267605,8.961267605633802,0.8642857142857143,,,,,,3.169811320754717,3.7739463601532566,5.172413793103448,5.920454545454546,7.212121212121212,8.27864344637947,9.265017667844523,10.522879858657243,17.53925441696113,15.885039907243819,17.610841455256192,19.43224857619568,21.35413470366391,23.381617874492136,25.52007296821823,27.775144558630625,30.15276040798367,32.65914563601857,35.30083759753159,38.08470150391738,,,,
,Shares,,,,264,265,273,276,277,277,287,286,282,284,282,283,283,283,284,284,280,,,,,,265,261,261,264,264,272.75,283,283,283,283,283,283,283,283,283,283,283,283,283,283,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,0.41024229074889873,0.5170068027210883,0.6960659898477157,0.34962856458183555,-0.057399453338539685,0.2939711011459891,0.1376730265619155,0.06853693181818188,0.12344656172328095,0.14670773969965345,0.11344952318316337,0.11947490860751087,0.17404129793510315,,,,,,,0.10289731572219862,0.163801429399266,0.12597510373443987,0.13192806603773577,0.25446021617398107,0.3210837745250701,0.1199905704856199,0.1425664772328632,-0.035067086275713644,,,,,,,,,,,,,,
,Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,0.8117913832199547,0.7760152284263959,0.8607716271267674,0.8242873877391644,0.7997010463378177,0.8043396932285821,0.8611505681818182,0.7684341342170671,0.7554871005005775,0.7592897073331141,0.8436357593885012,0.7522123893805309,0.7575554063129617,0.75812167749557,0.8469645242689624,0.7653894472361809,,,,,,0.8444823178525778,0.8460498358122465,0.8401659751037345,0.8279775943396226,0.8299257715848418,0.8304785632720856,0.821939336790822,0.7909212095699151,0.83,,,,,,,,,,,,,,,
,Operating Margin,,,,,0.16477702191987906,0.015862944162436547,0.47495806374311045,0.18391253416634126,0.1310413552566019,0.0819304152637486,0.4541903409090909,0.03603976801988401,0.09164420485175202,0.14205853337717855,0.48820206048521103,0.06600294985250738,0.15614506380120888,0.15505020673360898,0.48404334273415467,0.07255025125628141,,,,,,0.27183638687686407,0.27216534672590303,0.2624066390041494,0.27417452830188677,0.2935278030993619,0.27987127582269283,0.24571742888574571,0.2576299726373395,0.35858397298127104,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,-2851,-3026,,,,,-3501,-4333,-1145,-1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,4002,3888,,,,,2378,1617,4807,4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,,,738,446,,,,,372,928,790,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,,,14,104,,,,,231,509,516,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepaids,,,,,,,,,,,671,287,,,,,388,345,337,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customers,,,,,,,,,,,539,431,,,,,2525,3390,2722,3921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPE,,,,,,,,,,,858,888,,,,,1013,1049,1032,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,,425,549,,,,,457,444,428,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,,,20955,20797,,,,,20037,19883,19728,20362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,312,344,,,,,1087,1523,1200,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,28514,27734,,,,,28488,29688,31560,32132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,900,737,,,,,630,789,886,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Compensation,,,,,,,,,,,543,576,,,,,439,547,689,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR,,,,,,,,,,,741,808,,,,,763,887,843,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,,,806,619,,,,,136,4,440,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCL,,,,,,,,,,,670,579,,,,,506,602,586,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer,,,,,,,,,,,539,431,,,,,2525,3390,2722,3921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,6853,6914,,,,,5879,5950,5952,6038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,,415,542,,,,,474,473,468,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OLTL,,,,,,,,,,,86,87,,,,,144,138,217,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SE,,,,,,,,,,,16961,16441,,,,,16992,16908,18757,18436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,,28514,27734,,,,,28488,29688,31560,32132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,,,,,,,,,399,509,2545,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,,,,,,,,,241,353,2389,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Depreciation,,,,,,,,,,,,,,,,,33,36,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amortization,,,,,,,,,,,,,,,,,158,156,156,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,,,,,,,,22,21,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,,,,,,,,,,,,,495,475,451,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,,,,,,,,,-126,-184,-51,-193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,28,27,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Origination,,,,,,,,,,,,,,,,,-44,-52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sale of Loans,,,,,,,,,,,,,,,,,35,41,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,,,,,,,,,,,,,-939,-260,908,-138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,-97,613,3951,417,,,,,,1460,1599,2112,2324,2414,3250,3889,5046,4884,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investments,,,,,,,,,,,,,,,,,284,570,-575,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,,,,,,,,,-84,-63,-61,-42,,,,,,416,102,38,76,59,53,157,210,191,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,10,-473,417,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acquisitions,,,,,,,,,,,,,,,,,0,0,0,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFI,,,,,,,,,,,,,,,,,210,34,-219,-252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,,,,-244,70,0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESOP,,,,,,,,,,,,,,,,,-120,-141,-145,-314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buybacks,,,,,,,,,,,,,,,,,-584,-551,-572,-281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dividend,,,,,,,,,,,,,,,,,-260,-256,-257,-261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer Funds,,,,,,,,,,,,,,,,,2040,881,-709,1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,17,-19,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFF,,,,,,,,,,,,,,,,,849,-16,-1684,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FX,,,,,,,,,,,,,,,,,-17,13,-8,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,,,,,,,,,,,,,945,644,2040,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,,,,,,,,,,-181,550,3890,375,,,,,,1044,1497,2074,2248,2355,3197,3732,4836,4693,,,,,,,,,,,,,,,
,  % of revenue,,,,,,,,,,,,,,,,,,,,,,,,,,0.2224115892628888,0.2891636082673363,0.3442323651452282,0.3313679245283019,0.30668055736424016,0.3318799958476072,0.29325789721829326,0.3392969901073458,0.2881793061099171,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18800,,,,,,,,,,,,,,,
