Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Shares,,2397,,,2357,2348,1869,2320,2299,2293,1810,2145,2120,2108,2093,2079,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.08795362903225801,0.09893550407013141,0.09565431490828513,0.11708676965965847,0.10145934676858936,0.09333333333333327,0.1429213483146068,0.11510866174482692,,,,,,,,,,,,,,,,,,
,Revenue y/y CC,,,,,,,,,,,,,0.11,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,
,Gross Margin,,0.973570733064404,,,0.977570564516129,0.9775944847962575,0.9771169706121501,0.9771169706121501,0.9790363678480426,0.9784615384615385,0.9775280898876404,0.978371633565561,0.9782334384858045,0.9766520742130498,0.9779787652379079,0.9777135397239836,,,,,,,,,,,,,,,,,,
,Operating Margin,,0.6967589372652664,,,0.7129536290322581,0.6975579211020664,0.6883494017888256,0.6883494017888256,0.7192494788047255,0.6842165242165242,0.6983146067415731,0.689716127690548,0.6898002103049422,0.702522409839483,0.6988792764451436,0.6869638194703469,,,,,,,,,,,,,,,,,,
,Net Income y/y,,,,,,,,,0.08405308615967977,0.18303273213092863,0.062087458745874624,0.10777140597192014,0.05810338126700354,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,72,444,1945,3350,2318,1776,675,-27,-1406,0,0,-2185,,,,,,,,,,,,,,,,,,
,Cash,,,,,20559,21050,22505,23813,23021,22379,21277,20809,19203,,,22986,,,,,,,,,,,,,,,,,,
,Settlement,,,,,2127,1942,2454,2183,2525,3558,2128,4454,3683,,,4191,,,,,,,,,,,,,,,,,,
,AR,,,,,2113,2122,2282,2291,2506,2272,2521,2561,2590,,,3126,,,,,,,,,,,,,,,,,,
,Collateral,,,,,2591,2739,2907,3005,3164,3367,3472,3524,3518,,,3625,,,,,,,,,,,,,,,,,,
,Incentives,,,,,5059,5214,5336,5366,5513,5738,5954,6546,6623,,,7315,,,,,,,,,,,,,,,,,,
,Prepaids,,,,,1802,2167,2119,2584,2753,2551,2857,3312,3393,,,2679,,,,,,,,,,,,,,,,,,
,PP&E,,,,,3236,3359,3370,3425,3472,3630,3766,3824,3974,,,4236,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,44331,44652,44658,44101,44859,45212,45059,45830,45437,,,47525,,,,,,,,,,,,,,,,,,
,Other,,,,,3569,3510,3603,3731,3596,3692,4006,3651,3467,,,3944,,,,,,,,,,,,,,,,,,
,Assets,,,,,85387,86755,89234,90499,91409,92399,91040,94511,91888,0,0,99627,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,258,280,281,375,348,338,331,479,405,,,555,,,,,,,,,,,,,,,,,,
,Settlement+Legal,,,,,5275,4671,5220,5020,5195,6338,4264,6992,6074,,,7601,,,,,,,,,,,,,,,,,,
,Collateral,,,,,2591,2739,2907,3005,3164,3367,3472,3524,3518,,,3625,,,,,,,,,,,,,,,,,,
,Compensation,,,,,736,998,1215,1506,816,1065,1251,1538,1226,,,1863,,,,,,,,,,,,,,,,,,
,Incentives,,,,,6553,6783,7532,8177,8034,7949,8562,9075,9249,,,10369,,,,,,,,,,,,,,,,,,
,AL,,,,,3940,3626,4075,5015,5077,4386,4732,4909,4690,,,5466,,,,,,,,,,,,,,,,,,
,Debt,,,,,20487,20606,20560,20463,20703,20603,20602,20836,20609,,,25171,,,,,,,,,,,,,,,,,,
,Taxes,,,,,5443,5462,5380,5114,5275,5145,5119,5301,5192,,,5549,,,,,,,,,,,,,,,,,,
,OL,,,,,3180,3025,3083,3091,3064,2723,2978,2720,2629,,,1519,,,,,,,,,,,,,,,,,,
,SE,,,,,36924,38565,38981,38733,39733,40485,39729,39137,38296,,,37909,,,,,,,,,,,,,,,,,,
,L+SE,,,,,85387,86755,89234,90499,91409,92399,91040,94511,91888,0,0,99627,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,4747,4491,4848,5057,5146,5313,5149,5602,5445,5882,6204,6309,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,4179,4257,4156,4681,4890,4663,4872,5318,5119,,,,,,,,,,,,,,,,,,,,,
,Incentives,,,,,2786,2905,3167,3439,3348,3257,3530,3629,3797,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,177,223,191,174,209,242,211,188,224,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,227,234,235,247,247,249,264,274,282,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,-132,-22,-99,-230,59,-127,-31,-1,38,,,,,,,,,,,,,,,,,,,,,
,VE territory,,,,,-8,-7,-6,-115,-24,-36,-21,-58,-27,,,,,,,,,,,,,,,,,,,,,
,Equities,,,,,106,90,-85,-7,-4,30,22,46,75,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,-26,4,15,21,11,47,64,14,56,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,-3138,-3824,-1777,-1283,-5122,-3787,-3777,-2746,-4168,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,4171,3860,5797,6927,3614,4538,5134,6664,5396,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,-249,-210,-295,-305,-267,-281,-400,-309,-345,,,,,,,,,,,,,,,,,,,,,
,Investments,,,,,-685,-42,239,-715,-1617,76,964,1147,2042,,,,,,,,,,,,,,,,,,,,,
,Acquisitions,,,,,0,0,0,0,0,-915,0,0,-906,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,424,-73,73,-168,-5,-56,-9,-254,-1,,,,,,,,,,,,,,,,,,,,,
,CFFI,,,,,-510,-325,17,-1188,-1889,-1176,555,584,790,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buyback,,,,,-3115,-2194,-3041,-3751,-3580,-2758,-4527,-5848,-4011,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,-945,-1305,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Dividend,,,,,-2250,364,-937,-928,-1060,-1060,-1056,-1041,-1170,,,,,,,,,,,,,,,,,,,,,
,ESOP,,,,,-56,56,64,66,-68,70,76,49,-108,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,19,153,-5,33,329,-126,196,-229,-186,,,,,,,,,,,,,,,,,,,,,
,CFFF,,,,,-6347,-2926,-3919,-4580,-4379,-3874,-5311,-7069,-5475,,,,,,,,,,,,,,,,,,,,,
,FX,,,,,692,136,16,-208,300,-176,-50,308,-508,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,-1994,745,1911,951,-2354,-688,328,487,203,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,3922,3650,5502,6622,3347,4257,4734,6355,5051,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,19696,19121,19728,18960,18693,20397,,,,,,,,,,,,,,,,,,,,,
