Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
,,Q199,Q299,Q399,Q499,Q100,Q200,Q300,Q400,Q101,Q201,Q301,Q401,Q102,Q202,Q302,Q402,Q103,Q203,Q303,Q403,Q104,Q204,Q304,Q404,Q105,Q205,Q305,Q405,Q106,Q206,Q306,Q406,Q107,Q207,Q307,Q407,Q108,Q208,Q308,Q408,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009E
,  International Y/Y,,,,,0.030000000000000027,0,0.030000000000000027,-0.029126213592232997,-0.14146341463414636,-0.12121212121212122,-0.07759562841530043,-0.0241758241758242,0.06818181818181812,0.11494252873563227,0.18483412322274884,0.19650900900900914,0.20744680851063824,0.24742268041237114,0.11499999999999999,0.23764705882352932,0.2929515418502202,0.14876033057851235,0.21076233183856496,0.2243346007604563,0.14821124361158433,0.2014388489208634,0.1518518518518519,0.05590062111801242,-0.035608308605341255,0.09580838323353302,0.189710610932476,0.18823529411764706,0.25230769230769234,0.14480874316939896,0.15135135135135136,0.1633663366336633,0.1253071253071254,0.09785202863961806,0.1737089201877935,0.06595744680851068,-0.08515283842794763,-0.08260869565217388,-0.05600000000000005,-0.05788423153692612,0.11694510739856812,,,,,,0.007663716692410949,-0.0932291666666667,0.140867317633544,0.20201384518565146,0.21832460732984282,0.13622690159003015,0.10816944024205744,0.17542662116040963,0.11440185830429739,-0.0698280354351225
,Baby Care Y/Y,,,,,0.027008413929394903,0.011897064528643586,0.02980699463067782,-0.010365166816507121,-0.10679611650485432,-0.06709265175718848,-0.07643312101910826,-0.08053691275167785,0.019202898550724656,0.010273972602739656,0.03551724137931034,0.03649635036496357,0.08140774973338072,0.12033898305084745,0.1208791208791209,0.1901408450704225,0.12754766600920453,0.08925869894099847,0.07367795603089711,0.13165680473372787,0.1052478134110788,0.09166666666666656,0.09463198671831785,0.027450980392156765,0.07095753099446056,0.06870229007633588,0.14004044489383216,0.17302798982188294,0.10098522167487678,0.15952380952380962,0.1330376940133038,0.16485900216919736,0.1923937360178971,0.17453798767967155,0.14677103718199613,-0.02607076350093107,-0.0825515947467167,-0.11188811188811187,-0.07167235494880542,0.040152963671128195,0.08179959100204504,,,,,,0.014613601830945067,-0.08265802269043765,0.02526501766784439,0.12812338445631566,0.1050943252119454,0.07865090883958814,0.11360287050682394,0.14039125431530497,0.1170534813319879,-0.0582655826558266
,  Domestic Y/Y,,,,,0.1100000000000001,0.08000000000000007,0.1299999999999999,0.1100000000000001,-0.12195121951219512,-0.07407407407407407,0.012658227848101333,-0.08860759493670889,0.08055555555555549,0.01333333333333342,-0.02750000000000008,-0.11805555555555558,0.005141388174807249,0.017105263157894735,0.059125964010282805,0.22834645669291342,0.15089514066496168,0.1513583441138422,0.07888349514563098,0.1807692307692308,0.05444444444444452,0.101123595505618,0.03262092238470182,0.02062975027144409,0.05374077976817704,0.061224489795918435,0.11111111111111116,0.0851063829787233,0.09000000000000008,0.019230769230769162,0.10784313725490202,0.13725490196078427,0.05504587155963292,0.04716981132075482,0.008849557522123908,-0.06034482758620685,-0.11304347826086958,-0.06306306306306309,-0.10526315789473684,-0.06422018348623848,0.009803921568627416,,,,,,0.10706242223856699,-0.06853582554517135,-0.01304347826086949,0.07048458149779724,0.13960113960113962,0.05194444444444435,0.07736994982836021,0.08823529411764697,0.011261261261261257,-0.0868596881959911
,  International Y/Y,,,,,0,-0.00990099009900991,0,-0.04761904761904767,-0.10132158590308371,-0.06465517241379315,-0.1063829787234043,-0.07762557077625576,-0.002450980392156854,0.009216589861751112,0.059523809523809534,0.09158415841584167,0.11056511056511065,0.15616438356164375,0.1424719101123595,0.17913832199546476,0.11946902654867264,0.07030015797788325,0.0719905586152636,0.11692307692307691,0.12332015810276675,0.088560885608856,0.11486238532110105,0.029614325068870517,0.07670654468684024,0.07118644067796609,0.14878209348255433,0.20066889632107032,0.10457516339869288,0.20569620253164556,0.1404011461318051,0.1727019498607243,0.23668639053254448,0.2099737532808399,0.18592964824120606,-0.016627078384798155,-0.07416267942583732,-0.12364425162689807,-0.06355932203389836,0.06763285024154597,0.10077519379844957,,,,,,-0.014326276355706158,-0.08762322015334068,0.03901560624249689,0.14777585210860766,0.09412119991946866,0.08749654982059063,0.1252115059221659,0.15639097744360897,0.14759427828348515,-0.05099150141643061
,OTC/Nutritionals Y/Y,,,,,0.06000000000000005,0,0.1100000000000001,0,-0.01521739130434785,-0.03116883116883118,-0.03679653679653683,-0.0523138832997988,-0.03200883002207511,0.13780160857908852,0.01348314606741563,0.03821656050955413,0.10946408209806147,0.05513666352497659,0.1048780487804879,0.24867075664621674,0.15724563206577602,0.18892362661902617,0.13606261288380495,0.19963969865705855,0.21669626998223812,0.1795642374154771,0.11959017841370767,-0.0020477815699658786,-0.046715328467153316,0.0732484076433122,0.10287156831808142,0.035567715458276306,0.9249617151607963,0.7893175074183976,0.8082975679542204,0.869220607661823,0.2680986475735878,0.1650082918739635,0.13844936708860756,0.028975265017667784,-0.15432873274780423,-0.06761565836298933,-0.028492008339124353,0.028846153846153744,-0.10459940652818989,,,,,,0.03776252639506272,-0.03436807095343686,0.034959816303099966,0.13328526263242546,0.17169146436961635,0.11854636591478696,0.039285981029203,0.8476464247215236,0.14624659665499795,-0.05768578215134035
,  Domestic Y/Y,,,,,0.010000000000000009,-0.019607843137254943,0.07000000000000006,-0.00990099009900991,-0.03886010362694303,-0.050156739811912265,-0.04081632653061229,-0.056872037914691975,-0.009433962264150941,0.18613861386138608,0.0292553191489362,0.061557788944723635,0.13469387755102047,0.048970506399554914,0.10284237726098189,0.2544378698224852,0.13429256594724226,0.0557029177718833,0.015698219306466754,0.05471698113207557,0.008456659619450413,0.07286432160804024,0.035755478662053086,-0.05008944543828264,-0.11949685534591192,0.05386416861826704,0.07126948775055686,-0.0018832391713747842,0.5595238095238095,0.2977777777777777,0.3575883575883576,0.3735849056603773,0.2854961832061069,0.16267123287671237,0.19142419601837668,0.04670329670329676,-0.13776722090261284,0,-0.059125964010282805,0.026246719160105014,-0.2534435261707989,,,,,,0.012576643196806181,-0.04674127715602372,0.061049723756906094,0.13954699297058037,0.06437057345213626,0.011000804936946551,-0.0015923566878981443,0.39287612971823505,0.16832061068702298,-0.04639006860503103
,  International Y/Y,,,,,0.41999999999999993,0.10000000000000009,0.3500000000000001,0.010000000000000009,0.10810810810810811,0.06060606060606055,-0.014285714285714235,-0.026666666666666616,-0.13414634146341464,-0.0714285714285714,-0.07246376811594202,-0.08904109589041098,-0.021126760563380254,0.08923076923076922,0.1171875,0.2120300751879698,0.29496402877697836,0.8983050847457628,0.8545454545454545,1.1526054590570722,1.311111111111111,0.4955357142857142,0.3936651583710409,0.1527377521613833,0.12019230769230771,0.11442786069651745,0.17965367965367962,0.135,1.5836909871244633,1.7767857142857144,1.8027522935779818,2.026431718061674,0.2491694352159468,0.167202572347267,0.08183306055646478,0.010189228529839944,-0.1728723404255319,-0.13085399449035817,0.0075642965204236745,0.03170028818443793,0.06913183279742774,,,,,,0.19636328907709721,0.03157894736842115,-0.09353741496598644,0.09718574108818001,0.8142954856361151,0.4963242224316682,0.13630637440161264,1.7960088691796008,0.12331482950039652,-0.06989057536180732
,Women's Health,,,,,-0.02017291066282423,-0.011299435028248594,-0.05555555555555558,-0.12290502793296088,-0.08235294117647063,-0.13142857142857145,-0.04294117647058826,-0.08124203821656051,-0.0461538461538461,0.05427631578947367,-0.007375537799631182,0.07629380567783972,0.05040322580645151,0.07332293291731662,0.10959752321981409,0.14138486312399356,0.11452335252719115,0.06976744186046502,0.03571428571428581,0.07900677200902928,0.0820895522388061,0.1032608695652173,0.07219827586206895,0.014644351464435212,0.05835543766578244,0.09113300492610832,0.085427135678392,0.08247422680412364,0.05513784461152893,0.04514672686230248,0.06712962962962954,0.09761904761904772,0.09501187648456066,0.08855291576673863,0.10629067245119317,-0.05422993492407813,-0.08242950108459868,-0.045634920634920584,-0.015686274509803977,0.15137614678899092,0.10874704491725762,,,,,,-0.052854122621564525,-0.08564732142857157,0.018480091790152198,0.09411952700543313,0.07346283043668755,0.06734693877551012,0.07966857871255573,0.06611570247933884,0.058139534883721034,-0.0015698587127158659
,  Domestic Y/Y,,,,,0.04580152671755733,0.00746268656716409,-0.014388489208633115,-0.07801418439716312,-0.0948905109489051,-0.09629629629629632,0.007299270072992803,-0.0923846153846154,0.02741935483870983,0.05737704918032782,-0.021739130434782594,0.11450122891770498,0.01569858712715866,-0.007751937984496138,0.04740740740740734,-0.029657794676806182,0.003863987635239541,0.0546875,-0.04384724186704392,0.045454545454545636,0.07005388760585052,0.11851851851851847,0.03550295857988184,0.019490254872563728,0.007194244604316502,0.0927152317880795,0.07857142857142851,0.02941176470588225,0.16428571428571437,-0.012121212121212088,-0.013245033112582738,0.05714285714285716,-0.09202453987730064,-0.030674846625766916,0.10067114093959728,0,0.006756756756756799,-0.03797468354430378,-0.13414634146341464,-0.04054054054054057,-0.020134228187919434,,,,,,-0.011009174311926606,-0.06866419294990722,0.04165421621944665,0.006693440428380271,0.013487841945288848,0.060918462980318555,0.053003533568904526,0.04530201342281881,-0.008025682182985605,-0.05339805825242716
,  International Y/Y,,,,,-0.06018518518518523,-0.022727272727272707,-0.08144796380090502,-0.15207373271889402,-0.07389162561576357,-0.15348837209302324,-0.07684729064039408,-0.07880434782608692,-0.09468085106382984,0.052197802197802234,0.0032017075773744796,0.05604719764011801,0.07638072855464162,0.1279373368146215,0.1542553191489362,0.2670391061452515,0.19268558951965065,0.07870370370370372,0.0875576036866359,0.0978835978835979,0.08924485125858128,0.09442060085836901,0.09322033898305082,0.012048192771084265,0.08823529411764697,0.09019607843137245,0.08914728682170536,0.11111111111111116,-0.0038610038610038533,0.07913669064748197,0.11032028469750887,0.11785714285714288,0.21317829457364335,0.15333333333333332,0.10897435897435903,-0.07987220447284349,-0.12460063897763574,-0.049132947976878616,0.040462427745664664,0.25,0.17883211678832112,,,,,,-0.07894736842105265,-0.09701863354037266,0.0024762690879076565,0.1568546727048168,0.11091340450771048,0.0710090763481046,0.09471585244267189,0.07741347905282336,0.09298393913778535,0.023201856148491906
