Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
,CD3 franchise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,200.0,300.0,303.0,306.03000000000003,309.0903,312.18120300000004,315.30301503000004,318.45604518030007,321.6406056321031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sanofi,85.329,84.446,79.8,77.02500000000002,85.005,88.988,145,104.80700000000002,99.273,85.529,134.359,110.939,130.508,142.595,132.925,135.271,173.356,195.11,224.735,165.672,219.694,163.414,144.392,131.165,210.367,222.128,245.175,199.523,189.5,237.8,256.3,427.6,373.7,349.1,404.2,427.1,246.9,269.1,353.3,317.1,364.80000000000007,437.7,581.8000000000001,517.9,630.9,677.5,711.4,835.9,798,944,1065,993,910,1146,1263.3999999999999,1213,1183,1375.2,1516.0799999999997,1455.6,,311.332,326.6,423.8,430.1,541.3,758.9,658.7,877.2,1111.1,1426.8,1186.4,1902.2000000000003,2855.7000000000003,3800.0,4532.4,5529.879999999999,6082.8679999999995,6691.1548,7025.71254,7376.998167000001,7745.848075350001,8133.140479117501,6506.512383294001,4554.5586683058,2732.73520098348,1639.641120590088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  P&L Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.9,171.9,212.8,229.6,260.6,327.6,387,387.8,415.3,496.6,551.1,619,,,,,,,1088.3,,,,,,,,,,,,,,,,,785.2,1363.0,2082.0,3136.5,3923.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Reimbursement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1,100.6,94.3,93,105.6,110.9,144.7,127.6,160.8,145.5,160.5,166.9,,,,,,,175.1,,,,,,,,,,,,,,,,,368.0,488.79999999999995,633.7,613.0,607.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1,-3.4000000000000004,46.199999999999996,-5.5,-1.3999999999999995,-0.7999999999999998,50.1,2.5,54.8,35.4,-0.2,50,,,,,,,,,,,,,,,,,,,,,,,,33.199999999999996,50.400000000000006,140.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Dupixent,,,,,,,,,,,,,,,,,,,,,,,,0,,,,139,131.4,209.2,262.6,318.8,373.7,557.3,633.1,751.5,855,945,1072.6,1172,1262.9,1499,1662.9,1773.8,1810.4,2091.8,2330.1,2448.9,2485,2789.4,3097.6,3216.1,3076.8,3556.4,3817.2,3697.6,3670,,,,,,,,,,0.0,0.0,256.5,922,2315.6,4044.6,6198.6,8681.2,11588.1,14148.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Praluent,,,,,,,,,,,,,,,,,,,,,,,,41,,,,63,59.9,73.5,80.2,93.2,63.9,73.7,69.7,81.4,,86.6,91.5,100.9,104.6,99.4,114.5,102.6,111.4,108.9,113.7,133.4,145.9,140.3,165.5,187.2,201.3,191.9,191.4,180.4,,,,,,,,,,,10.5,116.30000000000001,194.7,,,279.0,421.1,467.4,638.9000000000001,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Zaltrap,,,,,,,,,,,,,,,,,,,,,,,,16,,,,25,26.3,28.4,25.4,27.8,24.5,26.6,28.4,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.7,72.3,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Kevzara,,,,,,,,,,,,,,,,,,,,,,,,0,,,,9,12.4,24.1,24.9,35.2,33.7,58.5,54.8,59.7,,68.3,70,71.5,69.1,66.7,97.8,103.9,106.4,82.3,88.1,81.2,78.5,99.5,95.7,112.2,94.1,109.7,120.1,134.8,,,,,,,,,,,0.0,0.0,13.3,,,209.8,337.5,357.99999999999994,385.9,458.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eylea ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.3,1872.3,2226.9,"2,689","2,897",2962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bayer,12.481,11.123,10.1,9.396000000000003,12.483,9.124,26.7,21.79299999999999,14.907,31.104,88.583,85.70600000000002,125.312,97.295,135.853,137.095,123.846,134.237,157.596,164.809,179.592,191.896,191.298,181.484,193.939,210.355,236.625,297.133,247.9,262.9,264.4,301.5,264,289,302.8,320.8,281.4,244.2,299.9,360.6,322.8,349,365,372.4,385.3,358,333,355.1,357,377,377,377,356,375,390.8,377,344,300,312.64000000000004,301.6,,,43.1,70.1,220.3,495.6,580.5,744.3,938.1,1076.7,1188.8,1186.1,1409.1999999999998,1431.4,1488.0,1498.8,1258.2400000000002,1006.5920000000002,805.2736000000002,644.2188800000002,515.3751040000002,412.3000832000002,329.8400665600002,263.87205324800016,211.09764259840014,168.87811407872013,135.10249126297612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,66.8,168,127.1,0,216.3,8,6,396.4,223,-4,,,1,3,0.5,,,,,,,,,,,,,,,,,0.0,361.9,626.7,219.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,9.966999999999999,7.202,7.4,6.831000000000003,6.37,6.768,6.800000000000001,6.5619999999999985,6.744,7.116,6.967,7.673000000000002,7.542,7.788,8.166,8.445,27.837,11.451,17.529,18.072,17.381,23.1,26.964,51.657,56.44,113.5,61.506,107.073,86.2,110.9,117.3,102.3,22.2,90.3,103.1,135.2,63.2,211.8,158.6,,50,46,99,86.2,94,59,84,127.7,116,69,135,212,117,104,120.2,196,86,104,120.2,196,,,31.4,26.5,28.5,31.9,74.8,119.0,338.5,416.8,413.4,433.6,281.2,364.7,532.0,537.2,506.2,455.58,410.022,369.0198,332.11782,298.906038,269.0154342,242.11389078000002,217.90250170200002,196.1122515318,176.50102637862003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,112.17699999999999,107.81,102.8,123.01300000000002,231.758,304.38,427.7,414.66200000000003,439.62399999999997,457.649,597.009,610.418,625.362,665.6999999999999,725.7880000000001,801.811,869.039,998.617,1137.422,1097.5529999999999,1200.6670000000001,1212.4099999999999,1219.654,1227.3059999999998,1318.746,1469.983,1500.306,1582.729,1511.5000000000002,1607.8000000000002,1663.4999999999998,1927.8,1764.3,1933.3999999999999,2048.4,2169.5,1828.2,1952.3000000000002,2293.7999999999997,2299.7,2529.4000000000005,5138.7,3452.9,4951.499999999999,2965.5000000000005,2856.5,2936.4,3414.1,3162,3158,3363,3434,3145,3547,3721.3,3789,3029,3171.2,3250.2999999999997,3299.596,,336.586,445.8,1378.5,2104.7000000000003,2819.6000000000004,4103.7,4860.400000000001,5872.200000000001,6892.1,7989.4,8374.0,16072.500000000002,12172.500000000002,13117.0,14202.3,12750.096,13146.9334,13298.982482000001,13500.542446419999,13853.0919062042,14029.21659347024,14367.372902261744,12804.514049976447,11008.238214219644,9249.861202407721,8026.063716207246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,0.382,0.395,0.45,2.989,12.298,21.843,20.145,30.168999999999997,29.055,39.613,38.573,48.11400000000001,,,,,,,,,,,,74.681,,,,105.74,114.9,91.7,,117.2,179.2,152.5,,223.9,217.3,266.2,122,339.5,308,693.7,224,729.9,404.9,297.1,109,387.20000000000005,439,163,180.8,469.09999999999997,410.20000000000005,454.3,464.5,509.4,217,221.98399999999992,227.52099999999973,230.97172,,,4.216,84.455,155.35500000000002,205.018,392.709,,,,,945.0,1955.6,1198.2,1251.8999999999999,1838.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,111.79499999999999,107.415,102.35,120.02400000000002,219.46,282.537,407.555,384.49300000000005,410.56899999999996,418.036,558.436,562.304,,,,,,,,,,,,1152.6249999999998,1318.746,1469.983,1500.306,1476.989,1396.6000000000001,1516.1000000000001,,1810.6,1585.1,1780.8999999999999,,1945.6,1610.9,1686.1000000000001,2171.7999999999997,1960.1999999999998,2221.4000000000005,4445,3228.9,4221.599999999999,2560.6000000000004,2559.4,2827.4,3026.8999999999996,2723,2995,3182.2,2964.9,2734.8,3092.7,3256.8,3279.6,2812,2949.216,3022.779,3068.62428,,,441.584,1294.045,1949.3450000000003,2614.5820000000003,3710.991,,,,,7429.0,14116.900000000001,10974.300000000001,11865.1,12363.9,11475.0864,11832.24006,11969.084233800002,12150.488201777998,12467.78271558378,12626.294934123216,12930.63561203557,11524.062644978803,9907.41439279768,8324.87508216695,7223.457344586522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,129.392,143.149,127.924,129.041,138.862,147.373,158.295,181.02400000000003,180.299,187.463,224.045,268.1400000000001,,,,,,,,,,,,479.206,,,,527.983,198.6,529.3,,601.2,641.8,426.2,,,583.9,580.1,629,675,742.9,714.2,592,639,843.8,779.6999999999999,817,1041.6999999999998,1099.6000000000001,974,954.4,1030.9,1244.6000000000001,1194.7,1269.5,1223.6,1186,1194.7,1269.5,1223.6,,,529.506,625.554,859.947,1271.353,1620.577,,,,,2468.0,2688.1,3482.2,4058.9000000000005,4932.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,23.411,24.585,32.916,36.349,58.428,47.705,46.883,57.73899999999999,77.26,72.463,97.607,82.08500000000002,,,,,,,,,,,,325.937,,,,409.913,330.8,364.8,,491.3,410.8,251.9,,,347.1,301.4,291,381,405.6,414.7,391,495,450,475.2,467,657,591.5,562,533.7,621.8,670.2,749.0999999999999,696.1999999999999,680.6,537,749.0999999999999,696.1999999999999,680.6,,,117.261,210.755,329.415,504.755,838.526,,,,,1320.5,1706.3,2049.2,2309.0,2796.1,2550.0192,2629.38668,2659.7964964000003,2700.108489284,2770.61838124084,2805.8433186940483,2873.474580452349,2560.9028099952898,2201.6476428439287,1849.9722404815443,1605.2127432414493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpEx,152.803,167.734,160.84,165.39,197.29,195.07799999999997,205.178,238.76300000000003,257.559,259.926,321.652,350.22500000000014,,,,,,,,,,,0,805.143,0,0,0,937.896,529.4,894.0999999999999,0,1092.5,1052.6,678.1,0,0,931,881.5,920,1056,1148.5,1128.9,983,1134,1293.8,1254.8999999999999,1284,1698.6999999999998,1691.1000000000001,1536,1488.1,1652.7,1914.8000000000002,1943.8,1965.6999999999998,1904.1999999999998,1723,1943.8,1965.6999999999998,1904.1999999999998,,,646.7669999999999,836.309,1189.362,1776.1080000000002,2459.103,,,,,3788.5,4394.4,5531.4,6367.900000000001,7728.5,2550.0192,2629.38668,2659.7964964000003,2700.108489284,2770.61838124084,2805.8433186940483,2873.474580452349,2560.9028099952898,2201.6476428439287,1849.9722404815443,1605.2127432414493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpInc,-41.00800000000001,-60.319,-58.49000000000001,-45.36599999999997,22.170000000000016,87.459,202.377,145.73000000000002,153.00999999999993,158.11,236.78400000000005,212.07899999999984,,,,,,,,,,,0,347.48199999999974,1318.746,1469.983,1500.306,539.0930000000001,867.2000000000002,622.0000000000002,0,718.0999999999999,532.5,1102.7999999999997,0,1945.6,679.9000000000001,804.6000000000001,1251.7999999999997,904.1999999999998,1072.9000000000005,3316.1,2245.9,3087.5999999999995,1266.8000000000004,1304.5000000000002,1543.4,1328.1999999999998,1031.8999999999999,1459,1694.1,1312.2,820,1148.8999999999999,1291.1000000000004,1375.4,1089,1005.4159999999999,1057.0790000000002,1164.4242800000002,,,-205.18299999999994,457.7360000000001,759.9830000000002,838.4740000000002,1251.888,,,,,3640.5,9722.500000000002,5442.9000000000015,5497.2,4635.4,8925.0672,9202.85338,9309.287737400002,9450.379712494,9697.16433434294,9820.451615429167,10057.161031583222,8963.159834983513,7705.766749953751,6474.902841685405,5618.244601345073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Expense,-2.682,-3.0489999999999995,-3.346,-8.656,-10.55,-10.735,-10.896,-11.111,-11.219,-10.411,-11.118,-13.919999999999996,,,,,,,,,,,,-5.476,,,,15.956,18.2,33.9,,,66.1,-90.9,,,65.7,-42.300000000000004,-54.8,57.6,25.9,-45.7,-30.6,-120.50000000000001,-177.20000000000002,-164.1,32.6,97.4,-88.7,66.4,,117.1,-50.7,151.1,165,180.8,-8.7,,,,,,-17.733,-43.292,-46.668,-29.215,-7.957999999999999,,,,,26.200000000000003,-170.90000000000003,-211.29999999999998,94.8,446.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,-43.69000000000001,-63.368,-61.83600000000001,-54.02199999999997,11.620000000000015,76.724,191.481,134.61900000000003,141.79099999999994,147.699,225.66600000000005,198.15899999999985,,,,,,,,,,,0,342.00599999999974,1318.746,1469.983,1500.306,555.0490000000001,885.4000000000002,655.9000000000002,0,718.0999999999999,598.6,1011.8999999999997,0,1945.6,745.6000000000001,762.3000000000002,1196.9999999999998,961.7999999999998,1098.8000000000006,3270.4,2215.3,2967.0999999999995,1089.6000000000004,1140.4000000000003,1576,1425.6,943.1999999999998,1525.4,1694.1,1429.3,769.3,1299.9999999999998,1456.1000000000004,1556.2,1080.3,1005.4159999999999,1057.0790000000002,1164.4242800000002,,,-222.91599999999994,414.4440000000001,713.3150000000002,809.2590000000001,1243.9299999999998,,,,,3666.7,9551.600000000002,5231.600000000001,5592.0,5081.599999999999,8925.0672,9202.85338,9309.287737400002,9450.379712494,9697.16433434294,9820.451615429167,10057.161031583222,8963.159834983513,7705.766749953751,6474.902841685405,5618.244601345073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,-0.216,-0.863,0.562,-0.615,0,0,0,0,42.957,60.316,84.378,101.34700000000001,,,,,,,,,,,,88.412,,,,381.248,107.4,104.7,,,85,-31.6,,,44,21.6,156.2,75.4,137.8,653.9,184.4,274.4,87.6,111.1,194.1,127.6,40.2,114.5,103,33.3,-21.3,195.8,175.8,152.9,125.3148,120.64992,126.84948000000001,139.7309136,,,-1.132,0.0,288.998,427.673,589.041,,,,,297.2,1250.5,520.4,291.0,503.20000000000005,1338.7600799999998,1380.428007,1396.3931606100002,1417.5569568740998,1454.5746501514411,1473.067742314375,1508.5741547374832,1344.4739752475268,1155.8650124930625,971.2354262528107,842.7366902017609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,-43.47400000000001,-62.505,-62.39800000000001,-53.40699999999997,11.620000000000015,76.724,191.481,134.61900000000003,98.83399999999995,87.38300000000001,141.28800000000007,96.81199999999984,,,,,,,,,,,0,253.59399999999974,1318.746,1469.983,1500.306,173.8010000000001,778.0000000000002,551.2000000000002,0,718.0999999999999,513.6,1043.4999999999998,0,1945.6,701.6000000000001,740.7000000000002,1040.7999999999997,886.3999999999999,961.0000000000007,2616.5,2030.9,2692.6999999999994,1002.0000000000003,1029.3000000000004,1381.9,1298,902.9999999999998,1410.9,1591.1,1396,790.5999999999999,1104.1999999999998,1280.3000000000004,1403.3,954.9852,884.76608,930.2295200000002,1024.6933664000003,,0.0,-221.78399999999993,414.4440000000001,424.3170000000002,381.5860000000001,654.8889999999998,,,,,3369.5,8301.100000000002,4711.200000000002,5301.0,4578.4,7586.3071199999995,7822.425373,7912.894576790001,8032.8227556199,8242.5896841915,8347.383873114792,8548.586876845739,7618.685859735986,6549.901737460688,5503.667415432595,4775.5079111433115,4632.242673809012,4493.275393594741,4358.477131786899,4227.722817833292,4100.8911332982925,3977.8643992993434,3858.528467320363,3742.772613300752,3630.489434901729,3521.5747518546773,3415.927509299037,3313.449684020066,3214.0461934994637,3117.62480769448,3024.0960634636454,2933.3731815597357,2845.3719861129434,2760.010826529555,2677.210501733668,2596.894186681658,2518.9873610812083,2443.417740248772,2370.115208041309,2299.0117518000698,2230.0413992460676,2163.1401572686855,2098.2459525506247,2035.298573974106,1974.2396167548827,1915.012428252236,1857.5620554046689,1801.8351937425286,1747.7801379302527,1695.346733792345,1644.4863317785746,1595.1517418252174,1547.297189570461,1500.878273883347,1455.8519256668465,1412.176367896841,1369.8110768599356
