Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
,Services,,,,,,,,,,,,,,,,,5918,6099,,,6372,6645,,,8080,8663,8671,8709,8888,8750,9104,9298,8972,9039,,,,,,,18973.0,20016.0,24603.0,27551.0,34123.0,36040.0,,,,,,,
,Investment,,,,,,,,,,,,,,,,,452,556,,,367,295,,,798,1115,997,1179,1011,997,1643,1551,1033,1108,,,,,,,1886.0,1502.0,2324.0,2030.0,4089.0,5202.0,,,,,,,
,Revenue,,,,,,,,,,,,,,,,,70196,71321,,,80149,80332,0,0,91931,92903,92361,94427,99796,98855,100820,100807,109575,111616,,,,,,,242155.0,257141.0,287597.0,324162.0,371622.0,400278.0,,,,,,,
,Medical,,,,,,,,,,,,,,,,,44904,46546,,,52523,52093,,,59845,60268,59550,62231,65735,65458,65957,67035,73411,78585,,,,,,,156440.0,159396.0,186911.0,210842.0,241894.0,264185.0,,,,,,,
,Operating,,,,,,,,,,,,,,,,,10223,10359,,,11401,11709,,,13625,13809,13855,13339,14077,13162,13280,12494,13594,13778,,,,,,,35193.0,41704.0,42579.0,47782.0,54628.0,53013.0,,,,,,,
,COPS,,,,,,,,,,,,,,,,,7572,7660,,,8487,8596,,,9405,9748,9423,10194,11056,11340,11834,12464,12390,13019,,,,,,,28117.0,30745.0,31034.0,33703.0,38770.0,46694.0,,,,,,,
,OpEx,,,,,,,,,,,,,,,,,62699,64565,,,72411,72398,0,0,82875,83825,82828,85764,90868,89960,91071,91993,99395,105382,,,,,,,219750.0,231845.0,260524.0,292327.0,335292.0,363892.0,,,,,,,
,OpInc,,,,,,,,,,,,,,,,,7497,6756,,,7738,7934,0,0,9056,9078,9533,8663,8928,8895,9749,8814,10180,6234,,,,,,,22405.0,25296.0,27073.0,31835.0,36330.0,36386.0,,,,,,,
,Interest,,,,,,,,,,,,,,,,,-397,-410,,,-433,-467,,,-754,-828,-834,-830,-985,-985,-1074,-1003,-998,-1027,,,,,,,-1704.0,-1663.0,-1660.0,-2092.0,-3246.0,-3906.0,,,,,,,
,Pretax,,,,,,,,,,,,,,,,,7100,6346,,,7305,7467,,,8302,8250,8699,7833,7943,7910,8675,7811,9182,5207,,,,,,,20701.0,23633.0,25413.0,29743.0,33084.0,32480.0,,,,,,,
,Taxes,,,,,,,,,,,,,,,,,1480,1196,,,1490,1466,,,1721,1755,1851,-1404,1410,1449,1559,-1248,1814,676,,,,,,,3742.0,4973.0,4578.0,5704.0,5986.0,4829.0,,,,,,,
,Net Income,,,,,,,,,,,,,,,,,5620,5150,,,5815,6001,,,6581,6495,6848,9237,6533,6461,7116,9059,7368,4531,,,,,,,16959.0,18660.0,20835.0,24039.0,27098.0,27651.0,,,,,,,
,EPS,,,,,,,,,,,,,,,,,5.87251828631139,5.387029288702929,,,6.09538784067086,6.316842105263158,,,6.978791092258748,6.909574468085107,7.316239316239316,9.879144385026738,7.085683297180044,6.962284482758621,7.651612903225806,9.772384034519957,8.026143790849673,4.979120879120879,,,,,,,17.555900621118013,19.417273673257025,21.793933054393307,25.30421052631579,28.88912579957356,29.76426264800861,,,,,,,
,Shares,,,,,,,,,,,,,,,,,957,956,,,954,950,,,943,940,936,935,922,928,930,927,918,910,,,,,,,966.0,961.0,956.0,950.0,938.0,929.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MLR,,,,,,,,,,,,,,,,,0.8092852251018275,0.8277346042359469,,,0.819775245824879,0.8152779516714661,,,0.8222048196081664,0.8315809807655159,0.8232073984987351,0.849825203474081,0.8428860850387239,0.8512425712316475,0.8516954624105783,0.8764692807552005,0.8483486259736057,0.8939764518514305,,,,,,,0.8246748796778054,0.7911335232630858,0.8261880450685798,0.8198960168301854,0.8317453331361944,0.8554936692464622,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,,,,,,,,,,0.1417887059091687,0.12634427447736285,,,,,,,0.08555329540633738,0.06406682238463768,0.09158627559251209,0.0675654209071559,0.09798989939476521,0.12908805826715897,,,,,,,,0.06188598211889085,0.11844085540617799,0.12713971286209524,0.14640827734281014,0.07711061239646733,,,,,,,
,Premiums y/y,,,,,,,,,,,,,,,,,,,,,0.15470569152579028,0.13627229562712295,,,,,,,0.07146978814607197,0.06102878273587775,,,,,,,,,,,,0.062093105393280945,0.12286701277558842,0.13669093368341478,0.13093168764606844,0.0618340112850595,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,,,,,,70749,70391,,,,,,,78638,77436,,,86154,,,,,,,,,,,,77237.0,81467.0,,,,,,,
,AR,,,,,,,,,,,,,,,,,,,,,18871,18718,,,,,,,27197,23115,,,26936,,,,,,,,,,,,21276.0,22365.0,,,,,,,
,Other Receivables,,,,,,,,,,,,,,,,,,,,,11994,12439,,,,,,,19284,26762,,,26022,,,,,,,,,,,,17694.0,26089.0,,,,,,,
,AUM,,,,,,,,,,,,,,,,,,,,,4155,4017,,,,,,,3619,3414,,,0,,,,,,,,,,,,3755.0,0.0,,,,,,,
,Prepaids,,,,,,,,,,,,,,,,,,,,,5613,5218,,,,,,,6132,7424,,,9036,,,,,,,,,,,,6084.0,8212.0,,,,,,,
,PP&E,,,,,,,,,,,,,,,,,,,,,9183,9421,,,,,,,10429,9801,,,10734,,,,,,,,,,,,11450.0,10553.0,,,,,,,
,Goodwill,,,,,,,,,,,,,,,,,,,,,87466,95444,,,,,,,121207,120165,,,130513,,,,,,,,,,,,118926.0,130002.0,,,,,,,
,Other Assets,,,,,,,,,,,,,,,,,,,,,13207,14524,,,,,,,17704,17939,,,20395,,,,,,,,,,,,17298.0,19590.0,,,,,,,
,Assets,,,,,,,,,,,,,,,,,,,,,221238,230172,,,,,,,284210,286056,0,0,309790,0,,,,,,,,,,,273720.0,298278.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medical Costs,,,,,,,,,,,,,,,,,,,,,28676,28978,,,,,,,34032,32547,,,37136,,,,,,,,,,,,32395.0,34224.0,,,,,,,
,AP,,,,,,,,,,,,,,,,,,,,,25058,25145,,,,,,,30738,30886,,,33566,,,,,,,,,,,,31958.0,34337.0,,,,,,,
,Debt,,,,,,,,,,,,,,,,,,,,,47493,51391,,,,,,,73637,75098,,,81271,,,,,,,,,,,,62537.0,76904.0,,,,,,,
,DR,,,,,,,,,,,,,,,,,,,,,2675,2212,,,,,,,3206,2572,,,3296,,,,,,,,,,,,3355.0,3317.0,,,,,,,
,OCL,,,,,,,,,,,,,,,,,,,,,25064,26771,,,,,,,26668,27294,,,29487,,,,,,,,,,,,27072.0,27346.0,,,,,,,
,DT,,,,,,,,,,,,,,,,,,,,,2954,2581,,,,,,,4167,3631,,,3902,,,,,,,,,,,,3021.0,3620.0,,,,,,,
,OL,,,,,,,,,,,,,,,,,,,,,11671,11967,,,,,,,14844,14794,,,15963,,,,,,,,,,,,14463.0,15939.0,,,,,,,
,SE,,,,,,,,,,,,,,,,,,,,,77647,81127,,,,,,,96918,99234,,,105169,,,,,,,,,,,,98919.0,102591.0,,,,,,,
,L+SE,,,,,,,,,,,,,,,,,,,,,221238,230172,,,,,,,284210,286056,0,0,309790,,,,,,,,,,,,273720.0,298278.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6533,6461,7116,9059,7368,,,,,,,,16959.0,18660.0,20835.0,24039.0,27098.0,27651.0,,,,,,,
,Reported NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1221,4421,,,6474,,,,,,,,14239.0,15769.0,17732.0,20639.0,23144.0,15242.0,,,,,,,
,D&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997,1020,,,1061,,,,,,,,2720.0,2891.0,3103.0,3400.0,3972.0,4099.0,,,,,,,
,DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27,-331,,,64,,,,,,,,230.0,-8.0,130.0,-673.0,-245.0,-296.0,,,,,,,
,SBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,222,,,375,,,,,,,,697.0,679.0,800.0,925.0,1059.0,1018.0,,,,,,,
,Loss on Subsidiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7086,1225,,,15,,,,,,,,0.0,0.0,0.0,0.0,0.0,8310.0,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,280,,,97,,,,,,,,-106.0,-52.0,-944.0,-331.0,-505.0,-3361.0,,,,,,,
,WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6242,-91,,,-2630,,,,,,,,683.0,2895.0,1522.0,2246.0,1643.0,-808.0,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,6746,,,5456,,,,,,,,18463.0,22174.0,22343.0,26206.0,29068.0,24204.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,-713,,,1217,,,,,,,,-2504.0,-2836.0,-1843.0,-6837.0,-1777.0,525.0,,,,,,,
,Acquisitions,-468,-236,-204,,,,,,,,,,,,,,,,,,,,,,,,,,-3006,-25,,,-702,,,,,,,,-8343.0,-7139.0,-4821.0,-21458.0,-10136.0,-13408.0,,,,,,,
,CapEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-743,-853,,,-898,,,,,,,,-2071.0,-2051.0,-2454.0,-2802.0,-3386.0,-3499.0,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3083,2274,,,-582,,,,,,,,219.0,-506.0,-1254.0,2621.0,-275.0,374.0,,,,,,,
,Cyberattack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-8100,,,891,,,,,,,,0.0,0.0,0.0,0.0,0.0,-4519.0,,,,,,,
,CFFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6340,-7417,,,-74,,,,,,,,-12699.0,-12532.0,-10372.0,-28476.0,-15574.0,-20527.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buybacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3072,0,,,-3000,,,,,,,,-5500.0,-4250.0,-5000.0,-7000.0,-8000.0,-9000.0,,,,,,,
,Dividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1729,-1935,,,-1912,,,,,,,,-3932.0,-4584.0,-5280.0,-5991.0,-6761.0,-7533.0,,,,,,,
,Stock Issuances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,258,,,360,,,,,,,,1037.0,1440.0,1355.0,1253.0,1353.0,1846.0,,,,,,,
,Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11364,1426,,,3911,,,,,,,,3994.0,2586.0,2481.0,12536.0,4280.0,14660.0,,,,,,,
,Customer Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745,-755,,,1245,,,,,,,,13.0,1677.0,622.0,5548.0,-521.0,-1560.0,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-563,-190,,,-505,,,,,,,,-1237.0,-459.0,-1633.0,-2120.0,-1880.0,-1925.0,,,,,,,
,CFFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8231,-1196,0,0,99,,,,,,,,-5625.0,-3590.0,-7455.0,4226.0,-11529.0,-3512.0,,,,,,,
,FX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,4,,,15,,,,,,,,-20.0,-116.0,-62.0,34.0,97.0,-61.0,,,,,,,
,CIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2987,-1863,0,0,5496,,,,,,,,119.0,5936.0,4454.0,1990.0,2062.0,104.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,5893,,,4558,,,,,,,,16392.0,20123.0,19889.0,23404.0,25682.0,20705.0,,,,,,,
