Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
,Revenue,,,,,,,,,,,509.336,568.769,,591.207,517.707,579,655.344,680.8,713.225,749.939,801.3,893.543,918.953,988.183,1035.207,1041.69,1116.92875,1148.6912499999999,,,,,,,,,923.885,1919.181,2225.052,2799.308,3601.979,4342.517,5428.14625,6785.182812499999,8481.478515625,10601.84814453125,12722.2177734375,13994.439550781251,15393.883505859378,16933.271856445317,18626.59904208985,20489.258946298836
,COR,,,,,,,,,,,130.015,151.988,,143.157,126.437,142.432,151.841,162.029,163.581,171.664,178.866,198.557,204.998,218.741,224.725,,,,,,,,,,,,,496.87,547.658,649.115,801.162,,,,,,,,,,,
,DevExch,,,,,,,,,,,129.952,159.717,,143.148,151.47,182.115,182.44,165.843,170.719,221.75,202.405,208.27,231.536,280.61,281.564,,,,,,,,,,,,,538.321,623.855,740.752,922.821,,,,,,,,,,,
,Infra/Trust,,,,,,,,,,,117.387,135.989,,158.235,190.986,198.505,211.044,225.039,218.968,223.31,226.934,221.064,244.598,222.822,242.127,,,,,,,,,,,,,533.207,689.081,878.3609999999999,915.418,,,,,,,,,,,
,COGS,,,,,,,,,,,377.354,447.694,,444.5400000000001,468.89300000000003,523.052,545.325,552.911,553.268,616.7239999999999,608.205,627.891,681.1320000000001,722.173,748.416,0,0,0,,,,,,,,,,1568.3980000000001,1860.594,2268.228,2639.4010000000003,2822.63605,3256.88775,3731.8505468749995,4240.7392578125,4770.831665039062,5470.553642578126,5597.775820312501,6157.553402343752,6773.308742578127,7450.639616835941,8195.703578519535
,Gross Profit,,,,,,,,,,,131.98200000000003,121.07499999999999,,146.66699999999992,48.813999999999965,55.94799999999998,110.019,127.88900000000001,159.957,133.21500000000003,193.0949999999999,265.65200000000004,237.8209999999999,266.01,286.79100000000005,1041.69,1116.92875,1148.6912499999999,,,,,,,,,,350.7829999999999,364.4580000000001,531.0799999999999,962.5779999999995,1519.8809499999998,2171.2585,3053.3322656249998,4240.7392578125,5831.016479492188,7251.664130859374,8396.66373046875,9236.330103515626,10159.96311386719,11175.959425253908,12293.555367779301
,R&D,,,,,,,,,,,138.245,173.57,,211.757,235.551,248.407,275.537,315.319,321.613,341.129,362.065,361.684,365.424,355.034,374.6,,,,,,,,,,,,,533.207,873.477,1253.598,1444.2069999999999,1516.41735,1592.2382175,1671.8501283750002,1755.4426347937504,1843.214766533438,1935.37550486011,2032.1442801031155,2133.7514941082713,2240.439068813685,2352.4610222543693,2470.084073367088
,G&A,,,,,,,,,,,51.584,59.383,,78.676,81.165,79.704,97.574,96.197,97.508,98.776,97.824,105.627,98.733,105.323,119.132,,,,,,,,,,,,,303.02,297.317,390.055,407.50699999999995,427.88235,449.27646749999997,471.74029087499997,495.32730541875,520.0936706896875,546.098354224172,573.4032719353806,602.0734355321497,632.1771073087572,663.785962674195,696.9752608079049
,S&M,,,,,,,,,,,19.599,27.772,,26.501,32.105,29.74,26.755,30.328,40.874,48.503,35.534,36.29,52.592,49.765,47.768,,,,,,,,,,,,,86.363,117.448,146.45999999999998,174.18099999999998,182.89005,192.03455250000002,201.63628012500004,211.71809413125004,222.30399883781254,233.41919877970318,245.09015871868834,257.34466665462276,270.2118999873539,283.7224949867216,297.9086197360577
,Operating Expenses,,,,,,,,,,,209.428,260.725,,316.934,348.821,357.851,399.866,441.844,459.995,488.408,495.423,503.60100000000006,516.749,510.12199999999996,541.5,0,0,0,,,,,,,,,,922.5899999999999,1288.242,1790.113,2025.895,2127.18975,2233.5492375000003,2345.2266993750004,2462.4880343437503,2585.6124360609383,2714.8930578639847,2850.6377107571843,2993.169596295044,3142.828076109796,3299.969479915286,3464.9679539110502
,Operating Income,,,,,,,,,,,-77.44599999999997,-139.65000000000003,,-170.2670000000001,-300.00700000000006,-301.903,-289.847,-313.955,-300.038,-355.193,-302.3280000000001,-237.949,-278.9280000000001,-244.11199999999997,-254.70899999999995,1041.69,1116.92875,1148.6912499999999,,,,,,,,,,-571.807,-923.7839999999999,-1259.0330000000001,-1063.3170000000005,-607.3088000000002,-62.29073750000043,708.1055662499994,1778.2512234687497,3245.40404343125,4536.77107299539,5546.026019711566,6243.160507220582,7017.1350377573945,7875.989945338622,8828.587413868252
,AdjEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.177,673.926,356.456,0.0,0.0,,,,,,,,,,,
,Interest,,,,,,,,,,,,,,,,,-10.452,,,-9.4,-10.709,-13.519,38.784,35.929,35.929,,,,,,,,,,,,,-8.794,-6.805,-19.852,50.485,50.485,50.485,50.485,50.485,50.485,50.485,50.485,50.485,50.485,50.485,50.485
,Pretax,,,,,,,,,,,-77.44599999999997,-139.65000000000003,,,,-301.903,-300.299,,,-364.59299999999996,-313.0370000000001,-251.46800000000002,-240.14400000000012,-208.18299999999996,-218.77999999999994,1041.69,1116.92875,1148.6912499999999,,,,,,,,,,-580.601,-930.5889999999998,-1278.8850000000002,-1012.8320000000004,-556.8238000000002,-11.805737500000433,758.5905662499994,1828.7362234687496,3295.8890434312502,4587.256072995389,5596.5110197115655,6293.645507220582,7067.620037757394,7926.474945338622,8879.072413868253
,Taxes,,,,,,,,,,,,,,,,1.643,0.731,,,0.277,0,0,0.303,2.648,0,,,,,,,,,,,,,-11.829,-6.223000000000001,1.008,2.951,-55.68238000000002,-1.1805737500000433,75.85905662499994,182.87362234687498,329.588904343125,458.725607299539,559.6511019711565,629.3645507220582,706.7620037757395,792.6474945338623,887.9072413868253
,Net Income,,,,,,,,,,,-77.44599999999997,-139.65000000000003,,,,-303.546,-301.03,,,-364.86999999999995,-313.0370000000001,-251.46800000000002,-240.44700000000012,-210.83099999999996,-218.77999999999994,1041.69,1116.92875,1148.6912499999999,,,,,,,,,,-568.772,-924.3659999999999,-1279.8930000000003,-1015.7830000000005,-501.1414200000002,-10.62516375000039,682.7315096249995,1645.8626011218746,2966.3001390881254,4128.530465695851,5036.8599177404085,5664.280956498524,6360.858033981654,7133.82745080476,7991.165172481427
,EPS,,,,,,,,,,,-0.1344707361285707,-0.24014031829554547,,,,-0.5043473637513105,-0.4962275627764215,,,-0.5820997196949029,-0.49295612736606736,-0.39119869822374753,-0.3693723587127341,-0.3190059010440308,-0.3257317350969318,1.5509255468192842,1.6629451490865128,1.7102349115694466,,,,,,,,,,-1.1243708708768074,-1.552098112865392,-2.0752991193834553,-1.5689615958636065,-0.774054736175496,-0.016411451927737266,1.0545357806614286,2.5421721108035884,4.581698059560104,6.37685977027542,7.779850395881228,8.748954539431901,9.824875954862106,11.018791712236013,12.34302135576804
,Shares,,,,,,,,,,,575.932,581.535,,,,601.859,606.637,,,626.817,635.02,642.814,650.961,660.9,671.657,671.657,671.657,671.657,,,,,,,,,,505.858,595.559,616.727,647.4237499999999,647.4237499999999,647.4237499999999,647.4237499999999,647.4237499999999,647.4237499999999,647.4237499999999,647.4237499999999,647.4237499999999,647.4237499999999,647.4237499999999,647.4237499999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,,,,0.016435123376317362,0.01798797051175427,,0.15154252233143373,0.37766149578815833,0.29523143350604486,0.22271661905808227,0.3124897179788486,0.28844754460373645,0.3176845050064072,0.2919093972295024,0.16579728116050374,0.2154362083806245,0.16242765763021616,,,,,,,,,,1.0772942519902369,0.15937579623808285,0.25808655258393953,0.2867390798011509,0.20559198151904834,0.25,0.25,0.2500000000000002,0.25,0.19999999999999996,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009
,Bookings y/y,,,,,,,,,,,,,,,0.10015631050760931,0.1678760082896602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,,,,,,,,,,0.18785105757931847,0.22427284517508497,0.17763444760173833,0.2409771621115686,0.29730186459968916,0.25879560760996473,0.26919103040631137,0.27703734615395764,1,1,1,,,,,,,,,,0.1827774451706222,0.1637975202377293,0.18971831609812137,0.2672358722802103,0.35,0.4,0.45,0.5,0.55,0.57,0.6,0.6,0.6,0.6,0.6
,DAUs y/y,,,,,0.49367088607594933,0.9532163742690056,0.9673913043478264,0.9424083769633507,0.7838983050847457,0.2934131736526948,0.30662983425414336,0.3342318059299192,0.28503562945368177,0.20833333333333326,0.2431289640591967,0.18787878787878776,,,,,,,,,,,,,,,,,,,,,,0.3342318059299192,0.18787878787878776,-1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,,,,,,1988.4900000000002,,,,,,,,,,,,,,,,,,,,,,,1988.4900000000002,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,2977.474,,,,,3469.4790000000003,,,,,,,,,,,,,,,,,,2977.474,,,,,,,,,,,,,
,A/R,,,,,,,,,,,,,,,,379.353,,,,,331.677,,,,,,,,,,,,,,,,,,379.353,,,,,,,,,,,,,
,Prepaids,,,,,,,,,,,,,,,,61.641,,,,,88.537,,,,,,,,,,,,,,,,,,61.641,,,,,,,,,,,,,
,DCOR,,,,,,,,,,,,,,,,645.268,,,,,818.0790000000001,,,,,,,,,,,,,,,,,,645.268,,,,,,,,,,,,,
,PP&E,,,,,,,,,,,,,,,,592.346,,,,,691.292,,,,,,,,,,,,,,,,,,592.346,,,,,,,,,,,,,
,Lease,,,,,,,,,,,,,,,,526.03,,,,,715.501,,,,,,,,,,,,,,,,,,526.03,,,,,,,,,,,,,
,Goodwill,,,,,,,,,,,,,,,,189.05200000000002,,,,,189.894,,,,,,,,,,,,,,,,,,189.05200000000002,,,,,,,,,,,,,
,OA,,,,,,,,,,,,,,,,4.323,,,,,10.212,,,,,,,,,,,,,,,,,,4.323,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,,5375.487,0,0,0,0,6314.671000000001,0,0,0,0,,,,,,,,,,,,,,5375.487,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,,,,71.182,,,,,49.078,,,,,,,,,,,,,,,,,,71.182,,,,,,,,,,,,,
,AE,,,,,,,,,,,,,,,,236.006,,,,,273.649,,,,,,,,,,,,,,,,,,236.006,,,,,,,,,,,,,
,DevExch,,,,,,,,,,,,,,,,231.704,,,,,292.676,,,,,,,,,,,,,,,,,,231.704,,,,,,,,,,,,,
,DR,,,,,,,,,,,,,,,,3037.234,,,,,3907.1459999999997,,,,,,,,,,,,,,,,,,3037.234,,,,,,,,,,,,,
,Leases,,,,,,,,,,,,,,,,494.59,,,,,693.815,,,,,,,,,,,,,,,,,,494.59,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,,,988.984,,,,,1005.338,,,,,,,,,,,,,,,,,,988.984,,,,,,,,,,,,,
,OLTL,,,,,,,,,,,,,,,,10.752,,,,,30.282,,,,,,,,,,,,,,,,,,10.752,,,,,,,,,,,,,
,S/E,,,,,,,,,,,,,,,,305.035,,,,,62.687,,,,,,,,,,,,,,,,,,305.035,,,,,,,,,,,,,
,L+S/E,,,,,,,,,,,,,,,,5375.487000000001,,,,,6314.670999999999,0,0,,,,,,,,,,,,,,,,5375.487000000001,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,191.251,181.166,,156.436,26.497,67.144,119.219,173.781,28.39,112.704,143.305,238.946,151.44899999999998,247.4300000000001,184.491,443.914,,,,,,,,,,,,524.34,659.109,369.296,,,,,,,,,,,,,
,CapEx,,,,,,,,,,23.235,2.963,,51.79,83.812,133.356,157.205,91.359,110.915,53.196,65.197,46.68,39.701,29.40500000000001,63.86,17.365,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,,,168.01600000000002,178.203,0,104.64600000000002,-57.315,-66.21199999999999,-37.98600000000002,82.42200000000001,-82.525,59.507999999999996,78.108,192.266,111.74799999999999,218.0250000000001,120.63100000000001,426.549,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-104.301,21.418999999999983,137.513,247.35699999999997,441.62999999999994,600.1470000000002,642.6700000000001,876.9530000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S/O,,,,,,,,,569.831463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Price,,,,,,,,,67.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MC,,,,,,,,,38372.45071842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
