Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,Datopotamab deruxtecan,,,,,,1.5,2.4,1.6,1.6,1.6,1.6,1.6,1.6,1.6,,,,,,,,,7.1,6.4,,,,,,,,,
,Vanflyta,,,,,,,,,,0,1.1,0.2,0.5,0.9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Turalio,,0.6,,,,0.8,0.9,0.9,1.1,1.2,1.4,1.5,1.2,1.5,,,,,,,,,3.8,5.3,,,,,,,,,
,GE Injectables,,,,,,17.6,18.8,19.2,16,18.3,19,21.8,21.9,20.6,,,,,,,,,71.6,81,,,,,,,,,
,Injectafer,,14.9,,,,14.1,13.3,14.4,12.1,13.2,12.5,12.3,12,15.8,,,,,,,,,54,50.1,,,,,,,,,
,Venofer,,7.9,,,,12.4,12.6,13.1,13.1,15.8,13.3,16.1,15.7,16.3,,,,,,,,,51.3,60.9,,,,,,,,,
,EU Lixiana,,23.4,,,,28.6,27.2,32,29.3,32.3,35.6,39.4,38.9,45.4,,,,,,,,,,,,,,,,,,,
,EU Nilemdo/Nustendi,,0.7,,,,1.3,1.5,2.1,2.2,3,3.8,5.2,6.4,7.8,,,,,,,,,,,,,,,,,,,
,EU Olmesartan,,5.6,,,,5.4,4.4,5,5.2,4.7,4.5,5.3,5.1,5.3,,,,,,,,,,,,,,,,,,,
,ASCA,,26.5,,,,31.9,37.9,36.6,36.3,34.2,37.800000000000004,42.5,46.099999999999994,41.7,,,,,,,,,142.8,184.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lixiana,,22.9,21.9,25.6,22,25.1,25.6,28.8,25.6,27.9,29.3,32.4,26.1,34.9,,,,,,,,,,,,,,,,,,,
,Tarlige,,7.1,7.1,8.7,7.3,8.9,9.4,10.8,9.4,11.7,11,12.6,10.3,14.2,,,,,,,,,,,,,,,,,,,
,Pralia,,9.2,9.3,10.3,9.2,9.9,9.4,11.1,9.8,10.7,10.4,12.2,9.5,11.1,,,,,,,,,,,,,,,,,,,
,Efient,,4.1,3.9,4.7,4,4.9,5,5.8,5.2,6.1,6.3,7.3,5.9,8.1,,,,,,,,,,,,,,,,,,,
,Tenelia,,6.4,5.7,6.5,5.1,5.6,5.4,6,4.9,5.3,5.1,5.7,4.3,,,,,,,,,,,,,,,,,,,,
,Vimpat,,4.5,4.4,5.1,4.3,5.3,5.3,6.1,5.2,6.4,6.3,7.2,5.8,8.1,,,,,,,,,,,,,,,,,,,
,Ranmark,,5.1,5,5.5,4.8,4.9,5.1,5.5,4.8,5,5.3,5.6,4.5,5.4,,,,,,,,,,,,,,,,,,,
,Canalia,,4.3,4,4.7,3.8,4.1,4,4.4,3.8,4.1,4,4.3,3.4,4.3,,,,,,,,,,,,,,,,,,,
,Loxonin,,5.8,5.5,6.3,4.6,4.6,4.8,5.3,3.8,4,4,4.5,3.1,3.5,,,,,,,,,,,,,,,,,,,
,Enhertu,,2.2,2.2,2.6,2.6,2.4,2.8,3.3,3.2,4.4,6,7.3,6.2,7.8,,,,,,,,,,,,,,,,,,,
,Minnebro,,,,,,,,,,2.1,,,,2.6,,,,,,,,,,,,,,,,,,,
,Emgality,,0.9,1.2,1.3,1.2,1.4,1.6,1.7,1.5,1.7,1.8,2.1,1.9,,,,,,,,,,,,,,,,,,,,
,Espha,,20,19.8,24.2,18.8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaccines,,1.4,4,12.3,-2.9,0.5,8.1,7.5,-2.7,0.7,7.5,20,-0.5,0.7,,,,,,,,,,,,,,,,,,,
,Japan,,129.1,126.5,138.1,95.8,109,116,131.3,101.5,28.900000000000006,30.80000000000001,44.30000000000001,26.09999999999998,17.000000000000014,,,,,,,,,457.9,518.9,,,,,,,,,
,HC,,15.4,18.4,15.9,15,15.3,18.4,21.2,15.6,17.1,20.3,22.5,16,20,,,,,,,,,70.3,76,,,,,,,,,
,Other/Trueup,,,,,,,,,,2.400000000000034,-0.5,2.1999999999999886,1.2,6.6,,,,,,,,,,,,,,,,,,,
,Revenue,,264.069,265.9,281,233.9,280.317,327.48,340.5,330.2,350.8,375.5000000000001,446.9000000000001,428.4,436.2000000000001,,,,,,,,,1044.892,1278.478,,,,,,,,,
,COGS,,85.228,87.4,90.6,84.8,74.798,84.769,,,93.6,,,,95,,,,,,,,,353.4,363.525,,,,,,,,,
,Gross Profit,,178.841,178.49999999999997,190.4,149.10000000000002,205.519,242.711,340.5,,257.20000000000005,,,,341.2000000000001,,,,,,,,,691.4920000000001,914.9530000000001,,,,,,,,,
,SG&A,,81.258,84.5,90,96.4,96.373,113.486,,,135.6,,,,167.6,,,,,,,,,362.456,471.221,,,,,,,,,
,R&D,,54.038,55,60.1,85,74.931,75.723,,,77.2,,,,56.8,,,,,,,,,260.326,341.57,,,,,,,,,
,Operating Expenses,,135.296,139.5,150.1,181.4,171.304,189.209,,,212.8,,,,224.39999999999998,,,,,,,,,622.782,812.7909999999999,,,,,,,,,
,Operating Income,,43.545000000000016,38.99999999999997,40.30000000000001,-32.29999999999998,34.215,53.50200000000001,,,44.400000000000034,,,,116.80000000000013,,,,,,,,,68.71000000000004,102.16200000000015,,,,,,,,,
,Interest Income,,3.5190000000000006,,,,-4.797999999999999,,,,8.1,,,,17.2,,,,,,,,,4.818,24.721,,,,,,,,,
,Pretax Income,,47.064000000000014,38.99999999999997,40.30000000000001,-32.29999999999998,29.417000000000005,,,,52.500000000000036,,,,134.0000000000001,,,,,,,,,73.52800000000003,126.88300000000015,,,,,,,,,
,Taxes,,11.842,,,,10.563,,,,4.9,,,,24.8,,,,,,,,,6.543,17.7,,,,,,,,,
,Net Income,,35.222000000000016,38.99999999999997,40.30000000000001,-32.29999999999998,18.854000000000006,,,,47.60000000000004,,,,109.20000000000012,,,,,,,,,66.98500000000003,109.18300000000015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,0.6772510215133166,0.6713050018804061,0.6775800711743772,0.6374519025224455,0.7331663794917896,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,,16739,,,,,,,,,,,,,,,,,,,,,,,,,,,
