Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,Fulfillment,,,,,,,,10028,8601,9271,10167,12192,11531,13806,14705,18474,16530,17638,18498,22445,20271,20342,20583,23103,20905,21305,22314,26095,22317,23566,24660,27962,24593,25976,,,,,,,,,,,,,,798.558,392.467,477.032,,,,,,,,,,,10766.0,13410.0,17619.0,25249.0,34027.0,40231.0,58516.0,75111.0,84299.0,90619.0,40317.5,42333.375,44450.04375000001,46672.545937500014,49006.17323437502,51456.48189609377,54029.30599089846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,17569,17179,17796,18512,21268,19664,22446,24334,27797,29585,31266,29384,32132,29674,34468,36250,40461,38662,43705,45747,51313,48363,50627,53240,60937,54098,60917,59419.99800000001,70234.20800000001,,,,,,,,,,,,0.0,600.151,780.1359999999997,,,,,,,,,,,15470.0,21945.0,30103.0,40683.0,59704.0,74755.0,94241.0,122367.0,140853.0,179427.0,182840.3,199732.11500000005,220741.14174999995,244451.87003750005,261944.9412993751,278072.71307634393,295309.92591336096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technology,,,,,,,,7669,7927,9065,9200,9740,9325,10388,10976,12049,12488,13871,14380,15313,14842,18072,19485,20814,20450,21931,21203,22038,20424,22304,24660,23571,21853.68,27166,,,,,,,,,,,,,,241.165,215.617,207.809,,,,,,,,,,,9275.0,12540.0,16085.0,22620.0,28837.0,35932.0,42738.0,56052.0,73213.0,85622.0,88190.66,90836.37980000001,93561.47119400001,96368.31532982002,99259.36478971463,102237.14573340607,105304.26010540825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,,,,,,,,4911,3664,4291,4752,6172,4828,4345,5434,7403,6207,7524,8010,10810,8320,10086,11014,12818,10172,10745,10551,12902,9662,10512,10609,13124,10338.34,11416,,,,,,,,,,,,,,138.283,125.383,122.787,,,,,,,,,,,4332.0,5254.0,7233.0,10069.0,13814.0,18879.0,22010.0,32551.0,42238.0,44370.0,45701.1,47072.133,48484.29699,49938.8258997,51436.990676691,52980.10039699173,54569.50340890148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,,,,,,1117,1173,1270,1348,1412,1452,1580,1668,1968,1987,2158,2153,2525,2594,2903,3061,3333,3043,3202,2561,3010,2742,3138,2713,2863,2933.94,2965,,,,,,,,,,,,,,89.862,79.049,88.302,,,,,,,,,,,1552.0,1747.0,2432.0,3674.0,4336.0,5203.0,6668.0,8823.0,11891.0,11816.0,12170.48,12535.5944,12911.662232,13299.012098960002,13697.982461928803,14108.921935786668,14532.189593860268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpEx,,,,,,,,13697,12764,14626,15300,17324,15605,16313,18078,21420,20682,23553,24543,28648,25756,31061,33560,36965,33665,35878,34315,37950,32828,35954,37982,39558,35125.96,41547,0,0,,,,,,,,,,,,469.30999999999995,420.049,418.898,,,,,,,,,,,15159.0,19541.0,25750.0,36363.0,46987.0,60014.0,71416.0,97426.0,127342.0,141808.0,146062.24000000002,150444.10720000003,154957.43041600002,159606.15332848002,164394.33792833443,169326.16806618447,174405.95310816998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpInc,,,,,,,,3872,4415,3170,3212,3944,4059,6133,6256,6377,8903,7713,4841,3484,3918,3407,2690,3496,4997,7827,11432,13363,15535,14673,15258,21379,18972.04,19370,59419.99800000001,70234.20800000001,,,,,,,,,,,,-469.30999999999995,180.10199999999998,361.2379999999997,,,,,,,,,,,311.0,2404.0,4353.0,4320.0,12717.0,14741.0,22825.0,24941.0,13511.0,37619.0,36778.05999999997,49288.00780000002,65783.71133399993,84845.71670902002,97550.60337104066,108746.54501015946,120903.97280519098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Expense,,,,,,,,-522,-14,-281,-580,109,-676,88,553,1388,1365,921,-526,11450,-9183,-425,254,-249,-878,-264,757,323,-2552,573,391,970,,1487,,,,,,,,,,,,,,-110.12899999999999,-119.23800000000001,-108.02400000000002,,,,,,,,,,,-422.0,-836.0,-461.0,-514.0,-1456.0,-766.0,1353.0,13210.0,-9603.0,-62.0,284.66,485.79,908.8672813000002,1475.7541995300498,2209.4867022527255,3057.447467875719,4007.7814039390187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax,,,,,,,,3350,4401,2889,2632,4053,3383,6221,6809,7765,10268,8634,4315,14934,-5265,2982,2944,3247,4119,7563,12189,13686,12983,15246,15649,22349,18972.04,20857,59419.99800000001,70234.20800000001,,,,,,,,,,,,-579.439,60.86399999999996,253.21399999999971,,,,,,,,,,,-111.0,1568.0,3892.0,3806.0,11261.0,13975.0,24178.0,38151.0,3908.0,37557.0,37062.71999999997,49773.79780000002,66692.57861529994,86321.47090855008,99760.0900732934,111803.99247803519,124911.75420913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,323,840,264,498,785,848,978,478,543,2161,856,1159,611,-1421,0,72,0,947,813,2310,3062,2552,1760,2709,2325,1897.2040000000002,2693,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,130.0,972.0,1521.0,773.0,1188.0,2387.0,2847.0,4787.0,-1349.0,7132.0,5559.407999999996,7466.069670000003,10003.88679229499,12948.22063628251,14964.01351099401,16770.59887170528,18736.7631313695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
