Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134
,Dynamics,,,,,855,959,961,993,1032,1143,1125,3843,1175,1357,1233,3541,1260,1302,1389,1570,1626,1659,1646,1550,1849,1913,1810.6000000000001,1705.0000000000002,2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070,3768,7143,7306,5521,6481,7277.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Devices,,,,,1202,2048,1412,1795,1620,2120,1599,-1585,1414,2285,1835,-847,1448,1430,1282,1277,-,1298,1067,2341,-,,1173.7,2575.1000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1982,7524,7888,5062,5134,6095,6457,3754,4687,5437,4706,3748.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,365 Consumer & Cloud,,,,,,,,,,,,,,,,,,,,,1643,1679,,,1727,1821,0,0,2204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,0,0,0,0,0,0,0,373,0,0,0,289,56,39,16,100,8,10,14,13,10,10,15.400000000000002,14.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,373,289,211,45,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cloud growth,,,,,,,,,,,,,,,,,,0.2262443438914028,0.21794871794871784,0.2071713147410359,0.23735408560311289,0.24354243542435428,0.2315789473684211,0.21452145214521456,0.2232704402515724,0.21364985163204753,0.20797720797720798,0.2690217391304348,0.262210796915167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7052631578947368,0.6419753086419753,0.4323308270676691,0.3569553805774279,0.33655705996131524,0.3212735166425471,0.22234392113910184,0.23118279569892475,0.22925764192139741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LinkedIn,,,,,,,,,,,,,,,,768,,,,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer 365 users,,,,,,,,,45.3,47.5,50.2,51.9,54.1,56.4,58.4,59.7,61.3,63.2,65.4,67,76.7,78.4,80.8,82.5,84.4,86.3,87.7,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gaming,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Productivity/Business,,,,,11077,11826,11743,11752,12319,13353,13552,14691,15039,15936,15789,16600,16465,17002,17516,18291,25226,25854,27113,28627,28317,29437,29944,33112,33020,33450,,,,,,,1401,2253,2927,,,,,,,,,,,,,,,,,,,,,,,,,,,53915,63364,69274,106820,120810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intelligent Cloud,,,,,10845,11869,12281,13371,12986,14601,15118,17375,16912,18327,18987,20804,20325,21508,22081,23993,20013,21525,22141,23785,24092,25544,26751,29878,30897,32400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60080,75030,87907,87464,106265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Personal,,,,,11133,13211,10997,12910,11849,15122,13036,14086,13366,17465,14584,14461,13332,14237,13260,13905,11278,14641,12604,12315,13176,14651,13371,13451,13756,14200,,,,,,,1104,1267,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,54093,59876,54734,50838,54649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product,17299,16219,15448,17103,15768,18255,15871,18147,15803,19460,16873,18938,16631,20779,17366,17956,15741,16517,15588,16853,15535,18941,17080,13217,15272,16219,15319,17136,15922,18651.85,16850.9,18849.600000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61502,63811,64497,66069,68041,71074,72732,64699,64773,63946,68422.22,73211.7754,75408.128662,77670.37252186,80000.48369751581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Service,11785,16252,15123,16614,17287,18651,19150,19886,21351,23616,24833,27214,28686,30949,31994,33909,34381,36230,37269,39336,40982,43079,44778,51510,50313,53413,54747,59305,61751,61424.95,60221.700000000004,65235.50000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23818,32760,45863,59774,74974,97014,125538,147216,180349,217778,261333.59999999998,313600.31999999995,360640.3679999999,396704.4047999999,436374.84527999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,29084,32471,30571,33717,33055,36906,35021,38033,37154,43076,41706,46152,45317,51728,49360,51865,50122,52747,52857,56189,56517,62020,61858,64727,65585,69632,70066,76441,77673,80076.79999999999,77072.6,84085.1,,,1183,1843,2759,3753,4649,5937,8671,11358,14484,19747,22956,25296,28365,32187,36835,39788,44282,51122,60420,58437,62484,69943,73723,77849,86833,93580,85320,96571,110360,125843,143015,168088,198270,211915,245122,281724,329755.81999999995,386812.09539999993,436048.4966619999,474374.7773218599,516375.32897751575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CoP,3649,5885,3441,3298,3305,4966,3376,4370,3597,6058,4277,4287,3792,6331,4584,4357,4302,5690,3941,3871,3531,5964,4339,1438,3294,3856,3037,3314,2922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17880,15175,15420,16273,16017,18219,19064,17804,15272,13501,17105.555,18302.94385,18852.0321655,19417.593130465,20000.120924378953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CoS,6256,6538,6729,7114,7101,7392,7599,7969,7405,8136,8768,9704,9854,10629,11031,12072,11150,11798,12187,12924,12771,13659,14166,18246,16805,17943,18882,20700,21121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14900,19086,22933,26637,30061,34013,43586,48059,58842,74330,91466.75999999998,109760.11199999998,126224.12879999996,138846.54167999997,152731.19584799997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,9905,12423,10170,10412,10406,12358,10975,12339,11002,14194,13045,13991,13646,16960,15615,16429,15452,17488,16128,16795,16302,19623,18505,19684,20099,21799,21919,24014,24043,24023.04,23121.780000000006,25225.530000000006,,,253,362,467,633,763,877,1188,1085,1197,2814,3002,3455,5191,5686,6716,6200,7650,10693,11598,12155,12395,15577,17530,20249,26934,33038,32780,34261,38353,42910,46078,52232,62650,65863,74114,87831,108819.42059999998,127647.99148199995,143896.00389845995,156543.67651621375,170403.8585625802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,19179,20048,20401,23305,22649,24548,24046,25694,26152,28882,28661,32161,31671,34768,33745,35436,34670,35259,36729,39394,40215,42397,43353,45043,45486,47833,48147,52427,53630,56053.75999999999,53950.82,58859.57,,,930,1481,2292,3120,3886,5060,7483,10273,13287,16933,19954,21841,23174,26501,30119,33588,36632,40429,48822,46282,50089,54366,56193,57600,59899,60542,52540,62310,72007,82933,96937,115856,135620,146052,171008,193893,220936.39939999997,259164.10391799998,292152.49276353995,317831.10080564616,345971.47041493555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,3977,4070,4316,4513,4565,4603,4887,5214,4926,4899,5204,5687,5599,5758,6306,6849,6628,6844,6984,6739,6659,7142,7653,8056,7544,7917,8198,8829,8146,8708.7,9017.800000000001,9711.900000000001,,,181,235,352,470,610,860,1432,1925,2502,2970,3775,4379,4307,4659,7779,6184,6584,7121,8164,9010,8714,9043,9811,10411,11381,12046,11988,13037,14726,16876,19269,20716,24512,27195,29510,32488,33462.64,34466.5192,35500.514776,36565.53021928001,37662.49612585841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,4098,4588,4565,4962,4337,4933,4911,5417,4231,4947,5082,5857,4547,5379,5595,6304,5126,5679,5750,6204,5187,6246,6207,6816,5717,6440,6212,7285,5717,7084.000000000001,6833.200000000001,8013.500000000001,,,317,534,854,1205,1384,1895,2657,2856,3412,3231,4141,4885,5407,6521,8309,8677,9818,11455,13039,12879,13214,13940,13857,15276,15811,15713,14697,15461,17469,18213,19598,20117,21825,22759,24456,25654,26423.62,27216.3286,28032.818458,28873.80301174,29740.017102092203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,1149,1132,1179,1425,1061,1121,1273,1656,1119,1139,1327,1522,1287,1384,1480,1749,1398,2337,1643,2197,1474,1977,1912,2246,1673,1823,1737,1990,1806,2005.3000000000002,1910.7,2189,,,39,62,90,119,166,267,316,362,433,689,1009,857,1550,2104,4997,4166,3758,3329,5127,3700,4004,4222,4569,5149,4821,4611,4563,4481,4754,4885,5111,5107,5900,7575,7609,7223,7439.6900000000005,7662.880700000001,7892.767121000001,8129.550134630001,8373.436638668902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,9224,9790,10060,10900,9963,10657,11071,12287,10276,10985,11613,13066,11433,12521,13381,14902,13152,14860,14377,15140,13320,15365,15772,17118,14934,16180,16147,18104,15669,17798,17761.7,19914.4,,,537,831,1296,1794,2160,3022,4405,5143,6347,6890,8925,10121,11264,13284,21085,19027,20160,21905,26330,25589,25932,27205,28237,30836,32013,32370,31248,32979,36949,39974,43978,45940,52237,57529,61575,65365,67325.95,69345.7285,71426.100355,73568.88336565,75775.94986661951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,9955,10258,10341,12405,12686,13891,12975,13407,15876,17897,17048,19095,20238,22247,20364,20534,21518,20399,22352,24254,26895,27032,27581,27925,30552,31653,32000,34323,37961,38255.75999999999,36189.119999999995,38945.17,,,393,650,996,1326,1726,2038,3078,5130,6940,10043,11029,11720,11910,13217,9034,14561,16472,18524,22492,20693,24157,27161,27956,26764,27886,28172,21292,29331,35058,42959,52959,69916,83383,88523,109433,128528,153610.44939999998,189818.37541799998,220726.39240853995,244262.21743999614,270195.52054831607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,266,127,145,191,0,194,-132,15,248,440,188,310,286,268,-174,-47,54,-60,321,473,389,-506,-854,-675,-283,-2288,-623,-1707,-3660,,,,,,17,21,45,75,86,175,301,184,473,1688,3090,-36,-305,1577,3187,2067,1790,1577,1322,-542,915,910,504,288,61,346,-431,876,1416,729,77,1186,333,788,-1646,-4901,-4901,-4901,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,10221,10385,10486,12596,12686,14085,12843,13422,16124,18337,17236,19405,20524,22515,20190,20487,21572,20339,22673,24727,27284,26526,26727,27250,30269,29365,31377,32616,34301,38255.75999999999,36189.119999999995,38945.17,,,410,671,1041,1401,1812,2213,3379,5314,7413,11731,14119,11684,11605,14794,12221,16628,18262,20101,23814,20151,25072,28071,28460,27052,27947,28518,20861,30207,36474,43688,53036,71102,83716,89311,107787,123627,148709.44939999998,184917.37541799998,220726.39240853995,244262.21743999614,270195.52054831607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,1397,1965,1677,-591,2008,2436,2091,2220,2231,2874,1779,2947,19,3750,3462,3747,4016,3914,4374,4646,4993,4656,4788,5214,5602,5257,5553,5383,6554,6886.036799999997,6514.041599999999,7010.1305999999995,,,131,208,333,448,576,714,1184,1860,2655,4106,4854,3804,3684,4733,4028,4374,5663,6036,6133,5252,6253,4921,5289,5189,5746,6314,2953,4412,19903,4448,8755,9831,10978,16950,19651,21795,26767.700891999997,33285.127575239996,33108.95886128099,36639.33261599942,40529.32808224741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
