Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0
,AP,,,,,,,,,62.327,-351.5,622.384,,,,,,,,,,,,,,,
,DR,,,,,,,,,-15.904,758.796,659.2719999999999,,,,,,,,,,,,,,,
,Lease,,,,,,,,,-51.109,-59.34199999999999,-70.61000000000001,,,,,,,,,,,,,,,
,ONCL,,,,,,,,,256.641,-206.673,-394.79,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,61.16800000000006,-251.25099999999975,1689.1339999999996,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,-1407.359,-2452.992,-2388.8879999999995,,,,,,,,,,,,,,,
,Investments,,,,,,,,,-25.692,56.53599999999998,-171.63099999999997,,,,,,,,,,,,,,,
,Acquisition,,,,,,,,,0,-45.706,90.43299999999999,,,,,,,,,,,,,,,
,CFFI,,,,,,,,,-1433.051,-2442.1620000000003,-2470.0859999999993,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,513.8520000000001,2307.468,1716.4299999999992,,,,,,,,,,,,,,,
,Redemption,,,,,,,,,-26.101,-2.5920000000000023,0,,,,,,,,,,,,,,,
,ESOP,,,,,,,,,-12.891,-115.12899999999999,1.495999999999981,,,,,,,,,,,,,,,
,IPO,,,,,,,,,1405.749,56.77599999999998,-1.0060000000000784,,,,,,,,,,,,,,,
,Other,,,,,,,,,-26.743,-17.343,-20.859999999999996,,,,,,,,,,,,,,,
,CFFF,,,,,,,,,1853.8660000000002,2229.18,1696.059999999999,,,,,,,,,,,,,,,
,CIC,,,,,,,,,481.98300000000035,-464.2330000000002,915.1079999999993,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,2039.038,-1847.824,,,,,,,,,,,,,,,,,,,,
,CX,,,,,-1741.935,-2247.161,,,-1407.359,-2452.992,-2388.8879999999995,-2388.8879999999995,,,,,,,,,,-8638.126999999999,-8638.126999999999,-8638.126999999999,-8638.126999999999,
,FCF,,,,,297.10300000000007,-4094.985,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Change,,,,,,,,,,,,,,,,,,,,,,,-3478.038999999997,8759.6788,3153.6065100000014,
,Net Cash,,,,,,,,,,,,,,,,,,,,,,-10751.54,-14229.578999999998,-5469.900199999998,-2316.293689999997,
,Cash,,,,,,,,,,,,3454.062,,,,,,,,,,3454.062,7428.441,16188.1198,16974.226310000002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/1/2029 $270m 12%,,,,,,,,,,,265,,,,,,,,,,,265.0,265.0,265.0,265.0,
,6/1/2030 9.25% $2000m,,,,,,,,,,,2000,,,,,,,,,,,2000.0,2000.0,2000.0,2000.0,
,2/1/2031 9% $1750m,,,,,,,,,,,1750,,,,,,,,,,,1750.0,1750.0,1750.0,1750.0,
,3/1/2028 DDTL 1.0 15%,,,,,,,,,,,1667.5,,,,,,,,,,,1667.5,1667.5,1667.5,0.0,
,8/1/2030 DDTL 2.0 10%,,,,,,,,,,,5037.372,,,,,,,,,,,5037.372,5037.372,5037.372,5037.372,
,9/1/2030 DDTL 2.1 9%,,,,,,,,,,,1241.325,,,,,,,,,,,1241.325,1241.325,1241.325,1241.325,
,8/1/2030 DDTL 3.0 9%,,,,,,,,,,,358.696,,,,,,,,,,,358.696,358.696,358.696,358.696,
,5/1/2028 Revolver 7% ,,,,,,,,,,,700,,,,,,,,,,,700.0,700.0,700.0,0.0,
,OEM 3/2026-8/2028,,,,,,,,,,,1185.709,,,,,,,,,,,1185.709,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,14205.602,13019.893,13019.893,10652.393,
