Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
x,Shin-Etsu Chemical,4063 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Ford Motor,F,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Emerson Electric,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Daikin,6367 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Atlas Copco,ATCOA SS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,GE Verona,GEV,,,,,,,,,,,,,,,,,,,,,,,,,,
x,ITC Ltd,ITC IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Kimberly-Clark,KMB,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Safran,SAF FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Honda,7267 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Denso,6902 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Roper,ROP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Wanhua Chemical,600309 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Mitsubishi,8058 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Norilsk Nickel,GMKN RM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Nutrien,NTR CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Li Auto,LI,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Nidec,6594 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Amphenol,APH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,BASF,BAS GR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Corteva,CTVA,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Freeport-McMoran,FCX,,,,,,,,,,,,,,,,,,,,,,,,,,
x,LG Energy Solution,373220 KS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,TE Connectivity,TEL,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Anglo American,AAL LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Great Wall Motor,2333 HK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Murata Manufacturing,6981 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Souther Copper Corporation,SCCO,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Dow,DOW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Asian Paints,APNT IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Ferrari,RACE,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Wesfarmers,WES AU,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Sika AG,SIKA SW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Nio,NIO,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Luxshare Precision,002475 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Adani Enterprises,ADE IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Beijing-Shanghai High-Speed Railway,601816 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Fortescue Metals,FMG AU,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Hoya,7741 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Inner Mongolia Yili,600887 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Maruti Suzuki,MSIL IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Lucid Group,LCID,,,,,,,,,,,,,,,,,,,,,,,,,,
x,MTR,66 HK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Rolls-Royce,RR/ LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Johnson Controls,JCI,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Haier Smart Home,600690 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Volvo,VOLVB SS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Parker Hannifin,PH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Zijin Mining,2899 HK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Yunnan Energy,002812 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Fanuc,6954 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Carrier Global,CARR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Trane Technologies,TT,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Canon,7751 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Nari Technology,600406 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Saudi Arabian Mining,MAADEN AB,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Hyundai,005380 KS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Larsen & Toubro,LT IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,BAE Systems,BA/ LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Grupo Mexico,GMEXICOB MM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Otis Worldwide,OTIS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,TransDigm,TDG,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Nucor,NUE,,,,,,,,,,,,,,,,,,,,,,,,,,
x,SMC Corp,6273 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,EVE Energy,300014 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Tianqi Lithium,002466 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Samsung SDI,006400 KS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Rivian,RIVN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Gree Electric,000651 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Corning,GLW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,SAIC Motor,600104 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,PACCAR,PCAR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Ganfeng Lithium,002460 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Barrick Gold,ABX CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Dupont De Nemour,DD,,,,,,,,,,,,,,,,,,,,,,,,,,
x,LyondellBasell,LYB,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Cummins,CMI,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Fastenal,FAST,,,,,,,,,,,,,,,,,,,,,,,,,,
x,PPG Industries,PPG,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Sungrow Power,300274 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,LG Chem,051910 KS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,TCL Zhonghuan,002129 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Henkel,HEN3 GR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Fujitsu,6702 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Thales,HO FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Enphase,ENPH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,CRH,CRH ID,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Weyerhaeuser,WY,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Dr Horton,DHI,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Holcim,HOLN SW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Keysight,KEYS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Bridgestone,5108 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Ametek,AME,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Conch Cement,914 HK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Xpeng,XPEV,,,,,,,,,,,,,,,,,,,,,,,,,,
x,JA Solar Technology,002459 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Aptiv,APTV,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Shenzhen Innovance,300124 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Kone,KNEBV FH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Ferguson,FERG,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Franco-Nevada,FNV CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Dover,DOV,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Kia,000270 KS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Qinghai Salt,000792 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Industries Qatar,IQCD QD,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Dassault Aviation,AM FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Veralto,VLTO,,,,,,,,,,,,,,,,,,,,,,,,,,
x,ArcelorMittal,MT NA,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Seres,601127 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Assa Abloy,ASSAB SS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Trina Solar,688599 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Howmet Aerospace,HWM,,,,,,,,,,,,,,,,,,,,,,,,,,
,Embraer,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,
x,Komatsu,6301 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Albemarle,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,
x,International Paper,IP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Soquimich,SQM/B CI,,,,,,,,,,,,,,,,,,,,,,,,,,
x,WW Grainger,GWW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Agnico Eagle Mines,AEM CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Borouge,BOROUGE UH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Chongqing Changan,200265 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,East Japan Railway,9020 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Compagnie de Saint Gobain,SGO FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Mitsubishi Heavy Industries,7011 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Baker Hughes,BKR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Axon Enterprise,AXON,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Central Japan Railway,9022 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,China Rail,390 HK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Quanta Services,PWR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Mitsubishi Electric,6503 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Hitachi,6501 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Bayan Resources,BYAN IJ,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Lennar,LEN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Sany Heavy,600031 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,L3Harris,LHX,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Mahindra & Mahindra,MM IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Weg,WEGE3 BZ,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Vulcan Materials,VMC,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Ingersoll-Rand,IR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Chandra Asri Petrochemical,TPIA IJ,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Daimler Truck Holding,DTG GR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Rockwell Automation,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Bajaj Auto,BAJAJ-AUTO IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Tata Motors,TTAN IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Rheinmetall,RHM GR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Ultratech Cement,UTCEM IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Wabtec,WAB,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Vestas Wind,VWS DC,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Ferrovial,FER SM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Martin Marietta,MLM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Schindler Holding,SCHP SW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Wheaton Precious Metals,WPM CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Xylem,XYL,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Amman Mineral,AMMN JK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Givaudan,GIVN SW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Legrand,LR FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Hindustan Aeronautics,HAL IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Sandvik,SAND SS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Heico,HEI,,,,,,,,,,,,,,,,,,,,,,,,,,
x,CRRC,601766 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,JSW Steel,JSWSTEEL IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Smurfit Westrock,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Novonesis (Novozymes),NSISB DC,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Avic Chengdu Aircraft,300114 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Sumitomo,8053 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Marubeni,8002 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Suzuki,7269 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Michelin,ML FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Nippon Steel,5401 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Techtronic,669 HK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Epiroc,EPIA SS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Antofagasta,ANTO LN,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joby,JOBY,9.02,7142.01864552,812.524,6329.49464552,Q125,791.798076,2025-06-16 00:00:00,,,,,,,,,,,,,,,,,,,
x,Teledyne,TDY,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Tenaris,TEN IM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,HD Hyundai Heavy,329180 KS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Teck Resources,TECK/B CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Symbotic,SYM,17.71,,,,Q224,,2024-09-10 00:00:00,,,,,,,,,,,,,,,,,,,
,ASP Isotopes,ASPI,3.55,,,,Q224,,2024-10-16 00:00:00,,,,,,,,,,,,,,,,,,,
x,Rocket Lab USA,RKLB,19.79,,,,,,,,,,,,,,,,,,,,,,,,,
,Intuitive Machines,LUNR,19.88,2790.0942647199995,91.647,2698.4472647199996,Q324,140.346794,2025-01-02 00:00:00,,,,,,,,,,,,,,,,,,,
