Main,Unnamed: 1,Unnamed: 2,2020-07-31 00:00:00,2020-10-31 00:00:00,2021-01-31 00:00:00,2021-04-30 00:00:00,2021-07-31 00:00:00,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,2022-10-31 00:00:00,2023-01-31 00:00:00,2023-04-30 00:00:00,2023-07-31 00:00:00,2023-10-31 00:00:00,2024-01-31 00:00:00,2024-04-30 00:00:00,2024-07-31 00:00:00,2024-10-31 00:00:00,2025-01-31 00:00:00,2025-04-30 00:00:00,2025-07-31 00:00:00,2025-10-31 00:00:00,2026-01-31 00:00:00,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,2025-01-31 00:00:00.1,2026-01-31 00:00:00.1,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,OpInc,,-16.753999999999905,-14.076999999999998,-73.31100000000004,-38.312999999999874,-1.1200000000000045,23.945000000000164,-100.96199999999999,-72.84300000000007,-34.0780000000002,-26.32100000000014,-88.95800000000008,-20,36,88,79,72,111,165,150,205,236.16999999999985,296.80999999999995,281.7660000000001,,,-104.14200000000028,-116.45000000000118,-222.19999999999982,,,,,,,
,Finance,,-11.453,-8.846,4.737,-9.051,0,21.557,17.141,-20.163,-32.789,4.163,11.039,27,46,41,59,59,57,62,45,64,64,64,64,,,-15.562,29.647,-37.75,,,,,,,
,Pretax Income,,-28.206999999999905,-22.923,-68.57400000000004,-47.363999999999876,-1.1200000000000045,45.502000000000166,-83.821,-93.00600000000007,-66.8670000000002,-22.15800000000014,-77.91900000000008,7,82,129,138,131,168,227,195,269,300.16999999999985,360.80999999999995,345.7660000000001,,,-119.70400000000028,-86.80300000000119,-259.9499999999998,,,,,,,
,Taxes,,-0.191,1.417,3.133,-0.842,-3.871,2.09,10.568,9.167,0,52.563,0,7,3,15,0,16,36,34,26,35,30.016999999999985,36.080999999999996,34.576600000000006,,,4.359,7.944999999999999,61.730000000000004,,,,,,,
,Net Income,,-28.015999999999906,-24.34,-71.70700000000004,-46.52199999999988,2.7509999999999954,43.41200000000016,-94.389,-102.17300000000007,-66.8670000000002,-74.72100000000015,-77.91900000000008,0,79,114,138,115,132,193,169,234,270.15299999999985,324.7289999999999,311.1894000000001,,,-124.06300000000027,-94.74800000000118,-321.67999999999984,,,,,,,
,EPS,,-0.11871085838255567,-0.10224356147005574,-0.29754929624219906,-0.19086810071428814,0.010580118146575578,0.17040351703564202,-0.37749107153569583,-0.4058623278502285,-0.2614514785750322,-0.2921607957677922,-0.30280737752698983,0,0.29875016544708527,0.42796487684747553,0.5133107427011304,0.42775895225094196,0.49263106038835747,0.7186770384548072,0.6259096986374427,0.8657175836860331,0.9994709503655247,1.2013829283452213,1.1512911770799423,,,-0.5205054730208821,-0.37577610806716594,-1.260784404024805,,,,,,,
,Shares,,236.002,238.059,240.992,243.739,260.016,254.76,250.043,251.743,255.753,255.753,257.322,257.322,264.435,266.377,268.843,268.843,267.949,268.549,270.007,270.296,270.296,270.296,270.296,,,238.351,252.1395,255.14275,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,0.18681748114583585,0.20010036529350073,0.21601171351720105,0.22095039032946295,0.21853818072758524,0.2048124599269323,0.19628729904857134,0.1737997305279242,0.16356447918280925,0.1669041956646944,0.16749480640968017,0.18171021377672214,0.1667599328483491,0.157556270096463,0.15036420395421435,0.12562814070351758,0.10000000000000009,0.10000000000000009,0.09999999999999987,,,,0.5573950989980334,0.2095859771098223,0.16782698592526346,0.16352114616338342,0.1060383613544873,,,,
,Gross Margin,,0.7323108910163875,0.733099750443054,0.7233821455459298,0.716558598779779,0.7258555286937631,0.728973082199986,0.7167463217795269,0.719221388805826,0.7245178076804372,0.7274765915641456,0.7245398661207828,0.752375296912114,0.7493005036373811,0.7615219721329046,0.7601456815816857,0.7542713567839195,0.754916067146283,0.7546296296296297,0.7557666214382632,0.7602678571428572,0.76,0.76,0.76,,,0.7295129638008844,0.7220955172785541,0.7240623840659428,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,2134.160999999999,,,3145.459999999999,,,,,,4397.066,4174,0,4985,,,,,,,,,,,,,,,
,Cash,,,,,,,,,6255.355,,,6121.393999999999,,,,,,7373,7157,,7970,,,,,,,,,,,,,,,
,AR,,,,,,,,,778.076,,,1570.086,,,,,,1292,1404,,1363,,,,,,,,,,,,,,,
,Deferred Costs,,,,,,,,,496.51800000000003,,,612.042,,,,,,1259,1765,,812,,,,,,,,,,,,,,,
,Prepaids,,,,,,,,,252.989,,,225.69,,,,,,298,273,,362,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,1186.004,,,1201.254,,,,,,1259,1263,,1140,,,,,,,,,,,,,,,
,Lease,,,,,,,,,252.236,,,249.278,,,,,,339,335,,355,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,3209.431,,,3145.509,,,,,,3588,3862,,3818,,,,,,,,,,,,,,,
,Other,,,,,,,,,368.497,,,360.985,,,,,,339,365,,1392,,,,,,,,,,,,,,,
,Assets,,,,,,,,,12799.106,,,13486.238000000001,,,,,,15747,16424,0,17212,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,123.361,,,153.751,,,,,,153.751,74,,92,,,,,,,,,,,,,,,
,AE,,,,,,,,,246.939,,,260.131,,,,,,260.131,323,,271,,,,,,,,,,,,,,,
,Compensation,,,,,,,,,362.269,,,563.548,,,,,,563.548,476,,548,,,,,,,,,,,,,,,
,DR,,,,,,,,3182.48,2879.427,,,3633.933,,,,,,3633.933,3511,,3877,,,,,,,,,,,,,,,
,Lease,,,,,,,,,262.81,,,273.142,,,,,,273.142,380,,408,,,,,,,,,,,,,,,
,Debt,,,,,,,,,4121.194,,,2975.934,,,,,,2975.934,2983,,2985,,,,,,,,,,,,,,,
,Other,,,,,,,,,22.299,,,40.231,,,,,,40.231,53,,112,,,,,,,,,,,,,,,
,SE,,,,,,,,,4780.807,,,5585.568,,,,,,5585.568,8624,,8919,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,12799.106,,,13486.238000000001,,,,,,13486.238000000001,16424,0,17212,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,-46.52199999999988,,,,-102.17300000000007,-66.8670000000002,-74.72100000000015,-77.91900000000008,,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,-46.522,,,,-102.173,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,82.463,,,,89.846,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,264.635,,,,311.506,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amortization,,,,,31.614,,,,39.427,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,22.23,,,,22.048,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gain of Investments,,,,,6.018,,,,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,-1.624,,,,0.709,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,392.119,,,,462.964,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deferred Costs,,,,,-26.27,,,,-41.729,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepaid,,,,,-35.566,,,,-23.997,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,-0.17,,,,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AE,,,,,-10.92,,,,-30.873,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR,,,,,-225.579,,,,-303.001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,452.42800000000005,,,,439.71699999999987,,,,,425,451,996,372,571,406,1113,457,,,,,,,,,2149,2461,,,,,
,,,,,,,,,,,,,,,,,,2244,2390,2345,2462,2547,,,,,,,,,,0.14518380642159134,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR y/y,,,,,,,,,,,,0.14185572258113166,,,,,,,,,,,,,,,,,,,,,,,,
