Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,Interest,,,,-132.4,-175.1,-171.29999999999998,-157.70000000000002,-126.29999999999998,-179.89999999999998,-159.4,-132.6,,,-143.7,-141.5,-140.9,-138.4,-145.8,-145.6,-120.2,-111.5,-111.5,-111.5,-111.5,,,,,,,,-497.8,-636.2,-592.4,-573.1,-550.0,,,,,,
,Pretax,,,,-942.1999999999999,-418.39999999999975,-196.0999999999997,209.30000000000044,70.00000000000043,533.6999999999999,400.19999999999925,423.6,,,224.69999999999987,285.10000000000014,-352.9999999999999,148.39999999999995,-262.49999999999983,111.79999999999987,-158.40000000000003,-120.40000000000009,-443.5015999999998,-97.91119999999978,-221.5956000000001,,,,,,,,-558.3,-270.89999999999986,1063.299999999998,410.20000000000016,-160.70000000000164,,,,,,
,Taxes,,,,0,596.3,60.1,0,59.9,128.3,75.4,73.2,,,69,-141.5,0,0,-65.4,-145.6,0,0,0,0,0,,,,,,,,0.0,0.0,734.6,0.0,0.0,,,,,,
,Net Income,,,,-942.1999999999999,-1014.6999999999997,-256.1999999999997,209.30000000000044,10.100000000000428,405.3999999999999,324.7999999999993,350.40000000000003,,,155.69999999999987,143.60000000000014,-352.9999999999999,148.39999999999995,-327.89999999999986,-33.800000000000125,-158.40000000000003,-120.40000000000009,-443.5015999999998,-97.91119999999978,-221.5956000000001,,,,,,,,-558.3,-270.89999999999986,328.6999999999979,410.20000000000016,-160.70000000000164,,,,,,
,EPS,,,,-1.1027621722846441,-0.8403312629399583,-0.2119457313037721,0.1726043212930896,0.00835124855300184,0.3341851454950127,0.266863856708569,0.28766111156719487,,,0.12937266306605724,0.11891354753229559,-0.29414215482043155,0.12269532864820169,-0.27529174712450666,-0.028157280906364646,-0.13270777479892765,-0.10097282791009735,-0.37194028849379385,-0.08211271385441109,-0.18583998658168407,,,,,,,,-0.9286427145708581,-0.22410655195234933,0.2700016428454065,0.33987902891706034,-0.13466856616106732,,,,,,
,Shares,,,,854.4,1207.5,1208.8,1212.6,1209.4,1213.1,1217.1,1218.1,,,1203.5,1207.6,1200.1,1209.5,1191.1,1200.4,1193.6,1192.4,1192.4,1192.4,1192.4,,,,,,,,601.2,1208.8,1217.4,1206.9,1193.3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,0.19817855664412876,-0.053856397986592364,-0.10070339464371547,-0.1010448353392408,,,,,,,-0.03113356811106005,-0.04837768588751623,-0.08057748938055409,-0.11167221706611352,-0.09999999999999998,-0.09999999999999987,-0.09999999999999998,,,,,,,,,0.4972626820693118,-0.09077338521661837,-0.051393680016233456,-0.04457149524531823,,,,,,
,Gross Margin,,,,0.19494963433144752,0.254452294427014,0.2900301454847307,0.34697791297447433,0.35618205269946573,0.42254932366343007,0.4137436844150796,0.4287185523024864,,,,,0.41604774190185806,0.410547578751979,0.38070905547068434,0.38899552143314137,0.34437799382103684,0.3568202071105921,0.36000000000000004,0.36,0.36,,,,,,,,0.3178218650594341,0.31171902517569317,0.399503157532267,0.41736188087042764,0.3815377935180096,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,,,,,,,,-16181.400000000001,0,-13312.4,-13431,,,,,,,,,,,,,-18014.399999999998,,,,,,,,
,Cash,,,,,,,,,752.4,664.7,646.7,,,,,,,917.2,,734.8,755,,,,,,,,,,,,,1259.9,,,,,,,,
,AR,,,,,,,,,4093.9,3736.2,3333.9,,,,,,,3566.9,,3221.3,3125.7,,,,,,,,,,,,,3814.5,,,,,,,,
,Inventories,,,,,,,,,3797.3,3612.5,3380.4,,,,,,,3942.1,,3854.1,4096.4,,,,,,,,,,,,,3519.5,,,,,,,,
,Prepaid,,,,,,,,,1763.6,1697.7,1700.4,,,,,,,1757,,1710.5,1645.3,,,,,,,,,,,,,1811.2,,,,,,,,
,Held for Sale,,,,,,,,,1337.1,1465.4,1426.4,,,,,,,1608.9,,0,0,,,,,,,,,,,,,230.3,,,,,,,,
,PP&E,,,,,,,,,3150.2,3083.9,3039,,,,,,,2662.6,,0,2635.6,,,,,,,,,,,,,3024.5,,,,,,,,
,Goodwill,,,,,,,,,36230.6,34624.1,33067.9,,,,,,,27744.9,,26204.2,23124.4,,,,,,,,,,,,,33032.899999999994,,,,,,,,
,Taxes,,,,,,,,,1285.8,1243.2,1104,,,,,,,685.3,,0,817.6,,,,,,,,,,,,,925.9,,,,,,,,
,OA,,,,,,,,,1056,997.4,963.9,,,,,,,2445.1,,5776,2274.9,,,,,,,,,,,,,2403.5,,,,,,,,
,Assets,,,,,,,,,53466.9,51125.1,48662.6,,,,,,,45330.00000000001,0,41500.9,38474.9,,,,,,,,,,,,,50022.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,1499.6,1670.1,1310.5,,,,,,,1957.5,,,1988.4,,,,,,,,,,,,,1766.6,,,,,,,,
,Debt,,,,,,,,,22024,20994.300000000003,19988.7,,,,,,,17098.600000000002,,14047.199999999999,14186,,,,,,,,,,,,,19274.3,,,,,,,,
,Taxes,,,,,,,,,2907.3,2743.6,2596,,,,,,,1691.5,,,1175.9,,,,,,,,,,,,,2711.6,,,,,,,,
,Held for Sale,,,,,,,,,277.7,285.1,335.3,,,,,,,32.8,,,,,,,,,,,,,,,,0.0,,,,,,,,
,OCL,,,,,,,,,4426.3,3812.4,3504.7,,,,,,,3233.8,,5771.1,3629.8,,,,,,,,,,,,,3440.9,,,,,,,,
,ONCL,,,,,,,,,1884.3,1814.2,1745.1,,,,,,,1795.8,,3047.1,1844.4,,,,,,,,,,,,,1756.5,,,,,,,,
,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28949.899999999998,,,,,,,,
,SE (Book Value),,,,,,,,,20447.7,19805.4,19182.3,,,,,,,19520,,18635.5,15650.4,,,,,,,,,,,,,21072.3,,,,,,,,
,L+SE,,,,,,,,,53466.899999999994,51125.100000000006,48662.6,,,,,,,45330,0,41500.899999999994,38474.9,,,,,,,,,,,,,50022.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Book Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21072.3,,,,,,,,
,Tangible Book Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11960.599999999995,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,405.3999999999999,324.7999999999993,,,,155.69999999999987,143.60000000000014,-352.9999999999999,148.39999999999995,-327.89999999999986,-33.800000000000125,-158.40000000000003,-120.40000000000009,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,399.2,313.90000000000003,,,,,,,,,,,-3042,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,,,,,736,722.3,,,,,,,,,,,664.7,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,,,,,28.3,29.400000000000002,,,,,,,,,,,55.2,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,-52.8,-104.8,,,,,,,,,,,-43.6,,,,,,,,,,,,,,,,,,,,,
,Equity,,,,,,,,,-0.1,0.1,,,,,,,,,,,36.9,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,37.8,-34,,,,,,,,,,,3155.6000000000004,,,,,,,,,,,,,,,,,,,,,
,Litigation,,,,,,,,,5.2,4.8,,,,,,,,,,,-69.4,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,,,,,-15.099999999999994,-129.20000000000002,,,,,,,,,,,-221.89999999999998,,,,,,,,,,,,,,,,,,,,,
