Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,Model NI,,,,,,3423,4809,1266,5483,6397,7068,6379,,,,,,,,,,
,Reported NI,,,,,,1325,2121,-1875,,,4965,4140,,,,,,,,,,
,Amortization,,,,,,2206,2381,2375,,,2024,2060,,,,,,,,,,
,Depreciation,,,,,,139,149,149,,,142,142,,,,,,,,,,
,SBC,,,,,,1582,1457,1388,,,1771,2322,,,,,,,,,,
,DT,,,,,,-294,-511,3638,,,-571,284,,,,,,,,,,
,Non-cash Interest,,,,,,102,119,115,,,94,82,,,,,,,,,,
,Other,,,,,,38,92,241,,,40,30,,,,,,,,,,
,WC,,,,,,-283,-1228,-1068,,,-1910,-1894,,,,,,,,,,
,CFFO,,,,,,4815,4580,4963,0,0,6555,7166,,,,,,13764,16736,18085,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,20000,,,,,,,,,,,,,,,,,
