Main,Unnamed: 1,13 weeks,13 weeks.1,13 weeks.2,14 weeks,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,13 weeks.3,13 weeks.4,13 weeks.5,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,52 weeks,52 weeks.1,53 weeks,52 weeks.2,52 weeks.3,52 weeks.4,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105
,Australia,,,,,,,,,,,,,,,,,114.8,131.1,,,126.7,113.9,122.8,225.3,115.4,124.1,102.2,180.80000000000004,,,,,,,,,,,,,,,,,,,,,,591.4,609.5,702.2,645.4,525.4,625.3,591.8,588.7,522.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Europe,,,,,,,,,,,,,,,,,133.8,194.4,,,179.5,166.4,196.6,358.9,226.60000000000002,213.5,221.7,366.6,,,,,,,,,,,,,,,,,,,,,,1356.7,1313.5,1534,1405.2,1098.7,789,900.1,901.4,1028.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Hardware,,,,,233.5,175.6,189,,233.5,175.6,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028.7,1944.7,1396.7,1791.8,1767.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Software,,,,,446.4,285,485.9,,446.4,285,485.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3089,2905.1,2493.4,2582,2449.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pre-owned,,,,,395.3,373.1,344.2,,395.3,373.1,344.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2389.3,2374.7,2254.1,2149.6,1866.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accessories,,,,,200.2,169.6,156.5,,200.2,169.6,156.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.6,703,676.7,784.3,956.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Digital,,,,,38.1,36.3,37,,38.1,36.3,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.3,188.3,181,189.2,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Collectibles,,,,,157.3,171.8,161.2,,157.3,171.8,161.2,,,,,,175.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.8,309.7,494.1,636.2,707.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,76.9,74.3,64.7,,76.9,74.3,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.3000000000001,404.3,297.9,414,343.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hardware,,,,,,,,,,,,,513.1,441.6,413.4,1162.7,703.5,609.6,669.9,1188.7,673.8,596.4,627,1242.8,725.8,597,579.4,1094.6000000000001,505.3,,,,,,,,,,,,,,,,,,,,,,,,3717.8,2722.2,2530.8,3171.7,3140,2996.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Software,,,,,,,,,,,,,417,386.5,444.4,731.2,397.9,396.6,434.5,785.9,483.7,316.4,352.1,670.3999999999999,338.3,397,321.3,465.40000000000003,239.7,,,,,,,,,,,,,,,,,,,,,,,,3856.5,3006.3,1979.1,2014.8,1822.6,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Collectibles,,,,,,,,,,,,,90.9,113.9,146.9,228.2,175.4,177.2,192.2,279.3,220.9,223.2,207.3,313.19999999999993,173,169.8,177.6,233.59999999999997,136.8,,,,,,,,,,,,,,,,,,,,,,,636.2,711,737.5,579.9,824.2,964.6,754,829.4000000000001,912.3400000000001,1003.5740000000003,1103.9314000000004,1214.3245400000005,1335.7569940000008,1469.332693400001,1616.2659627400012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,2045.9,1687.6,1988.6,2824.9999999999977,1547.7,1285.7,1438.5,5091.9,1547.7,1285.7,1438.5,2194.1000000000004,1021,942,1004.6999999999999,2122.1,1276.8000000000002,1183.4,1296.6000000000001,2253.9,1378.4,1136,1186.4,2226.3999999999996,1237.1,1163.8,1078.3,1793.6000000000001,881.8,931.04,916.555,1614.2400000000002,,,,,,1578.838,1842.806,3091.783,5318.9,7093.962,8805.897,9077.997,9473.7,9550.5,8886.7,9039.5,9296,9363.8,8607.9,8547.099999999999,8285.3,6466,5089.799999999999,6010.7,5927.2,5272.8,5325.528,5378.783280000001,5432.5711128,5486.896823928,5541.76579216728,5597.183450088953,5653.155284589842,5709.686837435741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,1343.4,1063.9,1299.2,1892.1000000000004,1076.5,886.6,997.4,3485,1076.5,886.6,997.4,1596.8000000000002,738.6,689.8,728.4,1673.5,946.7,862.5,978,1875.7,1079.9,853.8,894.8,1736.5919999999999,949.8,857.9,796.5,1374.3999999999999,637.3,,,,,,,,,,,2219.753,3847.458,5280.255,6535.762,6643.345,6936.1,6871,6235.2,6378.4,6520.1,6445.5,5598.6,6062.2,5977.2,4557.3,3830.3,4662.9,4565.092,3978.5999999999995,4047.40128,4034.0874600000006,4074.4283346,4060.30364970672,4100.906686203787,4085.9439185649353,4126.803357750585,4110.974522953733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,702.5,623.6999999999998,689.3999999999999,932.8999999999974,471.20000000000005,399.1,441.1,1606.8999999999996,471.20000000000005,399.1,441.1,597.3000000000002,282.4,252.20000000000005,276.29999999999995,448.5999999999999,330.10000000000014,320.9000000000001,318.60000000000014,378.20000000000005,298.5,282.20000000000005,291.60000000000014,489.80799999999977,287.29999999999995,305.9,281.79999999999995,419.2000000000003,244.5,,,,,,,,,,,872.0299999999997,1471.4419999999996,1813.7070000000003,2270.135000000001,2434.651999999999,2537.6000000000004,2679.5,2651.500000000001,2661.1000000000004,2775.8999999999996,2918.2999999999993,3009.2999999999993,2484.8999999999987,2308.0999999999995,1908.6999999999998,1259.499999999999,1347.8000000000002,1362.1080000000002,1294.2000000000007,1278.1267200000002,1344.69582,1358.1427782,1426.5931742212802,1440.8591059634928,1511.2395315240174,1526.3519268392574,1598.712314482008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,563.5,542.4,565.1,581.5999999999999,430.6,459.3,451.8,767.2000000000002,430.6,459.3,451.8,581.0000000000001,386.5,348.2,360.4,419.1,370.3,378.9,421.5,538.9,452.2,387.5,387.9,453.3999999999999,345.7,322.5,296.5,359.2000000000001,295.1,,,,,,,,,,,599.943,1021.113,1182.016,1445.419,1635.124,1698.8,1842.1,1835.9,1892.4,2001,2108.9,2252.6,1909.6,1994.2,1922.7,1514.2,1709.6,1680.9999999999998,1323.9,1310.661,1297.55439,1284.5788461,1323.116211483,1362.80969782749,1403.6939887623148,1445.8048084251843,1489.1789526779398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,139,81.29999999999984,124.29999999999984,351.29999999999745,40.60000000000002,-60.19999999999999,-10.699999999999989,839.6999999999995,40.60000000000002,-60.19999999999999,-10.699999999999989,16.300000000000068,-104.10000000000002,-95.99999999999994,-84.10000000000002,29.499999999999886,-40.199999999999875,-57.999999999999886,-102.89999999999986,-160.69999999999993,-153.7,-105.29999999999995,-96.29999999999984,36.407999999999845,-58.400000000000034,-16.600000000000023,-14.700000000000045,60.00000000000017,-50.60000000000002,0,0,0,,,,,,,,272.08699999999976,450.3289999999995,631.6910000000003,824.716000000001,799.5279999999991,838.8000000000004,837.4000000000001,815.6000000000008,768.7000000000003,774.8999999999996,809.3999999999992,756.6999999999994,575.2999999999988,313.8999999999994,-14.000000000000227,-254.70000000000095,-361.7999999999997,-318.8919999999996,-29.699999999999363,-32.53427999999985,47.1414299999999,73.5639321000001,103.47696273828024,78.04940813600274,107.54554276170256,80.54711841407311,109.53336180406814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Expense,13.9,14.4,13.9,10.800000000000002,7.7,-7,-6,-17.7,7.7,-7,-6,-21.9,-6.7,-7.5,-9.7,-8.2,-24.7,-0.5,-0.8,-0.9,-0.7,0.3,3.7,3.7,7.799999999999999,13.6,10.4,10.4,14.9,,,,,,,,,,,,,,,,,,,-4.7,-10,-23,-53,-55.3,-51.1,-27.2,-32.1,-26.9,7,42.199999999999996,23.986000000000004,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,125.1,66.89999999999984,110.39999999999984,340.49999999999744,32.90000000000002,-53.19999999999999,-4.699999999999989,857.3999999999995,32.90000000000002,-53.19999999999999,-4.699999999999989,38.20000000000007,-110.80000000000003,-103.49999999999994,-93.80000000000003,21.299999999999887,-64.89999999999988,-58.499999999999886,-103.69999999999986,-161.59999999999994,-154.39999999999998,-104.99999999999996,-92.59999999999984,40.10799999999985,-50.60000000000004,-3.000000000000023,-4.300000000000045,70.40000000000018,-35.700000000000024,0,0,0,,,,,,,,,450.3289999999995,631.6910000000003,824.716000000001,799.5279999999991,838.8000000000004,837.4000000000001,815.6000000000008,764.0000000000002,764.8999999999996,786.3999999999992,703.6999999999994,519.9999999999989,262.7999999999994,-41.20000000000023,-286.800000000001,-388.6999999999997,-311.8919999999996,12.500000000000632,-8.548279999999849,47.1414299999999,73.5639321000001,103.47696273828024,78.04940813600274,107.54554276170256,80.54711841407311,109.53336180406814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,28.2,7,14.3,101.99999999999999,3,-40.1,31.6,227.9,3,-40.1,31.6,43.1,50.4,17.9,-53.9,-69.7,1.3,3.1,1.7,-20.2,3.5,1.2,2.1,0,-0.1,0.2,-1.2,0,3.4,,,,,,,,,,,,,,,,,,,214.6,215.2,222.4,151.5,153.5,41.7,37.6,-55.3,-14.1,6.800000000000001,-1.0999999999999999,0,0,7.356393210000011,10.347696273828024,15.609881627200549,21.509108552340514,20.136779603518278,27.383340451017034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,96.89999999999999,59.899999999999835,96.09999999999984,238.49999999999744,29.90000000000002,-13.099999999999987,-36.29999999999999,629.4999999999995,29.90000000000002,-13.099999999999987,-36.29999999999999,-4.899999999999935,-161.20000000000002,-121.39999999999995,-39.90000000000003,90.99999999999989,-66.19999999999987,-61.59999999999989,-105.39999999999986,-141.39999999999995,-157.89999999999998,-106.19999999999996,-94.69999999999983,40.10799999999985,-50.500000000000036,-3.2000000000000233,-3.100000000000045,70.40000000000018,-39.10000000000002,0,0,0,,,,,,,,,450.3289999999995,631.6910000000003,824.716000000001,799.5279999999991,838.8000000000004,837.4000000000001,815.6000000000008,549.4000000000002,549.6999999999996,563.9999999999992,552.1999999999994,366.49999999999886,221.0999999999994,-78.80000000000024,-231.50000000000097,-374.5999999999997,-318.6919999999996,13.600000000000632,-8.548279999999849,47.1414299999999,66.2075388900001,93.12926646445221,62.43952650880219,86.03643420936206,60.41033881055483,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511,82.1500213530511
,EPS,0.9556213017751478,0.5901477832512299,0.9467980295566486,2.3520710059171344,0.29170731707317094,-0.13099999999999987,-0.44214372716199746,7.1942857142857095,0.29170731707317094,-0.13099999999999987,-0.44214372716199746,-0.05599999999999925,-2.4992248062015507,-1.8676923076923069,-0.6119631901840494,1.3421828908554556,-1.0030303030303012,-0.848484848484847,-1.388669301712778,-1.862977602108036,-2.0803689064558624,-0.34911242603550285,-0.3113083497698877,0.1318474687705452,-0.16584564860426942,-0.010498687664042071,-0.010153946937438731,0.23059285948247682,-0.12807075008188673,,,,,,,,,,,,,,,,,,,4.640202702702704,4.8560070671378055,5.285848172446103,5.319845857418105,3.610837438423634,2.1655239960822663,-0.9005714285714314,-3.5615384615384764,-5.159779614325065,-4.389696969696964,0.18732782369146878,-0.11774490358126515,0.6493309917355359,0.9119495714876047,1.2827722653505815,0.8600485745014076,1.1850748513686236,0.8320983307238958,1.1315429938436792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,101.4,101.5,101.5,101.4,102.5,100,82.1,87.5,102.5,100,82.1,87.5,64.5,65,65.2,67.8,66,72.6,75.9,75.9,75.9,304.2,304.2,304.2,304.5,304.8,305.3,305.3,305.3,305.3,305.3,305.3,,,,,,,,,,,,,,,,118.4,113.2,106.7,103.8,101.5,102.1,87.5,65,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,,,,,,0.2505386875612148,0.25626326963906587,0.2905344879068381,0.06210828895905007,0.07957393483709274,-0.04005408146019951,-0.08499151627333024,-0.01220107369448531,-0.10251015670342434,0.024471830985915544,-0.09111598111935282,-0.19439453826805586,-0.287203944709401,-0.19999999999999996,-0.15000000000000002,-0.09999999999999998,,,,,,,,,,0.3337272744364439,0.24132283200840376,0.030899748202823485,0.0435892411068215,0.008106653155578014,-0.06950421443903454,0.01719423408014209,0.028375463244648458,0.007293459552495607,-0.08072577372434264,-0.007063279080844476,-0.030630272256086832,-0.2195816687386093,-0.21283637488400875,0.1809304884278362,-0.013891892791189075,-0.11040626265352949,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hardware y/y,,,,,,,,,,,,,,,,,0.3710777626193724,0.38043478260869557,0.6204644412191582,0.022361744216048862,-0.04221748400852887,-0.021653543307086687,-0.064039408866995,0.045511903760410366,0.07717423567824278,0.001006036217303885,-0.0759170653907496,-0.11924686192468603,-0.3038027004684486,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Software y/y,,,,,,,,,,,,,,,,,-0.04580335731414875,0.02613195342820185,-0.022277227722772186,0.07480853391684894,0.21563206835888415,-0.20221886031265768,-0.18964326812428078,-0.14696526275607602,-0.30059954517262766,0.25474083438685224,-0.0874751491053678,-0.30578758949880647,-0.29145728643216084,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Collectibles y/y,,,,,,,,,,,,,,,,,0.9295929592959296,0.555750658472344,0.3083730428863172,0.2239263803680982,0.2594070695553021,0.2595936794582392,0.07856399583766915,0.12137486573576761,-0.21684019918515163,-0.2392473118279569,-0.1432706222865413,-0.25415070242656446,-0.20924855491329475,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,0.11757309022320017,0.03727144866385368,-0.21369491525423734,0.4212795309536128,0.17034700315457418,-0.21832884097035044,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,0.3433696661615915,0.36957809907561023,0.3466760535049783,0.33023008849557456,0.30445176713833433,0.3104145601617796,0.30663885992353146,0.31557964610459743,0.30445176713833433,0.3104145601617796,0.30663885992353146,0.27223007155553536,0.2765915768854064,0.2677282377919321,0.27500746491489997,0.21139437349795012,0.2585369674185464,0.2711678215311814,0.24571957427117083,0.16779803895470075,0.2165554265815438,0.2484154929577465,0.24578556979096436,0.21999999999999992,0.2322366825640611,0.2628458498023715,0.2613372901789854,0.23371989295272091,0.27727375822181904,0,0,0,,,,,,,,0.2820476081277372,0.2766440429412096,0.25566911691943095,0.2577971329894048,0.2681926420552903,0.2678573313488922,0.2805612271608816,0.29836722292864626,0.2943857514243045,0.2986123063683304,0.3116576603515666,0.3495974627958038,0.2907301891869756,0.2785777219895477,0.29519022579647386,0.24745569570513562,0.22423345034688144,0.22980631664192203,0.24544833864360505,0.24000000000000002,0.24999999999999994,0.25,0.26,0.26,0.27,0.27,0.2800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Margin,0.061146683611124686,0.039642095283242376,0.05551644372925668,0.12053097345132663,0.02125734961555858,-0.04137823753597261,-0.003267292318387201,0.1683850821893595,0.02125734961555858,-0.04137823753597261,-0.003267292318387201,0.017410327697005634,-0.10852105778648387,-0.10987261146496809,-0.09336120234895992,0.01003722727486918,-0.05083020050125303,-0.04943383471353716,-0.07997840505938597,-0.07169794578286523,-0.11201392919326754,-0.09242957746478869,-0.07805124747134173,0.018014732303269786,-0.0409021097728559,-0.0025777625021481555,-0.003987758508763837,0.039250669045495186,-0.040485370832388325,0,0,0,,,,,,,,0.08800326542968888,0.08466581436011196,0.08904629035227427,0.09365496780169028,0.08807317296976405,0.08853985243357931,0.08768127323176798,0.09177760023405772,0.08503788926378675,0.08335843373493972,0.08643926610991257,0.0879076197446531,0.06730937978963612,0.0378863770774745,-0.0021651716671822188,-0.05004125898856556,-0.06019265642936759,-0.05380145768659732,-0.0056326809285387955,-0.0061091181944775905,0.008764329690561524,0.013541273657085094,0.018858922640393735,0.014083851801589596,0.019214225104591382,0.014248170156167417,0.019183777485992613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tax Rate,0.22541966426858515,0.10463378176382686,0.12952898550724656,0.299559471365641,0.09118541033434645,0.7537593984962407,-6.723404255319165,0.2658035922556568,0.09118541033434645,0.7537593984962407,-6.723404255319165,1.1282722513088985,-0.45487364620938614,-0.1729468599033817,0.5746268656716417,-3.2723004694835858,-0.02003081664098617,-0.052991452991453095,-0.01639344262295084,0.12500000000000006,-0.022668393782383424,-0.011428571428571432,-0.02267818574514043,0,0.0019762845849802357,-0.06666666666666615,0.2790697674418575,0,-0.09523809523809518,,,,,,,,,,,,0,0,0,0,0,0,0,0.2808900523560208,0.2813439665315729,0.2828077314343848,0.21529060679266754,0.29519230769230836,0.15867579908675838,-0.9126213592232959,0.19281729428172875,0.03627476202727042,-0.02180241878599005,-0.08799999999999554,0,0,0.1,0.1,0.2,0.2,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
