Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.39647132268836427,0.5062111801242237,0.41165473715200473,0.5234691588785048,0.2457245724572461,0.24711946634323811,0.2273329231795953,0.2521838990204355,0.20628131021194607,0.20605883783126688,0.19001062022090065,0.11303017832647466,0.11101254272753414,,,,,0.24152172493037471,0.15330254671204147,0.3575946086054951,0.40020314647930344,0.19066163564823468,0.4073577982491905,0.23248383594032762,0.15184947244101155,0.026804968812580876,0.11879289748148159,0.08636684525130689,0.07589726472614822,0.03600548414797444,0.036086607119226954,0.03616834290808746,,Discount,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adcetris y/y,,,,,-0.015042117930204602,-0.009445460085313773,0.08597014925373148,0.13165952235150025,0.07697006719609045,0.11350353737311591,0.10995052226498081,0.18554653679653677,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,,,,,0.17568524056411805,0.15726616647727698,0.5505914254686859,0.3162697655498077,0.049172179891769474,0.0712875797145458,0.1280830557720929,0.10000000000000009,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,,Maturity,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,0.9500236725561751,0.8656329923273658,0.822459381382597,0.7689719626168224,0.8145814581458145,0.8055336567616738,0.7964264486595272,0.7971918493943975,0.7911849710982659,0.7869535618769755,0.7746389124893799,0.7881207133058985,0.79,0.79,0.79,0.79,0.79,,,,1.0,1.0,0.8877801969932607,0.8651397586680922,0.9520547870489455,0.8156061182140093,0.7971680671612448,0.7850117470083158,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,ROIC,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,22199.019174395693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,1850,1763.7020000000002,1937.9269200000003,2146.8717500000002,2358.20283,2586.0095770000003,2793.0865709000004,,,,,,,,,,,1937.9269200000003,3042.6627668000006,4219.169098483201,5584.2635957555985,7110.409621931718,8794.890551442819,10576.468196986385,12459.735666997254,14449.49232373212,,,119.56497461195261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A/R,,,,,,,,,,,,486.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inventories,,,,,,,,,,,,364.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepaids,,,,,,,,,,,,144.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,,,,230.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
