Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86
,EPS,,,,,0,-0.0938808288956378,-0.083564365451456,-0.10288946972574847,-0.08791727585776851,-0.08540225325321171,-0.10337316197514006,-0.10507845720286654,-0.1146679764243615,,,,,,,,,,,-0.3718372422746954,-0.38203782796889313,-0.28482039635306505,-0.17416516686993488,-0.10890183004434623,0.020196668955744502,0.1891876047802014,0.3633063775196604,0.5428261862338379,0.7281480530575333,0.9198464142355471,1.1187272133373312,1.3259015197906427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,476.19971,479.735858,484.034071,486.959454,489.994709,494.190708,497.701715,501.748897,509,,,,,,,,,,,481.73227325,495.90900724999995,495.90900724999995,495.90900724999995,495.90900724999995,495.90900724999995,495.90900724999995,495.90900724999995,495.90900724999995,495.90900724999995,495.90900724999995,495.90900724999995,495.90900724999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.689898897895983,0.7124828753324199,0.5490164200942937,1.2067976863196148,0.29356344389707556,0.3646930381831699,0.622013586749103,0.47294316705441575,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,,,,,0.7834352717995683,0.44424525576895735,0.3999999999999999,0.3230081916099774,0.3581036519429617,0.32485928346685866,0.26590239415854433,0.22854244436557658,0.20312859171742925,0.18505401120008091,0.17184317845574482,0.16204798492606765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,0,0.23520025787734714,0.22120571673489897,0.2582387358103715,0.26058835577306577,0.2556399469181467,0.26711701396839943,0.2780992234945766,0.3,0.3,0.3,0.3,0.32,0.32000000000000006,0.32,0.32,,1.0,1.0,0.21018267155099102,0.26626609874969615,0.31,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,,82.44999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,DR,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,483.936,,,,,,,,,,,,,,,,,,,,,,,,,,Mat,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,,,,36.44,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,3417.6374494003067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
