Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,Aurora,Series A,2021-10-15 00:00:00,$12M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Autograph,Series B,,,,,,,,,,,,,,,,,a16z,,,,,,
,Ava Labs,ICO,2021-09-16 00:00:00,$230M,,,,,,,,,,,,,,,,,Dragonfly,,,,Polychain
,Ava Labs,Series A,2019-02-01 00:00:00,$6M,,,,,,,,,,,,,,,,,,,,,Polychain
,Ava Labs,ICO,2020-06-25 00:00:00,$12M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Axelar,Series B,2022-02-15 00:00:00,$35M,,,,,,,,,,,,,,,,,Dragonfly,,,,Polychain
,Axelar,Series A,2021-07-15 00:00:00,$25M,,,,,,,,,,,,,,,,,Dragonfly,,,,Polychain
,AZA Finance,Series A,2017-08-30 00:00:00,$6.7M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,AZA Finance,Seed,2015-02-09 00:00:00,$1.1M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Aztec Protocol,Series A,2021-12-16 00:00:00,$17M,,,,,,,,,,,,,,,,,,Paradigm,,,
,Babel Finance,Series B,2022-05-25 00:00:00,$80M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Babel Finance,Series A,2021-05-10 00:00:00,$40M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Babel Finance,,2020-03-05 00:00:00,—,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Badger DAO,,2021-03-03 00:00:00,$21M,,,,,,,,,,,,,,,,,,,,,Polychain
,Bakkt,Series B,2020-03-16 00:00:00,$300M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Bakkt,Series A,2018-12-31 00:00:00,$182.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Balancer Labs,Series A,2021-02-10 00:00:00,$5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Basis,ICO,2018-04-18 00:00:00,$133M,,,,,,,,,Pantera Capital,,,,,,,,,,,,Polychain
,BBS Network,Seed,2021-12-06 00:00:00,$1.5M,,,,,,,,,,,,,,,,,,,,,Polychain
,BCB Group,Series A,2022-01-25 00:00:00,£44M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,BCB Group,,2021-03-02 00:00:00,$4.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,BENQI Finance,,2021-04-01 00:00:00,$6M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,BetDEX,Seed,2021-11-11 00:00:00,$21M,,,,,,,,,,,,,,,,,,Paradigm,,,
,BGOGO,,2018-09-18 00:00:00,$4.9M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Bitaccess,Seed,2014-07-16 00:00:00,$1M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,BitClout,ICO,2021-09-21 00:00:00,$200M,,,,,,,,,Pantera Capital,,,,,,,,,,,,Polychain
,BitClout,,2021-03-23 00:00:00,—,,,,,,,,,Pantera Capital,,,,,,,,,,,,Polychain
,BitDAO,,2021-06-16 00:00:00,$230M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,BitGo,,2022-02-08 00:00:00,—,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Bitmark,Series B,,,,,,,,,,,,,,,,,,,,,Digital Currency Group,,
,BitOasis,Series B,2021-10-06 00:00:00,$30M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,BitOasis,,2018-01-16 00:00:00,—,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,BitPesa,Series A,2017-01-31 00:00:00,$2.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,BitPesa,,2015-02-10 00:00:00,—,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Bitso,Series C,2021-05-05 00:00:00,$250M,,,,,,,,,Pantera Capital,,,,,,,,,Paradigm,,,
,Bitso,Series B,2020-12-09 00:00:00,$62M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Bitstamp,,2014-03-17 00:00:00,$10M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Blast Royale,ICO,2022-04-13 00:00:00,$5M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,BlockFi,Series D,2021-02-19 00:00:00,$350M,,,,,,,,,,,,,,,,,,Paradigm,,,
,Blockfolio,Series A,2019-08-05 00:00:00,$2.6M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Blockfolio,Series A,2018-10-10 00:00:00,$11.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,BloXroute Labs,Series B,2019-05-09 00:00:00,$10M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,BloXroute Labs,Series B,2022-04-12 00:00:00,$70M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Blur,Seed,2022-03-28 00:00:00,$11M,,,,,,,,,,,,,,,,,,Paradigm,,,
,Bounce,,2020-03-15 00:00:00,—,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Braintrust,,2020-10-01 00:00:00,$18M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Branch,Seed,2022-05-11 00:00:00,$12.5M,,,,,,,,,,,,,,,,,Dragonfly,,,,Polychain
,Brave,Seed,2016-08-01 00:00:00,$4.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,BreederDAO,Series A,,,,,,,,,,,,,,,,,a16z,,,,,,
,BTCjam,Series A,2014-12-24 00:00:00,$6.1M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Burnt Finance,Series A,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,Buxx,ICO,2018-08-31 00:00:00,$20M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Capsule Social,Seed,2021-04-12 00:00:00,$2.5M,,,,,,,,,,,,,,,,,,,,,Polychain
,Cega,Seed,2022-03-08 00:00:00,$4.3M,,,,,,,,,Pantera Capital,,,,,,,,Dragonfly,,,,
,Cega Finance,Seed,2022-03-08 00:00:00,$4.3M,,,,,,,,,Pantera Capital,,,,,,,,Dragonfly,,,,
,Celo,,2019-04-02 00:00:00,$30M,,,,,,,,,,,,,,,,,,,,,Polychain
,Celo,,2018-06-25 00:00:00,$6.5M,,,,,,,,,,,,,,,,,,,,,Polychain
,Chain,Series C,2015-09-09 00:00:00,$30M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Chain,Series B,2014-08-20 00:00:00,$9.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Chainalysis,Series D,2021-03-26 00:00:00,$100M,,,,,,,,,,,,,,,,,,Paradigm,,,
,Chainflip,,2022-05-11 00:00:00,$10M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,ChangeCoin,Seed,2014-12-02 00:00:00,$3.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,ChangeTip,Seed,2014-12-02 00:00:00,$3.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Chronicled,Seed,2016-03-09 00:00:00,$3.4M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Chronicled,,2015-08-27 00:00:00,$1.4M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Circle,Series E,2018-05-15 00:00:00,$110M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Circle,Series C,2015-04-30 00:00:00,$50M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Circle,Series B,2014-03-26 00:00:00,$17M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Citadel Securities,,2022-01-11 00:00:00,$1.2B,,,,,,,,,,,,,,,,,,Paradigm,,,
,Civic,Seed,2016-01-27 00:00:00,$2.8M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Codex Protocol,Seed,2018-02-28 00:00:00,$5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,CoFiX,Seed,2020-10-07 00:00:00,$500K,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Coin Metrics,Series A,2020-03-26 00:00:00,$6M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Coinbase,,2019-01-01 00:00:00,—,,,,,,,,,,,,,,,,,,Paradigm,,,
,Coinbase,Series E,2018-10-30 00:00:00,$300M,,,,,,,,,,,,,,,,,,,,,Polychain
,Coinbooks,Seed,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,CoinDCX,Series D,2022-04-19 00:00:00,$135M,,,,,,,,,Pantera Capital,,,,,,,,,,,,Polychain
,CoinDCX,Series C,2021-08-01 00:00:00,$90M,,,,,,,,,,,,,,,,,,,,,Polychain
,CoinDCX,Series B,2020-12-22 00:00:00,?1B,,,,,,,,,,,,,,,,,,,,,Polychain
,CoinDCX,Series A,2020-05-26 00:00:00,$2.5M,,,,,,,,,,,,,,,,,,,,,Polychain
,CoinDCX,Series A,2020-03-23 00:00:00,$3M,,,,,,,,,,,,,,,,,,,,,Polychain
,CoinFLEX,,2019-08-21 00:00:00,$10M,,,,,,,,,,,,,,,,,,,,,Polychain
,CoinFLEX,Seed,2019-03-13 00:00:00,—,,,,,,,,,,,,,,,,,,,,,Polychain
,CoinFLEX,,2019-08-21 00:00:00,$10M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,CoinList,,2019-10-30 00:00:00,$10M,,,,,,,,,,,,,,,,,,,,,Polychain
,CoinList,Series A,2018-04-05 00:00:00,$9.2M,,,,,,,,,,,,,,,,,,,,,Polychain
,Coinme,,2020-05-07 00:00:00,$5.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Coins.ph,Series A,2016-10-23 00:00:00,$5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Coinsuper,Series A,2018-06-26 00:00:00,—,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,CoinSwitch Kuber,Series C,2021-10-06 00:00:00,$260M,,,,,,,,,,,,,,,,,,Paradigm,,,
