Main,Unnamed: 1,https://arxiv.org/pdf/2309.09493,Unnamed: 3
,,Link,https://arxiv.org/abs/2010.05646
,,,
,2020-06-30 00:00:00,On the Comparison of Popular End-to-End Models for Large Scale Speech Recognition,
,,Authors,Microsoft: Li et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2005.14327.pdf
,,,
,2020-06-08 00:00:00,FastSpeech 2: Fast and High-Quality End-to-End Text to Speech,
,,Authors,"Microsoft: Yi Ren, Chenxu Hu, Xu Tan, Tao Qin, Sheng Zhao, Zhou Zhao, Tie-Yan Liu"
,,Citations,
,,Link,https://arxiv.org/abs/2006.04558
,,,
,2020-05-22 00:00:00,Glow-TTS: A Generative Flow for Text-to-Speech via Monotonic Alignment Search,
,,Authors,"Kakao: Jaehyeon Kim, Sungwon Kim, Jungil Kong, Sungroh Yoon"
,,Citations,
,,Link,https://arxiv.org/abs/2005.11129
,,,
,2020-05-18 00:00:00,Effectiveness of Self-Supervised Pre-Training for Speech Recognition,
,,Authors,Facebook: Baevski et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1911.03912.pdf
,,,
,2020-05-16 00:00:00,ContextNet: Improving Convolutional Neural Networks for ASR with Global Context,
,,Authors,Google: Han et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2005.03191.pdf
,,,
,2020-05-16 00:00:00,Conformer: Convolution-augmented Transformer for Speech Recognition,
,,Authors,Google: Gulati et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2005.08100v1.pdf
,,,
,2020-05-12 00:00:00,Flowtron: an Autoregressive Flow-based Generative Network for Text-to-Speech Synthesis,
,,Authors,"Nvidia: Rafael Valle, Kevin Shih, Ryan Prenger, Bryan Catanzaro"
,,Citations,
,,Link,https://arxiv.org/abs/2005.05957
,,,
,2020-05-12 00:00:00,AdaDurIAN: Few-shot Adaptation for Neural Text-to-Speech with DurIAN,
,,Authors,Tencent: Zewang Zhang et al.
,,Citations,
,,Link,https://arxiv.org/abs/2005.05642
,,,
,2020-02-16 00:00:00,VQ-wav2vec: Self-supervised learning of discrete speech representations,
,,Authors,Facebook: Baevski et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1910.05453.pdf
,,,
,2020-02-04 00:00:00,Boffin TTS: Few-Shot Speaker Adaptation by Bayesian Optimization,
,,Authors,Amazon: Henry Moss et al.
,,Citations,
,,Link,https://arxiv.org/abs/2002.01953
,,,
,2020,Parallel WaveGAN: a fast waveform generation model based on generative adversarial networks with multi-resolution spectrogram,
,,Authors,Yamamoto et al.
,,Citations,
,,Link,
,,,
,2019-12-03 00:00:00,SpecAugment: A Simple Data Augmentation Method for ASR,
,,Authors,Google: Park et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1904.08779.pdf
,,,
,2019-10-23 00:00:00,Zero-Shot Multi-Speaker Text-to--Speech with State-of-the-art Neural Speaker Embeddings,
,,Authors,Erica Cooper et al.
,,Citations,
,,Link,https://arxiv.org/abs/1910.10838
,,,
,2019-10-08 00:00:00,MelGAN: Generative Adversarial Networks for Conditional Waveform Synthesis,
,,Authors,"Mila, Lyrebird: Kumar et al."
,,Citations,881
,,Link,https://arxiv.org/abs/1910.06711
,,,
,2019-05-22 00:00:00,"FastSpeech: Fast, Robust and Controllable Text to Speech",
,,Authors,"Microsoft: Yi Ren, Yangjun Ruan, Xu Tan, Tao Qin, Sheng Zhao, Zhou Zhao, Tie-Yan Liu"
,,Citations,
,,Link,https://arxiv.org/abs/1905.09263
,,,
,2019-05-02 00:00:00,"High quality, lightweight and adaptable TTS using LPCNet",
,,Authors,IBM: Zvi Kons et al.
,,Citations,
,,Link,https://arxiv.org/abs/1905.00590
,,,
,2019-01-02 00:00:00,Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,
,,Authors,Google: Ye Jia et al.
,,Citations,
,,Link,https://arxiv.org/abs/1806.04558
,,,
,2018-11-24 00:00:00,Representation Mixing for TTS Synthesis,
,,Authors,"Mila: Kyle Kastner, et al."
,,Citations,
,,Link,https://arxiv.org/abs/1811.07240
,,,
,2018-11-01 00:00:00,An Improved Hybrid CTC-Attention Model for Speech Recognition,
,,Authors,Cloudwalk: Yuan et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1810.12020.pdf
,,,
,2018-10-31 00:00:00,WaveGlow: A Flow-based Generative Network for Speech Synthesis,
,,Authors,"Ryan Prenger, Rafael Valle, Bryan Catanzaro"
,,Citations,
,,Link,https://arxiv.org/abs/1811.00002
,,,
,2018-10-31 00:00:00,Improving the performance of Online Neural Transducer Models,
,,Authors,Google: Tara Sainath et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1712.01807.pdf
,,,
,2018-10-31 00:00:00,Exploring Speech Enhancement With Generative Adversarial Networks for Robust Speech Recognition,
,,Authors,Kim et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1609.06773.pdf
,,,
,2018-10-12 00:00:00,Neural Voice Cloning with a Few Samples,
,,Authors,Baidu: Sercan Arik et al
,,Citations,
,,Link,https://arxiv.org/abs/1802.06006
,,,
,2018-09-27 00:00:00,Sample Efficient Adaptive Text-to-Speech,
,,Authors,Google: Chen et al.
,,Citations,
,,Link,https://arxiv.org/abs/1809.10460
,,,
,2018-09-21 00:00:00,Deep Learning for Environmentally Robust Speech Recognition: An Overview of Recent Developments,
,,Authors,Zhang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1705.10874.pdf
,,,
,2018-09-19 00:00:00,Neural Speech Synthesis with Transformer Network,
,,Authors,"Microsoft: Naihan Li, Shujie Liu, Yanqing Liu, Sheng Zhao, Ming Liu, Ming Zhou"
,,Citations,
,,Link,https://arxiv.org/abs/1809.08895
,,,
,2018-09-06 00:00:00,Hybrid CTC-Attention based End-to-End Speech Recognition using Subword Units,
,,Authors,Xiao et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1807.04978.pdf
,,,
,2018-06-12 00:00:00,Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,
,,Authors,Google: Ye Jia et al.
,,Citations,
,,Link,https://arxiv.org/abs/1806.04558
,,,
,2018-04-04 00:00:00,Learning Filterbanks from Raw Speech for Phone Recognition,
,,Authors,Facebook: Neil Zeghidour et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1711.01161.pdf
,,,
,2018-03-24 00:00:00,Towards End-to-End Prosody Transfer for Expressive Speech Synthesis with Tacotron,
,,Authors,Google: RJ Skerry-Ryan et al
,,Citations,
,,Link,https://arxiv.org/abs/1803.09047
,,,
,2018-03-23 00:00:00,"Style Tokens: Unsupervised Style Modeling, Control and Transfer in End-to-End Speech Synthesis",
,,Authors,Google: Yuxuan Wang et al.
,,Citations,
,,Link,https://arxiv.org/abs/1803.09017
,,,
,2018-02-23 00:00:00,State-of-the-art Speech Recognition with Sequence-to-Sequence Models,
,,Authors,Google: Chung-Cheng Chiu et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1712.01769.pdf
,,,
,2018-02-23 00:00:00,Efficient Neural Audio Synthesis,
,,Authors,"Google: Nal Kalchbrenner, Erich Elsen, Karen Simonyan, Seb Noury, Norman Casagrande, Edward Lockhart, Florian Stimberg, Aaron van den Oord, Sander Dieleman, Koray Kavukcuoglu"
,,Citations,908
,,Link,https://arxiv.org/abs/1802.08435
,,,
