Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115
,Losses,,,,,,,,,,169,268,350,369,448,367,388,442,398,446,396,321,335,352,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,,3545,3350,3616,3297,3314,3491,3671,3315,3348,3369,3672,3461,3608,3654,3935,3625,3788.4,3836.7000000000003,4131.75,,,,,,,,,,15381.85,15818.689530000001,16293.250215900001,16782.047722377003,17285.50915404831,17804.07442866976,18338.196661529855,18888.34256137575,19454.992838217022,20038.642623363536,20639.801902064442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer Service,,,,,,,,,,521,504,532,534,536,509,541,488,492,474,465,454,436,427,451,454,436,427,451,,,,,,,,,,1768.0,1785.68,1803.5368,1821.5721680000001,1839.7878896800003,1858.1857685768002,1876.7676262625682,1895.5353025251939,1914.4906555504458,1933.6355621059504,1952.97191772701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,,,,,,,,,,628,549,666,594,595,544,524,436,465,442,466,421,446,508,626,421,446,508,626,,,,,,,,,,2001.0,2021.01,2041.2201,2061.632301,2082.24862401,2103.0711102501,2124.101821352601,2145.3428395661267,2166.796267961788,2188.464230641406,2210.3488729478204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,,,,,,,,746,755,796,815,815,801,822,721,743,739,770,742,718,746,773,742,718,746,773,,,,,,,,,,2979.0,3008.79,3038.8779,3069.266679,3099.95934579,3130.9589392479,3162.2685286403794,3193.891213926783,3225.830126066051,3258.0884273267116,3290.6693115999788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,,,,,,,,522,498,570,607,514,463,515,507,491,507,554,464,570,519,594,464,570,519,594,,,,,,,,,,2147.0,2168.47,2190.1546999999996,2212.0562469999995,2234.1768094699996,2256.5185775646996,2279.0837633403466,2301.87460097375,2324.893346983488,2348.1422804533227,2371.623703257856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,,,,,,,2417,2306,2564,2550,2460,2317,2402,2152,2191,2162,2255,2081,2170,2200,2444,2081,2170,2200,2444,,,,,,,,,,8895.0,8983.949999999999,9073.789499999999,9164.527395000001,9256.172668950001,9348.7343956395,9442.221739595894,9536.643956991853,9632.010396561773,9728.33050052739,9825.613805532665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,,,,,,1128,1044,1052,747,854,1174,1269,1163,1157,1207,1417,1380,1438,1454,1491,1544,1618.4,1636.7000000000003,1687.75,,,,,,,,,,6486.85,6834.739530000003,7219.4607159000025,7617.520327377002,8029.336485098311,8455.34003303026,8895.974921933961,9351.698604383897,9822.98244165525,10310.312122836145,10814.188096531778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Expense,,,,,,,,,,229,122,-344,-82,-715,460,-134,75,170,73,65,41,74,-80,-31,-31,-31,-31,-31,,,,,,,,,,-124.0,318.5184,490.19659032000004,675.22836566928,874.2543343023908,1087.9405139680077,1316.979247095966,1562.0901471526843,1824.0210771895622,2103.5491616418376,2401.481832469309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax,,,,,,,,,,1357,1166,708,665,139,1634,1135,1238,1327,1280,1482,1421,1512,1374,1460,1513,1587.4,1605.7000000000003,1656.75,,,,,,,,,,6362.85,7153.2579300000025,7709.657306220002,8292.748693046282,8903.590819400702,9543.280546998267,10212.954169029927,10913.788751536582,11647.003518844811,12413.861284477982,13215.669929001087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,,172,78,0,120,390,248,189,279,274,221,391,321,271,301,289,302.6,317.48,321.1400000000001,331.35,,,,,,,,,,1272.5700000000002,1430.6515860000006,1541.9314612440005,1658.5497386092566,1780.7181638801405,1908.6561093996534,2042.5908338059853,2182.7577503073167,2329.400703768962,2482.7722568955965,2643.1339858002175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,,,,,,1185,1088,708,545,-251,1386,946,959,1053,1059,1091,1100,1241,1073,1171,1210.4,1269.92,1284.5600000000002,1325.4,,,,,,,,,,5090.280000000001,5722.606344000002,6167.725844976002,6634.198954437025,7122.872655520562,7634.624437598613,8170.363335223941,8731.031001229265,9317.602815075848,9931.089027582386,10572.53594320087,10678.261302632878,10785.043915659207,10892.8943548158,11001.82329836396,11111.841531347598,11222.959946661074,11335.189546127685,11448.541441588963,11563.026856004852,11678.657124564901,11795.44369581055,11913.398132768656,12032.532114096342,12152.857435237305,12274.386009589678,12397.129869685576,12521.10116838243,12646.312180066256,12772.77530186692,12900.503054885588,13029.508085434445,13159.80316628879,13291.401197951678,13424.315209931196,13558.558362030508,13694.143945650812,13831.08538510732,13969.396238958394,14109.090201347977,14250.181103361458,14392.682914395073,14536.609743539024,14681.975840974414,14828.795599384157,14977.083555377998,15126.854390931778,15278.122934841096,15430.904164189507,15585.213205831402,15741.065337889717,15898.475991268615,16057.460751181301,16218.035358693114,16380.215712280045,16544.017869402847,16709.458048096876,16876.552628577843,17045.31815486362,17215.771336412257,17387.92904977638,17561.808340274143,17737.426423676883,17914.800687913652,18093.948694792787,18274.888181740716,18457.637063558122,18642.213434193705,18828.635568535643,19016.921924221,19207.091143463207,19399.16205489784,19593.153675446818,19789.085212201288,19986.976064323302,20186.845824966535,20388.7142832162
,EPS,,,,,,,,,,0.9991568296795953,0.9165964616680707,0.5984784446322908,0.46501706484641636,-0.21675302245250433,1.1979256698357823,0.8269230769230769,0.845679012345679,0.9452423698384201,0.9644808743169399,1.0064575645756457,1.0261194029850746,1.1852913085004775,1.0478515625,1.1548323471400395,1.1936883629191322,1.2523865877712033,1.2668244575936884,1.3071005917159764,,,,,,,,,,5.0200000000000005,5.643596000000001,6.082569866840239,6.542602519168664,7.024529246075505,7.529215421694885,8.057557529806648,8.61048422211959,9.188957411317405,9.79397339998263,10.426564046549181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,,,,,,1186,1187,1183,1172,1158,1157,1144,1134,1114,1098,1084,1072,1047,1024,1014,1014,1014,1014,1014,,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,,,0.09105482526450781,0.10740860562924626,0.06721595836947092,0.08591701372821214,0.07067293564501909,0.08355243938066015,0.08709196803467423,0.09360795454545445,0.082063949499108,0.057832299811269916,0.042362322452030865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPV y/y,,,,,,,,,,,,,,0.1,0.08732535252169993,0.052566783494831126,0.09761255306039684,0.10814588967924399,0.15054025099933832,0.14677456362730767,0.1392126552856352,0.10696397176380601,0.09012099530308149,0.06833043783794346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,,0.5682911189483809,0.5418958265933355,0.5226944203527031,0.5085608514576585,0.48692330296796943,0.5099328074788197,0.4972233509413517,0.4708806818181818,0.45944833264717994,0.4541655432731194,0.45751308248193373,0.44953890115599426,0.45757767913760306,0.4656556645851918,0.4703562036815683,,,,,,,,,,,,,,0.4607158207497862,0.46,0.46,0.4600000000000001,0.46,0.46,0.4600000000000001,0.45999999999999996,0.46,0.46,0.4600000000000001,,ROIC,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Margin,,,,,,,,,,0.18082718820134658,0.1688773859592365,0.15206707140792136,0.11522443313280889,0.1254775198354393,0.1714869997078586,0.1718813490451036,0.16519886363636363,0.15877590229175242,0.162712321380426,0.17655120857214054,0.17924405766982726,0.1823715916296766,0.18529374283165542,0.1782213722208941,,,,,,,,,,,,,,,,,,,,,,,,,,Maturity,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tax Rate,,,,,,,,,,0.12675018422991893,0.06689536878216124,0,0.18045112781954886,2.805755395683453,0.15177478580171358,0.16651982378854627,0.22536348949919224,0.20648078372268275,0.17265625,0.26383265856950067,0.2258972554539057,0.17923280423280424,0.2190684133915575,0.19794520547945205,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000000000000004,0.19999999999999998,0.2,0.2,,Discount,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,121237.41169202272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,,,,,,5469,0,0,4762,7657,8044,8542,6225,5527,,,,,,,,,,,,,5527.0,10617.28,16339.886344000002,22507.612188976003,29141.81114341303,36264.68379893359,43899.308236532204,52069.671571756146,60800.70257298541,70118.30538806126,80049.39441564365,90621.93035884452,,NPV,107274.13054769285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,15886,,,15402,17333,17727,18269,16201,15406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,,,,,,,,963,,,988,1069,1108,987,1038,984,,,,,,,,,,,,,,2545.14,2861.303172,3083.862922488,3317.099477218515,7122.872655520562,7634.624437598613,8170.363335223941,8731.031001229265,9317.602815075848,9931.089027582386,10572.53594320087,10678.261302632878,10785.043915659207,10892.8943548158,11001.82329836396,11111.841531347598,11222.959946661074,11335.189546127685,11448.541441588963,11563.026856004852,11678.657124564901,11795.44369581055,11913.398132768656,12032.532114096342,12152.857435237305,12274.386009589678,12397.129869685576,12521.10116838243,12646.312180066256,12772.77530186692,12900.503054885588,13029.508085434445,13159.80316628879,13291.401197951678,13424.315209931196,13558.558362030508,13694.143945650812,13831.08538510732,13969.396238958394,14109.090201347977,14250.181103361458,14392.682914395073,14536.609743539024,14681.975840974414,14828.795599384157,14977.083555377998,15126.854390931778,15278.122934841096,15430.904164189507,15585.213205831402,15741.065337889717,15898.475991268615,16057.460751181301,16218.035358693114,16380.215712280045,16544.017869402847,16709.458048096876,16876.552628577843,17045.31815486362,17215.771336412257,17387.92904977638,17561.808340274143,17737.426423676883,17914.800687913652,18093.948694792787,18274.888181740716,18457.637063558122,18642.213434193705,18828.635568535643,19016.921924221,19207.091143463207,19399.16205489784,19593.153675446818,19789.085212201288,19986.976064323302,20186.845824966535,20388.7142832162
,Loans,,,,,,,,,,,,,,,,7431,,,7231,5996,5509,5688,6474,6963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Funds,,,,,,,,,,,,,,,,36357,,,34641,38935,38353,38727,39182,37671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepaids,,,,,,,,,,,,,,,,1898,,,2228,2509,4418,3954,4060,4651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,,,,,,,,1730,,,1529,1488,1426,1459,1496,1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,,,,,,,,11997,,,11499,11563,11381,11219,11389,11163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,2455,,,2922,3273,3425,3713,3671,3265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,,78717,,,76440,82166,83347,84016,83511,81611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,,,,4181,,,3664,6531,8493,8986,9086,8705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Funds,,,,,,,,,,,,,,,,40107,,,38641,41935,41353,41727,41182,39671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,,,,,,,,3738,,,3755,2973,3116,2954,3093,2939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,,,10417,,,10640,9676,9683,9727,9976,9879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SE,,,,,,,,,,,,,,,,20274,,,19740,21051,20702,20622,20174,20417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,,,,,,,78717,,,76440,82166,83347,84016,83511,81611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,,,,,,,,,,,1059,1091,1100,1241,1073,1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,,,,,,,,,,,1020,1402,888,1128,1010,1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Credit Losses,,,,,,,,,,,,,,,,,,,446,396,321,335,352,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,,,,,,,,,,,,,,,270,263,265,263,255,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,,,,,,,,,,,,,,,379,388,365,298,284,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,,,,,,,,,,,-293,-229,52,-23,-21,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strategic,,,,,,,,,,,,,,,,,,,-24,-352,49,6,171,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discount on Investments,,,,,,,,,,,,,,,,,,,0,-102,-75,-122,-93,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loan Adjustments,,,,,,,,,,,,,,,,,,,15,4,37,27,28,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,9,-102,13,-55,-96,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Originations,,,,,,,,,,,,,,,,,,,-4184,-5765,-5345,-5720,-6108,-7325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repayments,,,,,,,,,,,,,,,,,,,3374,7119,5232,5943,5984,7193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,,,,,,,,,,,-71,-79,-39,121,-51,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,,,,,,,6,13,-22,11,35,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,312,-342,176,-687,-136,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,,,1259,2614,1917,1525,1614,2394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
