Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,Tremfya Royalties,,,,,,,,,,,,,,37.715,,,,35.554,,,,,,,,35.718,97.0,145.5,174.6,192.06,211.26600000000002,232.39260000000004,255.63186000000007,242.85026700000006,218.56524030000006,196.70871627000005,167.20240882950003,142.12204750507502,113.69763800406002,90.95811040324803,,,
,Trelegy,,,,,,,,,,,,,,33.649,,,,39.053,,,,,,,,0.0,90.0,108.0,109.08,110.1708,111.272508,112.38523308,113.50908541080001,114.64417626490801,115.79061802755709,116.94852420783266,118.11800944991099,119.2991895444101,120.49218143985419,121.69710325425274,,,
,Januvia,,,,,,,,,,,,,,,,,,,,,,,,,,151.158,73.0,65.7,52.56,36.792,25.7544,18.02808,12.619655999999999,8.8337592,6.183631439999999,4.328542007999999,3.0299794055999993,2.1209855839199996,1.4846899087439995,1.0392829361207996,,,
,Cabometyx,,,,,,,,,,,,,,,,,,,,,,,,,,33.722,55.0,49.5,44.550000000000004,40.095000000000006,36.0855,3.6085500000000006,0.3608550000000001,0.03608550000000001,0.0036085500000000016,0.0003608550000000002,3.608550000000002e-05,3.608550000000002e-06,3.6085500000000025e-07,3.608550000000003e-08,,,
,Farxiga,,,,,,,,,,,,,,,,,,,,,,,,,,36.378,43.84,39.456,35.510400000000004,31.959360000000004,28.763424000000004,2.8763424000000004,0.28763424000000004,0.028763424000000006,0.0028763424000000006,0.00028763424000000006,2.876342400000001e-05,2.8763424000000012e-06,2.876342400000001e-07,2.8763424000000014e-08,,,
,Evrysdi,,,,,,,,,,,,,,19.718,,,,54.538,,,,,,,,16.098,40.645,48.774,48.28626,47.8033974,47.325363426,46.852109791740006,46.3835886938226,45.919752806884375,45.460555278815534,45.005949726027374,44.5558902287671,44.110331326479425,43.66922801321463,43.23253573308248,,,
,Prevymis,,,,,,,,,,,,,,,,,,,,,,,,,,37.505,37.0,44.4,43.955999999999996,43.516439999999996,43.0812756,42.650462843999996,42.223958215559996,41.8017186334044,41.38370144707035,40.96986443259965,40.56016578827365,40.154564130390916,39.753018489087005,39.355488304196136,,,
,Trodelvy,,,,,,,,,,,,,,,,,,,,,,,,,,13.395,24.809,29.7708,35.72496,42.869952000000005,51.443942400000005,51.95838182400001,52.47796564224001,53.00274529866241,53.532772751649034,54.06810047916552,54.60878148395718,55.154869298796754,55.706417991784726,56.26348217170257,,,
,Orladeyo,,,,,,,,,,,,,,,,,,,,,,,,,,6.74,21.801,26.161199999999997,26.422811999999997,26.687040119999995,26.953910521199994,27.223449626411995,27.495684122676114,27.770640963902874,28.048347373541905,28.328830847277324,28.612119155750097,28.8982403473076,29.187222750780677,29.479094978288483,,,
,Erleada,,,,,,,,,,,,,,,,,,,,,,,,,,14.227,21.0,25.2,25.451999999999998,25.706519999999998,25.963585199999997,26.223221051999996,26.485453262519997,26.750307795145197,27.01781087309665,27.287988981827617,27.560868871645894,27.836477560362354,28.114842335965978,28.395990759325638,,,
,Crysvita,,,,,,,,,,,,,,,,,,,,,,,,,,16.741,20.0,22.0,24.200000000000003,26.620000000000005,29.282000000000007,32.21020000000001,35.43122000000001,35.78553220000001,36.14338752200001,36.50482139722001,36.869869611192215,37.238568307304135,37.610953990377176,37.98706353028095,,0.01,28732.681743132147
,Emgality,,,,,,,,,,,,,,,,,,,,,,,,,,15.481,19.0,18.81,18.6219,18.435681,18.25132419,18.068810948099998,17.888122838618997,17.70924161023281,17.53214919413048,17.356827702189175,17.183259425167282,17.01142683091561,16.841312562606454,16.67289943698039,,0.02,27003.974817446797
