Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132
,,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412,Q113,Q213,Q313,Q413,Q114,Q214,Q314,Q414,Q115,Q215,Q315,Q415,Q116,Q216,Q316,Q416,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other expenses,-115,-145,-139,20,691,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-227.0,2011.0,-379.0,712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,37118,36223,38928,43560,47798,57925,58886,73029,70356,71307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.918,400.335,467.996,643.62,651.411,519.727,554.654,650.467,722.2570000000001,669.637,630.951,590.764,679.1610000000001,665.7719999999999,1351.661,241.896,270.673,,,163208.0,149033.0,155829.0,237638.0,159383.38,135571.0476,61782.468552000006,0.0,,,,,,,2447.105,758.3568,606.6854400000001,485.3483520000001,388.2786816000001,310.62294528000007,248.49835622400008,198.79868497920006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,-19830,13624,-22056,42311,-15825,-41114,-42104,-44140,-34188,15219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.89800000000002,180.7870000000001,195.414,100.40199999999993,123.55600000000015,176.8889999999999,182.168,124.31500000000005,121.42099999999982,88.36700000000019,261.509,269.3470000000001,268.6049999999998,134.69100000000026,-378.80100000000004,668.3613276000001,739.3713280999998,,,-159289.0,-139768.0,14049.0,-145195.0,44587.73800000001,-135571.0476,-61782.468552000006,0.0,,,,,,,624.6535000000008,2753.9882160000006,3159.1349755,3631.1516045500002,4124.062237575,4649.660263290801,1855.0593397158568,589.5757935851113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest and other,-11584,-10249,-10303,-9771,-10687,-10756,-10974,-10940,-11238,-11115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.047,-1.766,-5.811,-7.639999999999999,-2.5789999999999997,0.58,-2.7,9.103,25.97,32.403999999999996,42.668,46.371,50.436,44.744,49.769,,,,,-19631.0,-32075.0,-41907.0,-43357.0,-42000.0,-42000.0,-42000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax income,-31414,3375,-32359,32540,-26512,-51870,-53078,-55080,-45426,4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.85100000000003,179.0210000000001,189.60299999999998,92.76199999999993,120.97700000000016,177.4689999999999,179.46800000000002,133.41800000000006,147.39099999999982,120.77100000000019,304.177,315.7180000000001,319.04099999999977,179.43500000000026,-329.03200000000004,668.3613276000001,739.3713280999998,,,-178920.0,-171843.0,-27858.0,-188552.0,2587.738000000012,-177571.0476,-103782.468552,0.0,,,,,,,624.6535000000008,2753.9882160000006,3159.1349755,3631.1516045500002,4124.062237575,4649.660263290801,1855.0593397158568,589.5757935851113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,331,658,-989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.252,15.787,22.177,27.73,0,32.543,67.946,35.813,52.154,30.153,74.056,62.53,69.877,66.611,54.824,66.83613276000001,73.93713280999998,,,,,,,,,,,,,,,,,124.93070000000017,550.7976432000002,631.8269951000001,726.23032091,824.812447515,929.9320526581602,371.0118679431714,117.91515871702228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net income,-31414,3706,-31701,31551,-26512,-51870,-53078,-55080,-45426,4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.59900000000003,163.2340000000001,167.426,65.03199999999993,120.97700000000016,144.9259999999999,111.52200000000002,97.60500000000006,95.23699999999982,90.6180000000002,230.12100000000004,253.18800000000007,249.16399999999976,112.82400000000025,-383.85600000000005,601.52519484,665.4341952899998,,,-178920.0,-171843.0,-27858.0,-188552.0,2587.738000000012,-177571.0476,-103782.468552,0.0,,,,,,,499.72280000000063,2203.1905728000006,2527.3079804,2904.92128364,3299.24979006,3719.7282106326406,1484.0474717726854,471.66063486808906,448.0776031246846,425.6737229684503,404.3900368200278,384.17053497902634,364.962008230075,346.7139078185713,329.37821242764267,312.90930180626054,297.2638367159475,282.4006448801501,268.28061263614256,254.8665820043354,242.12325290411863,230.01709025891267,218.51623574596704,207.59042395866868,197.21090276073522,187.35035762269845,177.9828397415635,169.0836977544853,160.62951286676105,152.59803722342298,144.96813536225181,137.7197285941392,130.83374216443224,124.29205505621061,118.07745230340008,112.17357968823006,106.56490070381855,101.23665566862762,96.17482288519624,91.36608174093642,86.7977776538896,82.45788877119512,78.33499433263536,74.41824461600359,70.69733238520341,67.16246576594324,63.804342477646074,60.61412535376377,57.58341908607558,54.7042481317718,51.969035725183204,49.37058393892404,46.902054741977835,44.556952004878944,42.329104404635
,EPS,-0.26238024839843976,0.028887451185196155,-0.2594423393267806,0.27127810498258886,-0.2147294418751569,-0.413867390090162,-0.420386504039284,-0.43551141754696693,-0.35478252719874415,0.03153866252708913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4276086209702209,0.7357290629070574,0.7533228346456692,0.2926100572333606,0.54496844438238,0.6500381251401656,0.49862068040471974,0.4353964536634328,0.4235767657000526,0.40169511811302944,1.0198183905091538,1.1194736632665245,1.1018861249309,0.49654298276112585,-1.7593949810931593,2.7570766349948435,3.0500020409762794,,,-1.7380492116996784,-1.6693024294998202,-0.22904265465188936,-1.4918504921353293,0.019905676923077015,-1.3659311353846153,-0.7983266811692308,0.0,,,,,,,2.2318369497982444,9.839779429360025,11.465041918742855,13.178071111978081,14.966928224337225,16.874413483426668,6.7323280760523945,2.1396715367185446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,119727,128291,122189,116305,123467,125330,126260,126472,128039,130126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.228,221.867,222.25,222.248,221.989,222.95,223.661,224.175,224.84,225.589,225.649,226.167,226.125,227.219,218.175,218.175,218.175,,,89785.0,102943.0,121628.0,126388.0,130000.0,130000.0,130000.0,175000.0,,,,,,,223.90650000000002,223.90650000000002,220.43599999999998,220.43599999999998,220.43599999999998,220.43599999999998,220.43599999999998,220.43599999999998,,,NPV,16235.154656988063,84.29553983431026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discount,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19623581144620617,0.212523854093974,0.12316159560277828,0.05824775992400899,0.10315149233625243,0.10288379578170748,0.22167093039773622,0.11019272369953725,0.12784766365562605,0.0578095225140447,0.09338787567697793,0.07083648696698663,0.0738901814521511,,,,,,,,,,,,,,,,,,0.14343136545402246,0.07216699906909141,0.09312168461528691,0.0961595935389612,0.09927048895891022,-0.5759198401605072,-0.6252185142884468,,,ROIC,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
