Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,Collaboration,,,,,,,22.495,,,,22.495,22.494,22.005,22.25,22.495,31.71,53.98,2.383,37.401,20.255,133.333,97.968,29.313,29.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,,,189.406,,,,230.269,258.427,253.5,261.238,331.817,396.781,413.464,362.931,467.201,658.455,745.333,611.091,399.313,332.51300000000003,,,,,,,,5.4,155.0,301.0,381.0,456.0,612.0,844.0,1144.876,1788.032,1798.3229999999999,950.8722799999999,991.8635572,1032.944921628,1074.11547241172,1115.3743176876028,1156.7205745107267,1148.1533687656197,1139.6718350779634,1131.2751167271836,1122.9623655599119,,,
,COGS,,,,,,,23.444,,,,39.952,30.799,35.017,34.124,37.026,44.176,50.559,44.545,91.691,132.304,137.564,152.558,150.775,59.852340000000005,,,,,,,,,,,,,,,150.34300000000002,319.09900000000005,500.74933999999996,142.63084200000003,148.77953358000002,154.9417382442,161.117320861758,167.30614765314044,173.50808617660903,172.22300531484302,170.9507752616945,169.69126750907753,168.44435483398684,,,
,Gross Profit,,,,,,,165.96200000000002,,,,190.317,227.62800000000001,218.483,227.114,294.791,352.605,362.905,318.38599999999997,375.51,526.1510000000001,607.769,458.533,248.53799999999998,272.66066,,,,,,,,,,,,,,,994.5329999999999,1468.933,1297.57366,808.2414379999999,843.0840236199999,878.0031833838,912.998151549962,948.0681700344624,983.2124883341177,975.9303634507767,968.7210598162688,961.583849218106,954.518010725925,,,
,R&D,,,,,,,139.115,,,,216.707,213.804,245.679,241.89,194.301,195.517,178.077,179.69,222.483,199.953,249.154,204.392,218.89,,,,,,,,,,,,,,,,877.387,780.203,,,,,,,,,,,,,,
,SG&A,,,,,,,61.127,,,,104.787,120.478,110.714,118.564,120.893,131.7,127.003,138.796,128.8,163.873,133.629,137.897,91.893,,,,,,,,,,,,,,,,481.871,558.472,558.472,502.6248,452.36232,407.12608800000004,366.41347920000004,329.77213128000005,296.79491815200004,267.11542633680006,240.40388370312004,216.36349533280804,194.72714579952725,,,
,Operating Expenses,,,,,,,200.24200000000002,,,,321.494,334.282,356.39300000000003,360.45399999999995,315.19399999999996,327.217,305.08,318.486,351.283,363.826,382.783,342.289,310.783,0,,,,,,,,,,,,,,,1359.2579999999998,1338.675,558.472,502.6248,452.36232,407.12608800000004,366.41347920000004,329.77213128000005,296.79491815200004,267.11542633680006,240.40388370312004,216.36349533280804,194.72714579952725,,,
,Operating Income,,,,,,,-34.28,,,,-131.17700000000002,-106.65399999999997,-137.91000000000003,-133.33999999999995,-20.402999999999963,25.388000000000034,57.82499999999999,-0.10000000000002274,24.226999999999975,162.32500000000005,224.986,116.24400000000003,-62.24500000000003,272.66066,,,,,,,,,,,,,,,-364.7249999999999,130.25800000000004,739.10166,305.6166379999999,390.7217036199999,470.87709538379994,546.5846723499619,618.2960387544623,686.4175701821176,708.8149371139766,728.3171761131488,745.220353885298,759.7908649263977,,,
,Interest Income,,,,,,,-20.649,,,,-6.322,5.527,12.707,16.934,-12.332,15.746,6.543,14.278,11.81,10.062,0,38.061,0,,,,,,,,,,,,,,,,33.055,42.693,,,,,,,,,,,,,,
,Pretax Income,,,,,,,-54.929,,,,-137.49900000000002,-101.12699999999997,-125.20300000000003,-116.40599999999995,-32.734999999999964,41.134000000000036,64.368,14.177999999999978,36.03699999999998,172.38700000000006,224.986,154.30500000000004,-62.24500000000003,272.66066,,,,,,,,,,,,,,,-331.6699999999999,172.95100000000002,739.10166,305.6166379999999,390.7217036199999,470.87709538379994,546.5846723499619,618.2960387544623,686.4175701821176,708.8149371139766,728.3171761131488,745.220353885298,759.7908649263977,,,
,Taxes,,,,,,,0,,,,0,7.938,4.045,9.355,7.763,-5.284,5.329,7.117,0.395,12.694,0,0,0,0,,,,,,,,,,,,,,,15.879000000000001,25.535,147.820332,61.12332759999998,78.14434072399999,94.17541907676,109.31693446999239,123.65920775089246,137.28351403642353,141.76298742279533,145.66343522262977,149.0440707770596,151.95817298527956,,,
,Net Income,,,,,,,-54.929,,,,-137.49900000000002,-109.06499999999997,-129.24800000000002,-125.76099999999995,-40.49799999999996,46.418000000000035,59.038999999999994,7.060999999999978,35.641999999999975,159.69300000000007,224.986,154.30500000000004,-62.24500000000003,272.66066,,,,,,,,,,,,,,,-347.5489999999999,147.41600000000003,591.281328,244.49331039999993,312.57736289599995,376.70167630704,437.26773787996956,494.63683100356985,549.1340561456941,567.0519496911813,582.653740890519,596.1762831082384,607.8326919411181,,,
,EPS,,,,,,,-0.6876439659489234,,,,-1.5691217419089791,-1.2416607846262435,-1.4656294649944437,-1.4171371263085535,-0.45560193049758646,0.4395893706081789,0.5956676150695158,0.07121964011942203,0.35483035998725687,1.4721776646938443,2.3108194161993385,1.4472018232463917,-0.6209782814729096,2.7201598212237,,,,,,,,,,,,,,,,,5.450903700425909,2.253934679277983,2.881587872633073,3.4727370273709828,4.031083373711392,4.5599575105884345,5.062356473861885,5.227537932510844,5.371367709225427,5.496029307559769,5.603487397358981,,,
,Shares,,,,,,,79.88,,,,87.628,87.838,88.186,88.743,88.889,105.594,99.114,99.144,100.448,108.474,97.362,106.623,100.237,100.237,,,,,,,,,,,,,,,105.594,108.474,108.474,108.474,108.474,108.474,108.474,108.474,108.474,108.474,108.474,108.474,108.474,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discount,0.09
,Revenue y/y,,,,,,,,,,,,,,,,,,,,0.6594922639944958,0.8026551283787706,0.6837663357497707,-0.14530790815944317,-0.4950102892376852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,,,,,,,,0.8886640237309751,0.8777184954433759,0.8772631712364057,0.8037439988356189,0.7990690328116576,0.8154328333778325,0.7503514206558434,0.6224139960381956,0.82,,,,,,,,,,,,,,,0.8686818485145988,0.821536191746009,,,,,,,,,,,,,NPV,2518.823220411938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5617691348233345,0.005755489834633698,,,,,,,,,,,,,25.967249694968434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,,,,,,,,,,,-352.03200000000004,0,-183.15300000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,,,,,,786.257,,851.9929999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,,,,,,,,,,,,,659.371,,395.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inventory,,,,,,,,,,,,,,,,,,,,,941.432,,1077.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manufacturing,,,,,,,,,,,,,,,,,,,,,203.49,,206.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCA,,,,,,,,,,,,,,,,,,,,,105.478,,192.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,,,,,,,,,,,,,360.587,,358.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROU,,,,,,,,,,,,,,,,,,,,,147.063,,139.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-Current Inventory,,,,,,,,,,,,,,,,,,,,,181.158,,198.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONCA,,,,,,,,,,,,,,,,,,,,,80.551,,73.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,,,,,,,3465.387,0,3493.3970000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,,,,,,,,,156.105,,94.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accrued Expenses,,,,,,,,,,,,,,,,,,,,,391.65,,295.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR,,,,,,,,,,,,,,,,,,,,,369.859,,485.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCL,,,,,,,,,,,,,,,,,,,,,12.974,,10.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,,,,,,,,,,,,205.46,,215.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CoCo,,,,,,,,,,,,,,,,,,,,,47.4,,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONCL,,,,,,,,,,,,,,,,,,,,,0.927,,1.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,,,,,,,,1138.289,,1035.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SE,,,,,,,,,,,,,,,,,,,,,1142.723,,1320.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,,,,,,,,,,,,3465.3869999999997,0,3493.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,,,,,,,,,,,,,224.986,154.30500000000004,-62.24500000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,,,,,,,,,,,,,-447.508,196.89199999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strategic Investments,,,,,,,,,,,,,,,,,,,,,90.728,-36.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,,,,,,,,,,,,,,,,,41.428,37.025000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,,,,,,,,,,,,,,,,,9.978,10.840000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROU,,,,,,,,,,,,,,,,,,,,,3.934,4.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accretion,,,,,,,,,,,,,,,,,,,,,-1.912,-1.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,1.692,1.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,,,,,,,,,,,,,,,,,-281.77700000000004,49.53400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,,,,,-583.4369999999999,261.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,,,,,,,,,,,,,-43.651,-31.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investments,,,,,,,,,,,,,,,,,,,,,-3.8999999999999986,68.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intangible Purchase,,,,,,,,,,,,,,,,,,,,,-2.238,-0.18800000000000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strategic Investment,,,,,,,,,,,,,,,,,,,,,-241.388,-4.430999999999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFI,,,,,,,,,,,,,,,,,,,,,-291.177,32.21100000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESOP,,,,,,,,,,,,,,,,,,,,,15.681,1.5000000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buyback,,,,,,,,,,,,,,,,,,,,,0,-25.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revolver,,,,,,,,,,,,,,,,,,,,,-3.21,-0.3039999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFF,,,,,,,,,,,,,,,,,,,,,12.471,-23.816999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,,,,,,,,,,,,,,,,,-862.1429999999999,269.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
